zone,tech,year,capacity
system,KAMPONGCHAMGTS,2016,10.74
system,KAMPOTCPP,2016,24.0
system,KEANSVAY,2016,10.1
system,SIHANOUKVILLECIIDG,2016,270.0
system,SIHANOUKVILLESTUNGHAV,2016,120.0
system,SIHANOUKVILLE,2016,10.44
system,SIHANOUKVILLECOLBEN,2016,8.0
system,KHANDANGKOR,2016,45.0
system,PHUMTRORCPGC,2016,5.0
system,PPSEZPLANT,2016,10.0
system,CENTRALE2,2016,18.0
system,CENTRALE2CUPL,2016,37.1
system,KHANMEANCHAY,2016,48.12
system,CENTRALE3,2016,15.4
system,CENTRALE5,2016,10.0
system,CENTRALE6,2016,18.6
system,KHANRUSSEYKEOCOLBEN,2016,14.8
system,SIEMRIEP,2016,6.95
system,KMCh,2016,110.95075
system,KIR1h,2016,12.0
system,KIR3h,2016,18.0
system,LRCh,2016,185.08275
system,ATYh,2016,64.159
system,TTYh,2016,246.0
system,Viet,2016,200.0
system,Thai,2016,120.0
system,Salabam,2016,5.0
