zone,year,month,hour,unit,value
system,2016,1,1,MW,563.8
system,2016,1,2,MW,548.7999999999998
system,2016,1,3,MW,528.2
system,2016,1,4,MW,525.3585
system,2016,1,5,MW,525.3585
system,2016,1,6,MW,527.1999999999999
system,2016,1,7,MW,632.1000000000001
system,2016,1,8,MW,752.5000000000001
system,2016,1,9,MW,815.1999999999999
system,2016,1,10,MW,816.0999999999999
system,2016,1,11,MW,777.6999999999999
system,2016,1,12,MW,746.8999999999997
system,2016,1,13,MW,813.2
system,2016,1,14,MW,843.4000000000001
system,2016,1,15,MW,807.9000000000001
system,2016,1,16,MW,767.7
system,2016,1,17,MW,698.5
system,2016,1,18,MW,672.3
system,2016,1,19,MW,714.3
system,2016,1,20,MW,717.0
system,2016,1,21,MW,731.9000000000001
system,2016,1,22,MW,684.4
system,2016,1,23,MW,629.1
system,2016,1,24,MW,596.6999999999999
system,2016,1,25,MW,557.79125
system,2016,1,26,MW,557.79125
system,2016,1,27,MW,557.79125
system,2016,1,28,MW,557.79125
system,2016,1,29,MW,557.79125
system,2016,1,30,MW,557.79125
system,2016,1,31,MW,569.5000000000001
system,2016,1,32,MW,678.0000000000002
system,2016,1,33,MW,733.8000000000001
system,2016,1,34,MW,735.0
system,2016,1,35,MW,701.1
system,2016,1,36,MW,672.3
system,2016,1,37,MW,731.9000000000001
system,2016,1,38,MW,759.0999999999999
system,2016,1,39,MW,727.3000000000001
system,2016,1,40,MW,690.8999999999999
system,2016,1,41,MW,628.1
system,2016,1,42,MW,604.7000000000002
system,2016,1,43,MW,643.3000000000001
system,2016,1,44,MW,645.0000000000001
system,2016,1,45,MW,659.3
system,2016,1,46,MW,615.3000000000001
system,2016,1,47,MW,565.3
system,2016,1,48,MW,557.79125
system,2016,1,49,MW,568.65625
system,2016,1,50,MW,568.65625
system,2016,1,51,MW,568.65625
system,2016,1,52,MW,568.65625
system,2016,1,53,MW,568.65625
system,2016,1,54,MW,568.65625
system,2016,1,55,MW,569.5000000000001
system,2016,1,56,MW,678.0000000000002
system,2016,1,57,MW,733.8000000000001
system,2016,1,58,MW,735.0
system,2016,1,59,MW,701.1
system,2016,1,60,MW,672.3
system,2016,1,61,MW,731.9000000000001
system,2016,1,62,MW,759.0999999999999
system,2016,1,63,MW,727.3000000000001
system,2016,1,64,MW,690.8999999999999
system,2016,1,65,MW,628.1
system,2016,1,66,MW,604.7000000000002
system,2016,1,67,MW,643.3000000000001
system,2016,1,68,MW,645.0000000000001
system,2016,1,69,MW,659.3
system,2016,1,70,MW,615.3000000000001
system,2016,1,71,MW,568.65625
system,2016,1,72,MW,568.65625
system,2016,1,73,MW,563.8
system,2016,1,74,MW,553.15475
system,2016,1,75,MW,553.15475
system,2016,1,76,MW,553.15475
system,2016,1,77,MW,553.15475
system,2016,1,78,MW,553.15475
system,2016,1,79,MW,632.1000000000001
system,2016,1,80,MW,752.5000000000001
system,2016,1,81,MW,815.1999999999999
system,2016,1,82,MW,816.0999999999999
system,2016,1,83,MW,777.6999999999999
system,2016,1,84,MW,746.8999999999997
system,2016,1,85,MW,813.2
system,2016,1,86,MW,843.4000000000001
system,2016,1,87,MW,807.9000000000001
system,2016,1,88,MW,767.7
system,2016,1,89,MW,698.5
system,2016,1,90,MW,672.3
system,2016,1,91,MW,714.3
system,2016,1,92,MW,717.0
system,2016,1,93,MW,731.9000000000001
system,2016,1,94,MW,684.4
system,2016,1,95,MW,629.1
system,2016,1,96,MW,596.6999999999999
system,2016,1,97,MW,563.8
system,2016,1,98,MW,548.7999999999998
system,2016,1,99,MW,546.866
system,2016,1,100,MW,546.866
system,2016,1,101,MW,546.866
system,2016,1,102,MW,546.866
system,2016,1,103,MW,632.1000000000001
system,2016,1,104,MW,752.5000000000001
system,2016,1,105,MW,815.1999999999999
system,2016,1,106,MW,816.0999999999999
system,2016,1,107,MW,777.6999999999999
system,2016,1,108,MW,746.8999999999997
system,2016,1,109,MW,813.2
system,2016,1,110,MW,843.4000000000001
system,2016,1,111,MW,807.9000000000001
system,2016,1,112,MW,767.7
system,2016,1,113,MW,698.5
system,2016,1,114,MW,672.3
system,2016,1,115,MW,714.3
system,2016,1,116,MW,717.0
system,2016,1,117,MW,731.9000000000001
system,2016,1,118,MW,684.4
system,2016,1,119,MW,629.1
system,2016,1,120,MW,596.6999999999999
system,2016,1,121,MW,567.8715
system,2016,1,122,MW,567.8715
system,2016,1,123,MW,567.8715
system,2016,1,124,MW,567.8715
system,2016,1,125,MW,567.8715
system,2016,1,126,MW,567.8715
system,2016,1,127,MW,632.1000000000001
system,2016,1,128,MW,752.5000000000001
system,2016,1,129,MW,815.1999999999999
system,2016,1,130,MW,816.0999999999999
system,2016,1,131,MW,777.6999999999999
system,2016,1,132,MW,746.8999999999997
system,2016,1,133,MW,813.2
system,2016,1,134,MW,843.4000000000001
system,2016,1,135,MW,807.9000000000001
system,2016,1,136,MW,767.7
system,2016,1,137,MW,698.5
system,2016,1,138,MW,672.3
system,2016,1,139,MW,714.3
system,2016,1,140,MW,717.0
system,2016,1,141,MW,731.9000000000001
system,2016,1,142,MW,684.4
system,2016,1,143,MW,629.1
system,2016,1,144,MW,596.6999999999999
system,2016,1,145,MW,563.8
system,2016,1,146,MW,563.7005
system,2016,1,147,MW,563.7005
system,2016,1,148,MW,563.7005
system,2016,1,149,MW,563.7005
system,2016,1,150,MW,563.7005
system,2016,1,151,MW,632.1000000000001
system,2016,1,152,MW,752.5000000000001
system,2016,1,153,MW,815.1999999999999
system,2016,1,154,MW,816.0999999999999
system,2016,1,155,MW,777.6999999999999
system,2016,1,156,MW,746.8999999999997
system,2016,1,157,MW,813.2
system,2016,1,158,MW,843.4000000000001
system,2016,1,159,MW,807.9000000000001
system,2016,1,160,MW,767.7
system,2016,1,161,MW,698.5
system,2016,1,162,MW,672.3
system,2016,1,163,MW,714.3
system,2016,1,164,MW,717.0
system,2016,1,165,MW,731.9000000000001
system,2016,1,166,MW,684.4
system,2016,1,167,MW,629.1
system,2016,1,168,MW,596.6999999999999
system,2016,1,169,MW,566.4
system,2016,1,170,MW,550.8435
system,2016,1,171,MW,550.8435
system,2016,1,172,MW,550.8435
system,2016,1,173,MW,550.8435
system,2016,1,174,MW,550.8435
system,2016,1,175,MW,633.9
system,2016,1,176,MW,757.2
system,2016,1,177,MW,818.9
system,2016,1,178,MW,819.8000000000001
system,2016,1,179,MW,781.5000000000001
system,2016,1,180,MW,749.5999999999999
system,2016,1,181,MW,816.0999999999999
system,2016,1,182,MW,845.8999999999999
system,2016,1,183,MW,812.5
system,2016,1,184,MW,771.2
system,2016,1,185,MW,700.4000000000001
system,2016,1,186,MW,674.9999999999999
system,2016,1,187,MW,717.0
system,2016,1,188,MW,719.8999999999999
system,2016,1,189,MW,735.0
system,2016,1,190,MW,686.2000000000002
system,2016,1,191,MW,631.0000000000001
system,2016,1,192,MW,599.4000000000001
system,2016,1,193,MW,551.3735
system,2016,1,194,MW,551.3735
system,2016,1,195,MW,551.3735
system,2016,1,196,MW,551.3735
system,2016,1,197,MW,551.3735
system,2016,1,198,MW,551.3735
system,2016,1,199,MW,571.2
system,2016,1,200,MW,680.6
system,2016,1,201,MW,736.6
system,2016,1,202,MW,737.5
system,2016,1,203,MW,702.9999999999999
system,2016,1,204,MW,674.9999999999999
system,2016,1,205,MW,735.0
system,2016,1,206,MW,761.9999999999999
system,2016,1,207,MW,730.2000000000002
system,2016,1,208,MW,693.5999999999999
system,2016,1,209,MW,630.0000000000001
system,2016,1,210,MW,606.5000000000001
system,2016,1,211,MW,645.0000000000001
system,2016,1,212,MW,647.9
system,2016,1,213,MW,661.7999999999998
system,2016,1,214,MW,617.9
system,2016,1,215,MW,568.3000000000001
system,2016,1,216,MW,551.3735
system,2016,1,217,MW,534.1735
system,2016,1,218,MW,534.1735
system,2016,1,219,MW,534.1735
system,2016,1,220,MW,534.1735
system,2016,1,221,MW,534.1735
system,2016,1,222,MW,534.1735
system,2016,1,223,MW,571.2
system,2016,1,224,MW,680.6
system,2016,1,225,MW,736.6
system,2016,1,226,MW,737.5
system,2016,1,227,MW,702.9999999999999
system,2016,1,228,MW,674.9999999999999
system,2016,1,229,MW,735.0
system,2016,1,230,MW,761.9999999999999
system,2016,1,231,MW,730.2000000000002
system,2016,1,232,MW,693.5999999999999
system,2016,1,233,MW,630.0000000000001
system,2016,1,234,MW,606.5000000000001
system,2016,1,235,MW,645.0000000000001
system,2016,1,236,MW,647.9
system,2016,1,237,MW,661.7999999999998
system,2016,1,238,MW,617.9
system,2016,1,239,MW,568.3000000000001
system,2016,1,240,MW,539.4
system,2016,1,241,MW,566.4
system,2016,1,242,MW,550.7
system,2016,1,243,MW,542.35425
system,2016,1,244,MW,542.35425
system,2016,1,245,MW,542.35425
system,2016,1,246,MW,542.35425
system,2016,1,247,MW,633.9
system,2016,1,248,MW,757.2
system,2016,1,249,MW,818.9
system,2016,1,250,MW,819.8000000000001
system,2016,1,251,MW,781.5000000000001
system,2016,1,252,MW,749.5999999999999
system,2016,1,253,MW,816.0999999999999
system,2016,1,254,MW,845.8999999999999
system,2016,1,255,MW,812.5
system,2016,1,256,MW,771.2
system,2016,1,257,MW,700.4000000000001
system,2016,1,258,MW,674.9999999999999
system,2016,1,259,MW,717.0
system,2016,1,260,MW,719.8999999999999
system,2016,1,261,MW,735.0
system,2016,1,262,MW,686.2000000000002
system,2016,1,263,MW,631.0000000000001
system,2016,1,264,MW,599.4000000000001
system,2016,1,265,MW,566.4
system,2016,1,266,MW,550.7
system,2016,1,267,MW,534.7755
system,2016,1,268,MW,534.7755
system,2016,1,269,MW,534.7755
system,2016,1,270,MW,534.7755
system,2016,1,271,MW,633.9
system,2016,1,272,MW,757.2
system,2016,1,273,MW,818.9
system,2016,1,274,MW,819.8000000000001
system,2016,1,275,MW,781.5000000000001
system,2016,1,276,MW,749.5999999999999
system,2016,1,277,MW,816.0999999999999
system,2016,1,278,MW,845.8999999999999
system,2016,1,279,MW,812.5
system,2016,1,280,MW,771.2
system,2016,1,281,MW,700.4000000000001
system,2016,1,282,MW,674.9999999999999
system,2016,1,283,MW,717.0
system,2016,1,284,MW,719.8999999999999
system,2016,1,285,MW,735.0
