zone,tech,year,unit,value
system,KAMPONGCHAMGTS,2016,MW,10.74
system,KAMPOTCPP,2016,MW,24.0
system,KEANSVAY,2016,MW,10.1
system,SIHANOUKVILLECIIDG,2016,MW,270.0
system,SIHANOUKVILLESTUNGHAV,2016,MW,120.0
system,SIHANOUKVILLE,2016,MW,10.44
system,SIHANOUKVILLECOLBEN,2016,MW,8.0
system,KHANDANGKOR,2016,MW,45.0
system,PHUMTRORCPGC,2016,MW,5.0
system,PPSEZPLANT,2016,MW,10.0
system,CENTRALE2,2016,MW,18.0
system,CENTRALE2CUPL,2016,MW,37.1
system,KHANMEANCHAY,2016,MW,48.12
system,CENTRALE3,2016,MW,15.4
system,CENTRALE5,2016,MW,10.0
system,CENTRALE6,2016,MW,18.6
system,KHANRUSSEYKEOCOLBEN,2016,MW,14.8
system,SIEMRIEP,2016,MW,6.95
system,KMCh,2016,MW,110.95075
system,KIR1h,2016,MW,12.0
system,KIR3h,2016,MW,18.0
system,LRCh,2016,MW,185.08275
system,ATYh,2016,MW,64.159
system,TTYh,2016,MW,246.0
system,Viet,2016,MW,200.0
system,Thai,2016,MW,120.0
system,Salabam,2016,MW,5.0
