zone,tech,year,unit,value
system,KAMPONGCHAMGTS,2016,MW,0.0
system,KAMPOTCPP,2016,MW,0.0
system,KEANSVAY,2016,MW,0.0
system,SIHANOUKVILLECIIDG,2016,MW,0.0
system,SIHANOUKVILLESTUNGHAV,2016,MW,0.0
system,SIHANOUKVILLE,2016,MW,0.0
system,SIHANOUKVILLECOLBEN,2016,MW,0.0
system,KHANDANGKOR,2016,MW,0.0
system,PHUMTRORCPGC,2016,MW,0.0
system,PPSEZPLANT,2016,MW,0.0
system,CENTRALE2,2016,MW,0.0
system,CENTRALE2CUPL,2016,MW,0.0
system,KHANMEANCHAY,2016,MW,0.0
system,CENTRALE3,2016,MW,0.0
system,CENTRALE5,2016,MW,0.0
system,CENTRALE6,2016,MW,0.0
system,KHANRUSSEYKEOCOLBEN,2016,MW,0.0
system,SIEMRIEP,2016,MW,0.0
system,KMCh,2016,MW,0.0
system,KIR1h,2016,MW,0.0
system,KIR3h,2016,MW,0.0
system,LRCh,2016,MW,0.0
system,ATYh,2016,MW,0.0
system,TTYh,2016,MW,0.0
system,Viet,2016,MW,0.0
system,Thai,2016,MW,0.0
system,Salabam,2016,MW,0.0
