tech,zone,commission_year,unit,capacity
KAMPONGCHAMGTS,system,2016,MW,10.74
KAMPOTCPP,system,2016,MW,24.0
KEANSVAY,system,2016,MW,10.1
SIHANOUKVILLECIIDG,system,2016,MW,270.0
SIHANOUKVILLESTUNGHAV,system,2016,MW,120.0
SIHANOUKVILLE,system,2016,MW,10.44
SIHANOUKVILLECOLBEN,system,2016,MW,8.0
KHANDANGKOR,system,2016,MW,45.0
PHUMTRORCPGC,system,2016,MW,5.0
PPSEZPLANT,system,2016,MW,10.0
CENTRALE2,system,2016,MW,18.0
CENTRALE2CUPL,system,2016,MW,37.1
KHANMEANCHAY,system,2016,MW,48.12
CENTRALE3,system,2016,MW,15.4
CENTRALE5,system,2016,MW,10.0
CENTRALE6,system,2016,MW,18.6
KHANRUSSEYKEOCOLBEN,system,2016,MW,14.8
SIEMRIEP,system,2016,MW,6.95
KMCh,system,2016,MW,110.95075
KIR1h,system,2016,MW,12.0
KIR3h,system,2016,MW,18.0
LRCh,system,2016,MW,185.08275
ATYh,system,2016,MW,64.159
TTYh,system,2016,MW,246.0
Viet,system,2016,MW,200.0
Thai,system,2016,MW,120.0
Salabam,system,2016,MW,5.0
