tech,unit,value
KAMPONGCHAMGTS,fraction,1.0
KAMPOTCPP,fraction,1.0
KEANSVAY,fraction,1.0
SIHANOUKVILLECIIDG,fraction,1.0
SIHANOUKVILLESTUNGHAV,fraction,1.0
SIHANOUKVILLE,fraction,1.0
SIHANOUKVILLECOLBEN,fraction,1.0
KHANDANGKOR,fraction,1.0
PHUMTRORCPGC,fraction,1.0
PPSEZPLANT,fraction,1.0
CENTRALE2,fraction,1.0
CENTRALE2CUPL,fraction,1.0
KHANMEANCHAY,fraction,1.0
CENTRALE3,fraction,1.0
CENTRALE5,fraction,1.0
CENTRALE6,fraction,1.0
KHANRUSSEYKEOCOLBEN,fraction,1.0
SIEMRIEP,fraction,1.0
KMCh,fraction,1.0
KIR1h,fraction,1.0
KIR3h,fraction,1.0
LRCh,fraction,1.0
ATYh,fraction,1.0
TTYh,fraction,1.0
Viet,fraction,1.0
Thai,fraction,1.0
Salabam,fraction,1.0
