tech,name,carrier,is_storage
KAMPONGCHAMGTS,KAMPONGCHAMGTS,oil,False
KAMPOTCPP,KAMPOTCPP,oil,False
KEANSVAY,KEANSVAY,coal,False
SIHANOUKVILLECIIDG,SIHANOUKVILLECIIDG,coal,False
SIHANOUKVILLESTUNGHAV,SIHANOUKVILLESTUNGHAV,coal,False
SIHANOUKVILLE,SIHANOUKVILLE,oil,False
SIHANOUKVILLECOLBEN,SIHANOUKVILLECOLBEN,oil,False
KHANDANGKOR,KHANDANGKOR,oil,False
PHUMTRORCPGC,PHUMTRORCPGC,oil,False
PPSEZPLANT,PPSEZPLANT,oil,False
CENTRALE2,CENTRALE2,oil,False
CENTRALE2CUPL,CENTRALE2CUPL,oil,False
KHANMEANCHAY,KHANMEANCHAY,oil,False
CENTRALE3,CENTRALE3,oil,False
CENTRALE5,CENTRALE5,oil,False
CENTRALE6,CENTRALE6,oil,False
KHANRUSSEYKEOCOLBEN,KHANRUSSEYKEOCOLBEN,oil,False
SIEMRIEP,SIEMRIEP,oil,False
KMCh,KMCh,hydro,False
KIR1h,KIR1h,hydro,False
KIR3h,KIR3h,hydro,False
LRCh,LRCh,hydro,False
ATYh,ATYh,hydro,False
TTYh,TTYh,hydro,False
Viet,Viet,import,False
Thai,Thai,import,False
Salabam,Salabam,import,False
