tech,year,unit,value
KAMPONGCHAMGTS,2016,USD/MWh,65.15
KAMPOTCPP,2016,USD/MWh,65.15
KEANSVAY,2016,USD/MWh,56.86000000000001
SIHANOUKVILLECIIDG,2016,USD/MWh,56.86000000000001
SIHANOUKVILLESTUNGHAV,2016,USD/MWh,56.86000000000001
SIHANOUKVILLE,2016,USD/MWh,65.15
SIHANOUKVILLECOLBEN,2016,USD/MWh,65.15
KHANDANGKOR,2016,USD/MWh,64.31
PHUMTRORCPGC,2016,USD/MWh,65.15
PPSEZPLANT,2016,USD/MWh,65.15
CENTRALE2,2016,USD/MWh,65.15
CENTRALE2CUPL,2016,USD/MWh,64.31
KHANMEANCHAY,2016,USD/MWh,64.31
CENTRALE3,2016,USD/MWh,65.15
CENTRALE5,2016,USD/MWh,65.15
CENTRALE6,2016,USD/MWh,65.15
KHANRUSSEYKEOCOLBEN,2016,USD/MWh,64.31
SIEMRIEP,2016,USD/MWh,65.15
KMCh,2016,USD/MWh,0.001
KIR1h,2016,USD/MWh,0.001
KIR3h,2016,USD/MWh,0.001
LRCh,2016,USD/MWh,0.001
ATYh,2016,USD/MWh,0.001
TTYh,2016,USD/MWh,0.001
Viet,2016,USD/MWh,65.0
Thai,2016,USD/MWh,66.0
Salabam,2016,USD/MWh,48.0
