zone,tech,year,capacity
system,HongsaLigniteU1,2016,626.0
system,HongsaLigniteU2,2016,626.0
system,HongsaLigniteU3,2016,626.0
system,Mitlao,2016,9.7
system,HougAnh,2016,30.0
system,NamMang1,2016,64.0
system,NamNgiep2C,2016,14.0
system,NamSan3B,2016,45.0
system,HouayLamphan,2016,88.0
system,Xenamnoy6,2016,20.0
system,Xenamnoy1,2016,14.8
system,NamOu6,2016,180.0
system,HouayHo,2016,152.3
system,NamOu5,2016,240.0
system,NamOu2,2016,120.0
system,NamKhan3,2016,60.0
system,NamKhan2,2016,130.0
system,NamSana,2016,44.0
system,NamLik1n2,2016,100.0
system,NamNgum5,2016,120.0
system,NamNgum2,2016,615.0
system,Xekaman3,2016,250.0
system,NamNgum1,2016,155.0
system,NamLeuk,2016,60.0
system,NamMang3,2016,40.0
system,NamNgiep2,2016,180.0
system,NamNgiep3A,2016,44.0
system,NamSan3A,2016,69.0
system,NamTheun2,2016,1075.0
system,Xekaman1,2016,294.0
system,TheunHinboun,2016,440.0
system,Xeset1,2016,45.0
system,Xeset3,2016,24.0
system,Xeset2,2016,76.0
system,Salabam,2016,5.0
system,EGATSirindhorn,2016,36.0
system,ChinMengLa,2016,60.0
system,EGATBungkan,2016,200.0
system,EGATMukdahan,2016,200.0
