zone,year,month,hour,unit,value
system,2016,1,1,MW,3074.3799999999997
system,2016,1,2,MW,3074.3799999999997
system,2016,1,3,MW,3074.3799999999997
system,2016,1,4,MW,3074.3799999999997
system,2016,1,5,MW,3074.3799999999997
system,2016,1,6,MW,3074.3799999999997
system,2016,1,7,MW,3074.3799999999997
system,2016,1,8,MW,3074.3799999999997
system,2016,1,9,MW,3074.3799999999997
system,2016,1,10,MW,3074.3799999999997
system,2016,1,11,MW,3074.3799999999997
system,2016,1,12,MW,3074.3799999999997
system,2016,1,13,MW,3074.3799999999997
system,2016,1,14,MW,3074.3799999999997
system,2016,1,15,MW,3074.3799999999997
system,2016,1,16,MW,3074.3799999999997
system,2016,1,17,MW,3074.3799999999997
system,2016,1,18,MW,3074.3799999999997
system,2016,1,19,MW,3074.3799999999997
system,2016,1,20,MW,3074.3799999999997
system,2016,1,21,MW,3074.3799999999997
system,2016,1,22,MW,3074.3799999999997
system,2016,1,23,MW,3074.3799999999997
system,2016,1,24,MW,3074.3799999999997
system,2016,1,25,MW,3048.2900000000004
system,2016,1,26,MW,3048.2900000000004
system,2016,1,27,MW,3048.2900000000004
system,2016,1,28,MW,3048.2900000000004
system,2016,1,29,MW,3048.2900000000004
system,2016,1,30,MW,3048.2900000000004
system,2016,1,31,MW,3048.2900000000004
system,2016,1,32,MW,3048.2900000000004
system,2016,1,33,MW,3048.2900000000004
system,2016,1,34,MW,3048.2900000000004
system,2016,1,35,MW,3048.2900000000004
system,2016,1,36,MW,3048.2900000000004
system,2016,1,37,MW,3048.2900000000004
system,2016,1,38,MW,3048.2900000000004
system,2016,1,39,MW,3048.2900000000004
system,2016,1,40,MW,3048.2900000000004
system,2016,1,41,MW,3048.2900000000004
system,2016,1,42,MW,3048.2900000000004
system,2016,1,43,MW,3048.2900000000004
system,2016,1,44,MW,3048.2900000000004
system,2016,1,45,MW,3048.2900000000004
system,2016,1,46,MW,3048.2900000000004
system,2016,1,47,MW,3048.2900000000004
system,2016,1,48,MW,3048.2900000000004
system,2016,1,49,MW,3089.6099999999997
system,2016,1,50,MW,3089.6099999999997
system,2016,1,51,MW,3089.6099999999997
system,2016,1,52,MW,3089.6099999999997
system,2016,1,53,MW,3089.6099999999997
system,2016,1,54,MW,3089.6099999999997
system,2016,1,55,MW,3089.6099999999997
system,2016,1,56,MW,3089.6099999999997
system,2016,1,57,MW,3089.6099999999997
system,2016,1,58,MW,3089.6099999999997
system,2016,1,59,MW,3089.6099999999997
system,2016,1,60,MW,3089.6099999999997
system,2016,1,61,MW,3089.6099999999997
system,2016,1,62,MW,3089.6099999999997
system,2016,1,63,MW,3089.6099999999997
system,2016,1,64,MW,3089.6099999999997
system,2016,1,65,MW,3089.6099999999997
system,2016,1,66,MW,3089.6099999999997
system,2016,1,67,MW,3089.6099999999997
system,2016,1,68,MW,3089.6099999999997
system,2016,1,69,MW,3089.6099999999997
system,2016,1,70,MW,3089.6099999999997
system,2016,1,71,MW,3089.6099999999997
system,2016,1,72,MW,3089.6099999999997
system,2016,1,73,MW,3112.2699999999995
system,2016,1,74,MW,3112.2699999999995
system,2016,1,75,MW,3112.2699999999995
system,2016,1,76,MW,3112.2699999999995
system,2016,1,77,MW,3112.2699999999995
system,2016,1,78,MW,3112.2699999999995
system,2016,1,79,MW,3112.2699999999995
system,2016,1,80,MW,3112.2699999999995
system,2016,1,81,MW,3112.2699999999995
system,2016,1,82,MW,3112.2699999999995
system,2016,1,83,MW,3112.2699999999995
system,2016,1,84,MW,3112.2699999999995
system,2016,1,85,MW,3112.2699999999995
system,2016,1,86,MW,3112.2699999999995
system,2016,1,87,MW,3112.2699999999995
system,2016,1,88,MW,3112.2699999999995
system,2016,1,89,MW,3112.2699999999995
system,2016,1,90,MW,3112.2699999999995
system,2016,1,91,MW,3112.2699999999995
system,2016,1,92,MW,3112.2699999999995
system,2016,1,93,MW,3112.2699999999995
system,2016,1,94,MW,3112.2699999999995
system,2016,1,95,MW,3112.2699999999995
system,2016,1,96,MW,3112.2699999999995
system,2016,1,97,MW,3051.0499999999993
system,2016,1,98,MW,3051.0499999999993
system,2016,1,99,MW,3051.0499999999993
system,2016,1,100,MW,3051.0499999999993
system,2016,1,101,MW,3051.0499999999993
system,2016,1,102,MW,3051.0499999999993
system,2016,1,103,MW,3051.0499999999993
system,2016,1,104,MW,3051.0499999999993
system,2016,1,105,MW,3051.0499999999993
system,2016,1,106,MW,3051.0499999999993
system,2016,1,107,MW,3051.0499999999993
system,2016,1,108,MW,3051.0499999999993
system,2016,1,109,MW,3051.0499999999993
system,2016,1,110,MW,3051.0499999999993
system,2016,1,111,MW,3051.0499999999993
system,2016,1,112,MW,3051.0499999999993
system,2016,1,113,MW,3051.0499999999993
system,2016,1,114,MW,3051.0499999999993
system,2016,1,115,MW,3051.0499999999993
system,2016,1,116,MW,3051.0499999999993
system,2016,1,117,MW,3051.0499999999993
system,2016,1,118,MW,3051.0499999999993
system,2016,1,119,MW,3051.0499999999993
system,2016,1,120,MW,3051.0499999999993
system,2016,1,121,MW,3022.44
system,2016,1,122,MW,3022.44
system,2016,1,123,MW,3022.44
system,2016,1,124,MW,3022.44
system,2016,1,125,MW,3022.44
system,2016,1,126,MW,3022.44
system,2016,1,127,MW,3022.44
system,2016,1,128,MW,3022.44
system,2016,1,129,MW,3022.44
system,2016,1,130,MW,3022.44
system,2016,1,131,MW,3022.44
system,2016,1,132,MW,3022.44
system,2016,1,133,MW,3022.44
system,2016,1,134,MW,3022.44
system,2016,1,135,MW,3022.44
system,2016,1,136,MW,3022.44
system,2016,1,137,MW,3022.44
system,2016,1,138,MW,3022.44
system,2016,1,139,MW,3022.44
system,2016,1,140,MW,3022.44
system,2016,1,141,MW,3022.44
system,2016,1,142,MW,3022.44
system,2016,1,143,MW,3022.44
system,2016,1,144,MW,3022.44
system,2016,1,145,MW,2990.93
system,2016,1,146,MW,2990.93
system,2016,1,147,MW,2990.93
system,2016,1,148,MW,2990.93
system,2016,1,149,MW,2990.93
system,2016,1,150,MW,2990.93
system,2016,1,151,MW,2990.93
system,2016,1,152,MW,2990.93
system,2016,1,153,MW,2990.93
system,2016,1,154,MW,2990.93
system,2016,1,155,MW,2990.93
system,2016,1,156,MW,2990.93
system,2016,1,157,MW,2990.93
system,2016,1,158,MW,2990.93
system,2016,1,159,MW,2990.93
system,2016,1,160,MW,2990.93
system,2016,1,161,MW,2990.93
system,2016,1,162,MW,2990.93
system,2016,1,163,MW,2990.93
system,2016,1,164,MW,2990.93
system,2016,1,165,MW,2990.93
system,2016,1,166,MW,2990.93
system,2016,1,167,MW,2990.93
system,2016,1,168,MW,2990.93
system,2016,1,169,MW,2995.03
system,2016,1,170,MW,2995.03
system,2016,1,171,MW,2995.03
system,2016,1,172,MW,2995.03
system,2016,1,173,MW,2995.03
system,2016,1,174,MW,2995.03
system,2016,1,175,MW,2995.03
system,2016,1,176,MW,2995.03
system,2016,1,177,MW,2995.03
system,2016,1,178,MW,2995.03
system,2016,1,179,MW,2995.03
system,2016,1,180,MW,2995.03
system,2016,1,181,MW,2995.03
system,2016,1,182,MW,2995.03
system,2016,1,183,MW,2995.03
system,2016,1,184,MW,2995.03
system,2016,1,185,MW,2995.03
system,2016,1,186,MW,2995.03
system,2016,1,187,MW,2995.03
system,2016,1,188,MW,2995.03
system,2016,1,189,MW,2995.03
system,2016,1,190,MW,2995.03
system,2016,1,191,MW,2995.03
system,2016,1,192,MW,2995.03
system,2016,1,193,MW,3128.83
system,2016,1,194,MW,3128.83
system,2016,1,195,MW,3128.83
system,2016,1,196,MW,3128.83
system,2016,1,197,MW,3128.83
system,2016,1,198,MW,3128.83
system,2016,1,199,MW,3128.83
system,2016,1,200,MW,3128.83
system,2016,1,201,MW,3128.83
system,2016,1,202,MW,3128.83
system,2016,1,203,MW,3128.83
system,2016,1,204,MW,3128.83
system,2016,1,205,MW,3128.83
system,2016,1,206,MW,3128.83
system,2016,1,207,MW,3128.83
system,2016,1,208,MW,3128.83
system,2016,1,209,MW,3128.83
system,2016,1,210,MW,3128.83
system,2016,1,211,MW,3128.83
system,2016,1,212,MW,3128.83
system,2016,1,213,MW,3128.83
system,2016,1,214,MW,3128.83
