zone,tech,year,unit,value
system,HongsaLigniteU1,2016,MW,0.0
system,HongsaLigniteU2,2016,MW,0.0
system,HongsaLigniteU3,2016,MW,0.0
system,Mitlao,2016,MW,0.0
system,HougAnh,2016,MW,0.0
system,NamMang1,2016,MW,0.0
system,NamNgiep2C,2016,MW,0.0
system,NamSan3B,2016,MW,0.0
system,HouayLamphan,2016,MW,0.0
system,Xenamnoy6,2016,MW,0.0
system,Xenamnoy1,2016,MW,0.0
system,NamOu6,2016,MW,0.0
system,HouayHo,2016,MW,0.0
system,NamOu5,2016,MW,0.0
system,NamOu2,2016,MW,0.0
system,NamKhan3,2016,MW,0.0
system,NamKhan2,2016,MW,0.0
system,NamSana,2016,MW,0.0
system,NamLik1n2,2016,MW,0.0
system,NamNgum5,2016,MW,0.0
system,NamNgum2,2016,MW,0.0
system,Xekaman3,2016,MW,0.0
system,NamNgum1,2016,MW,0.0
system,NamLeuk,2016,MW,0.0
system,NamMang3,2016,MW,0.0
system,NamNgiep2,2016,MW,0.0
system,NamNgiep3A,2016,MW,0.0
system,NamSan3A,2016,MW,0.0
system,NamTheun2,2016,MW,0.0
system,Xekaman1,2016,MW,0.0
system,TheunHinboun,2016,MW,0.0
system,Xeset1,2016,MW,0.0
system,Xeset3,2016,MW,0.0
system,Xeset2,2016,MW,0.0
system,Salabam,2016,MW,0.0
system,EGATSirindhorn,2016,MW,0.0
system,ChinMengLa,2016,MW,0.0
system,EGATBungkan,2016,MW,0.0
system,EGATMukdahan,2016,MW,0.0
