tech,zone,commission_year,unit,capacity
HongsaLigniteU1,system,2016,MW,626.0
HongsaLigniteU2,system,2016,MW,626.0
HongsaLigniteU3,system,2016,MW,626.0
Mitlao,system,2016,MW,9.7
HougAnh,system,2016,MW,30.0
NamMang1,system,2016,MW,64.0
NamNgiep2C,system,2016,MW,14.0
NamSan3B,system,2016,MW,45.0
HouayLamphan,system,2016,MW,88.0
Xenamnoy6,system,2016,MW,20.0
Xenamnoy1,system,2016,MW,14.8
NamOu6,system,2016,MW,180.0
HouayHo,system,2016,MW,152.3
NamOu5,system,2016,MW,240.0
NamOu2,system,2016,MW,120.0
NamKhan3,system,2016,MW,60.0
NamKhan2,system,2016,MW,130.0
NamSana,system,2016,MW,44.0
NamLik1n2,system,2016,MW,100.0
NamNgum5,system,2016,MW,120.0
NamNgum2,system,2016,MW,615.0
Xekaman3,system,2016,MW,250.0
NamNgum1,system,2016,MW,155.0
NamLeuk,system,2016,MW,60.0
NamMang3,system,2016,MW,40.0
NamNgiep2,system,2016,MW,180.0
NamNgiep3A,system,2016,MW,44.0
NamSan3A,system,2016,MW,69.0
NamTheun2,system,2016,MW,1075.0
Xekaman1,system,2016,MW,294.0
TheunHinboun,system,2016,MW,440.0
Xeset1,system,2016,MW,45.0
Xeset3,system,2016,MW,24.0
Xeset2,system,2016,MW,76.0
Salabam,system,2016,MW,5.0
EGATSirindhorn,system,2016,MW,36.0
ChinMengLa,system,2016,MW,60.0
EGATBungkan,system,2016,MW,200.0
EGATMukdahan,system,2016,MW,200.0
