tech,year,unit,value
HongsaLigniteU1,2016,USD/MW,1000000000.0
HongsaLigniteU2,2016,USD/MW,1000000000.0
HongsaLigniteU3,2016,USD/MW,1000000000.0
Mitlao,2016,USD/MW,1000000000.0
HougAnh,2016,USD/MW,1000000000.0
NamMang1,2016,USD/MW,1000000000.0
NamNgiep2C,2016,USD/MW,1000000000.0
NamSan3B,2016,USD/MW,1000000000.0
HouayLamphan,2016,USD/MW,1000000000.0
Xenamnoy6,2016,USD/MW,1000000000.0
Xenamnoy1,2016,USD/MW,1000000000.0
NamOu6,2016,USD/MW,1000000000.0
HouayHo,2016,USD/MW,1000000000.0
NamOu5,2016,USD/MW,1000000000.0
NamOu2,2016,USD/MW,1000000000.0
NamKhan3,2016,USD/MW,1000000000.0
NamKhan2,2016,USD/MW,1000000000.0
NamSana,2016,USD/MW,1000000000.0
NamLik1n2,2016,USD/MW,1000000000.0
NamNgum5,2016,USD/MW,1000000000.0
NamNgum2,2016,USD/MW,1000000000.0
Xekaman3,2016,USD/MW,1000000000.0
NamNgum1,2016,USD/MW,1000000000.0
NamLeuk,2016,USD/MW,1000000000.0
NamMang3,2016,USD/MW,1000000000.0
NamNgiep2,2016,USD/MW,1000000000.0
NamNgiep3A,2016,USD/MW,1000000000.0
NamSan3A,2016,USD/MW,1000000000.0
NamTheun2,2016,USD/MW,1000000000.0
Xekaman1,2016,USD/MW,1000000000.0
TheunHinboun,2016,USD/MW,1000000000.0
Xeset1,2016,USD/MW,1000000000.0
Xeset3,2016,USD/MW,1000000000.0
Xeset2,2016,USD/MW,1000000000.0
Salabam,2016,USD/MW,1000000000.0
EGATSirindhorn,2016,USD/MW,1000000000.0
ChinMengLa,2016,USD/MW,1000000000.0
EGATBungkan,2016,USD/MW,1000000000.0
EGATMukdahan,2016,USD/MW,1000000000.0
