tech,unit,value
HongsaLigniteU1,fraction,1.0
HongsaLigniteU2,fraction,1.0
HongsaLigniteU3,fraction,1.0
Mitlao,fraction,1.0
HougAnh,fraction,1.0
NamMang1,fraction,1.0
NamNgiep2C,fraction,1.0
NamSan3B,fraction,1.0
HouayLamphan,fraction,1.0
Xenamnoy6,fraction,1.0
Xenamnoy1,fraction,1.0
NamOu6,fraction,1.0
HouayHo,fraction,1.0
NamOu5,fraction,1.0
NamOu2,fraction,1.0
NamKhan3,fraction,1.0
NamKhan2,fraction,1.0
NamSana,fraction,1.0
NamLik1n2,fraction,1.0
NamNgum5,fraction,1.0
NamNgum2,fraction,1.0
Xekaman3,fraction,1.0
NamNgum1,fraction,1.0
NamLeuk,fraction,1.0
NamMang3,fraction,1.0
NamNgiep2,fraction,1.0
NamNgiep3A,fraction,1.0
NamSan3A,fraction,1.0
NamTheun2,fraction,1.0
Xekaman1,fraction,1.0
TheunHinboun,fraction,1.0
Xeset1,fraction,1.0
Xeset3,fraction,1.0
Xeset2,fraction,1.0
Salabam,fraction,1.0
EGATSirindhorn,fraction,1.0
ChinMengLa,fraction,1.0
EGATBungkan,fraction,1.0
EGATMukdahan,fraction,1.0
