tech,name,carrier,is_storage
HongsaLigniteU1,HongsaLigniteU1,coal,False
HongsaLigniteU2,HongsaLigniteU2,coal,False
HongsaLigniteU3,HongsaLigniteU3,coal,False
Mitlao,Mitlao,biomass,False
HougAnh,HougAnh,biomass,False
NamMang1,NamMang1,hydro,False
NamNgiep2C,NamNgiep2C,hydro,False
NamSan3B,NamSan3B,hydro,False
HouayLamphan,HouayLamphan,hydro,False
Xenamnoy6,Xenamnoy6,hydro,False
Xenamnoy1,Xenamnoy1,hydro,False
NamOu6,NamOu6,hydro,False
HouayHo,HouayHo,hydro,False
NamOu5,NamOu5,hydro,False
NamOu2,NamOu2,hydro,False
NamKhan3,NamKhan3,hydro,False
NamKhan2,NamKhan2,hydro,False
NamSana,NamSana,hydro,False
NamLik1n2,NamLik1n2,hydro,False
NamNgum5,NamNgum5,hydro,False
NamNgum2,NamNgum2,hydro,False
Xekaman3,Xekaman3,hydro,False
NamNgum1,NamNgum1,hydro,False
NamLeuk,NamLeuk,hydro,False
NamMang3,NamMang3,hydro,False
NamNgiep2,NamNgiep2,hydro,False
NamNgiep3A,NamNgiep3A,hydro,False
NamSan3A,NamSan3A,hydro,False
NamTheun2,NamTheun2,hydro,False
Xekaman1,Xekaman1,hydro,False
TheunHinboun,TheunHinboun,hydro,False
Xeset1,Xeset1,hydro,False
Xeset3,Xeset3,hydro,False
Xeset2,Xeset2,hydro,False
Salabam,Salabam,hydro,False
EGATSirindhorn,EGATSirindhorn,import,False
ChinMengLa,ChinMengLa,import,False
EGATBungkan,EGATBungkan,import,False
EGATMukdahan,EGATMukdahan,import,False
