tech,year,unit,value
HongsaLigniteU1,2016,USD/MWh,54.85
HongsaLigniteU2,2016,USD/MWh,54.85
HongsaLigniteU3,2016,USD/MWh,54.85
Mitlao,2016,USD/MWh,47.15
HougAnh,2016,USD/MWh,47.15
NamMang1,2016,USD/MWh,0.001
NamNgiep2C,2016,USD/MWh,0.001
NamSan3B,2016,USD/MWh,0.001
HouayLamphan,2016,USD/MWh,0.001
Xenamnoy6,2016,USD/MWh,0.001
Xenamnoy1,2016,USD/MWh,0.001
NamOu6,2016,USD/MWh,0.001
HouayHo,2016,USD/MWh,0.001
NamOu5,2016,USD/MWh,0.001
NamOu2,2016,USD/MWh,0.001
NamKhan3,2016,USD/MWh,0.001
NamKhan2,2016,USD/MWh,0.001
NamSana,2016,USD/MWh,0.001
NamLik1n2,2016,USD/MWh,0.001
NamNgum5,2016,USD/MWh,0.001
NamNgum2,2016,USD/MWh,0.001
Xekaman3,2016,USD/MWh,0.001
NamNgum1,2016,USD/MWh,0.001
NamLeuk,2016,USD/MWh,0.001
NamMang3,2016,USD/MWh,0.001
NamNgiep2,2016,USD/MWh,0.001
NamNgiep3A,2016,USD/MWh,0.001
NamSan3A,2016,USD/MWh,0.001
NamTheun2,2016,USD/MWh,0.001
Xekaman1,2016,USD/MWh,0.001
TheunHinboun,2016,USD/MWh,0.001
Xeset1,2016,USD/MWh,0.001
Xeset3,2016,USD/MWh,0.001
Xeset2,2016,USD/MWh,0.001
Salabam,2016,USD/MWh,0.001
EGATSirindhorn,2016,USD/MWh,40.0
ChinMengLa,2016,USD/MWh,60.0
EGATBungkan,2016,USD/MWh,200.0
EGATMukdahan,2016,USD/MWh,200.0
