zone,year,month,hour,unit,value
system,2011,1,1,MW,51754.08000000054
system,2011,1,2,MW,49544.31999999515
system,2011,1,3,MW,47602.24000000015
system,2011,1,4,MW,46456.480000009025
system,2011,1,5,MW,44713.76000000548
system,2011,1,6,MW,41500.480000002484
system,2011,1,7,MW,41523.99999999423
system,2011,1,8,MW,42217.279999994804
system,2011,1,9,MW,44829.12000000324
system,2011,1,10,MW,47887.839999992655
system,2011,1,11,MW,51251.20000000074
system,2011,1,12,MW,52524.640000000865
system,2011,1,13,MW,51830.23999999969
system,2011,1,14,MW,51267.99999998866
system,2011,1,15,MW,51163.83999999934
system,2011,1,16,MW,52942.39999999586
system,2011,1,17,MW,57564.64000000193
system,2011,1,18,MW,58424.79999999915
system,2011,1,19,MW,57504.16000000532
system,2011,1,20,MW,55480.31999999339
system,2011,1,21,MW,54737.76000000454
system,2011,1,22,MW,55400.80000000553
system,2011,1,23,MW,52606.40000000039
system,2011,1,24,MW,49222.88000000439
