tech,zone,year,month,hour,unit,value
218_Wind_Offshore,system,2011,1,1,fraction,0.999999979268
218_Wind_Offshore,system,2011,1,2,fraction,0.999999979268
218_Wind_Offshore,system,2011,1,3,fraction,0.999999979268
218_Wind_Offshore,system,2011,1,4,fraction,0.999999979268
218_Wind_Offshore,system,2011,1,5,fraction,0.999999979268
218_Wind_Offshore,system,2011,1,6,fraction,0.999999979268
218_Wind_Offshore,system,2011,1,7,fraction,0.999999979268
218_Wind_Offshore,system,2011,1,8,fraction,0.999999979268
218_Wind_Offshore,system,2011,1,9,fraction,0.999999979268
218_Wind_Offshore,system,2011,1,10,fraction,0.999999979268
218_Wind_Offshore,system,2011,1,11,fraction,0.999825830045
218_Wind_Offshore,system,2011,1,12,fraction,0.99892211997
218_Wind_Offshore,system,2011,1,13,fraction,0.96845181092
218_Wind_Offshore,system,2011,1,14,fraction,0.969058741694
218_Wind_Offshore,system,2011,1,15,fraction,0.934033704841
218_Wind_Offshore,system,2011,1,16,fraction,0.807179575381
218_Wind_Offshore,system,2011,1,17,fraction,0.678732395172
218_Wind_Offshore,system,2011,1,18,fraction,0.56512594223
218_Wind_Offshore,system,2011,1,19,fraction,0.388604013816
218_Wind_Offshore,system,2011,1,20,fraction,0.396342692168
218_Wind_Offshore,system,2011,1,21,fraction,0.387056236682
218_Wind_Offshore,system,2011,1,22,fraction,0.385508537292
218_Wind_Offshore,system,2011,1,23,fraction,0.394794966864
218_Wind_Offshore,system,2011,1,24,fraction,0.410118984139
221_Wind_Offshore,system,2011,1,1,fraction,1.0
221_Wind_Offshore,system,2011,1,2,fraction,1.0
221_Wind_Offshore,system,2011,1,3,fraction,1.0
221_Wind_Offshore,system,2011,1,4,fraction,1.0
221_Wind_Offshore,system,2011,1,5,fraction,1.0
221_Wind_Offshore,system,2011,1,6,fraction,1.0
221_Wind_Offshore,system,2011,1,7,fraction,1.0
221_Wind_Offshore,system,2011,1,8,fraction,1.0
221_Wind_Offshore,system,2011,1,9,fraction,1.0
221_Wind_Offshore,system,2011,1,10,fraction,1.0
221_Wind_Offshore,system,2011,1,11,fraction,1.0
221_Wind_Offshore,system,2011,1,12,fraction,1.0
