zone,year,unit,value
bus1,2020,fraction,0.05
bus2,2020,fraction,0.05
bus3,2020,fraction,0.05
bus4,2020,fraction,0.05
bus5,2020,fraction,0.05
bus6,2020,fraction,0.05
bus7,2020,fraction,0.05
bus8,2020,fraction,0.05
bus9,2020,fraction,0.05
bus10,2020,fraction,0.05
bus11,2020,fraction,0.05
bus12,2020,fraction,0.05
bus13,2020,fraction,0.05
bus14,2020,fraction,0.05
bus15,2020,fraction,0.05
bus16,2020,fraction,0.05
bus17,2020,fraction,0.05
bus18,2020,fraction,0.05
bus19,2020,fraction,0.05
bus20,2020,fraction,0.05
bus21,2020,fraction,0.05
bus22,2020,fraction,0.05
bus23,2020,fraction,0.05
bus24,2020,fraction,0.05
