zone,year,unit,value
bus1,2020,USD/tCO2,0.0
bus2,2020,USD/tCO2,0.0
bus3,2020,USD/tCO2,0.0
bus4,2020,USD/tCO2,0.0
bus5,2020,USD/tCO2,0.0
bus6,2020,USD/tCO2,0.0
bus7,2020,USD/tCO2,0.0
bus8,2020,USD/tCO2,0.0
bus9,2020,USD/tCO2,0.0
bus10,2020,USD/tCO2,0.0
bus11,2020,USD/tCO2,0.0
bus12,2020,USD/tCO2,0.0
bus13,2020,USD/tCO2,0.0
bus14,2020,USD/tCO2,0.0
bus15,2020,USD/tCO2,0.0
bus16,2020,USD/tCO2,0.0
bus17,2020,USD/tCO2,0.0
bus18,2020,USD/tCO2,0.0
bus19,2020,USD/tCO2,0.0
bus20,2020,USD/tCO2,0.0
bus21,2020,USD/tCO2,0.0
bus22,2020,USD/tCO2,0.0
bus23,2020,USD/tCO2,0.0
bus24,2020,USD/tCO2,0.0
