tech,year,unit,value
U20_b1a,2020,USD/MMBtu,0.0
U20_b1b,2020,USD/MMBtu,0.0
U76_b1a,2020,USD/MMBtu,0.0
U76_b1b,2020,USD/MMBtu,0.0
U20_b2a,2020,USD/MMBtu,0.0
U20_b2b,2020,USD/MMBtu,0.0
U76_b2a,2020,USD/MMBtu,0.0
U76_b2b,2020,USD/MMBtu,0.0
U100_b7a,2020,USD/MMBtu,0.0
U100_b7b,2020,USD/MMBtu,0.0
U100_b7c,2020,USD/MMBtu,0.0
U197_b13a,2020,USD/MMBtu,0.0
U197_b13b,2020,USD/MMBtu,0.0
U197_b13c,2020,USD/MMBtu,0.0
U12_b15a,2020,USD/MMBtu,0.0
U12_b15b,2020,USD/MMBtu,0.0
U12_b15c,2020,USD/MMBtu,0.0
U12_b15d,2020,USD/MMBtu,0.0
U12_b15e,2020,USD/MMBtu,0.0
U155_b15,2020,USD/MMBtu,0.0
U155_b16,2020,USD/MMBtu,0.0
U400_b18,2020,USD/MMBtu,0.0
U400_b21,2020,USD/MMBtu,0.0
U50_b22a,2020,USD/MMBtu,0.0
U50_b22b,2020,USD/MMBtu,0.0
U50_b22c,2020,USD/MMBtu,0.0
U50_b22d,2020,USD/MMBtu,0.0
U50_b22e,2020,USD/MMBtu,0.0
U50_b22f,2020,USD/MMBtu,0.0
U155_b23a,2020,USD/MMBtu,0.0
U155_b23b,2020,USD/MMBtu,0.0
U350_b23,2020,USD/MMBtu,0.0
