tech,unit,value
U20_b1a,fraction,1.0
U20_b1b,fraction,1.0
U76_b1a,fraction,1.0
U76_b1b,fraction,1.0
U20_b2a,fraction,1.0
U20_b2b,fraction,1.0
U76_b2a,fraction,1.0
U76_b2b,fraction,1.0
U100_b7a,fraction,1.0
U100_b7b,fraction,1.0
U100_b7c,fraction,1.0
U197_b13a,fraction,1.0
U197_b13b,fraction,1.0
U197_b13c,fraction,1.0
U12_b15a,fraction,1.0
U12_b15b,fraction,1.0
U12_b15c,fraction,1.0
U12_b15d,fraction,1.0
U12_b15e,fraction,1.0
U155_b15,fraction,1.0
U155_b16,fraction,1.0
U400_b18,fraction,1.0
U400_b21,fraction,1.0
U50_b22a,fraction,1.0
U50_b22b,fraction,1.0
U50_b22c,fraction,1.0
U50_b22d,fraction,1.0
U50_b22e,fraction,1.0
U50_b22f,fraction,1.0
U155_b23a,fraction,1.0
U155_b23b,fraction,1.0
U350_b23,fraction,1.0
