zone,tech,year,capacity
bus101,U20a_a1,2020,20.0
bus101,U20b_a1,2020,20.0
bus101,U76a_a1,2020,76.0
bus101,U76b_a1,2020,76.0
bus102,U20c_a1,2020,20.0
bus102,U20d_a1,2020,20.0
bus102,U76c_a1,2020,76.0
bus102,U76d_a1,2020,76.0
bus107,U100a_a1,2020,100.0
bus107,U100b_a1,2020,100.0
bus107,U100c_a1,2020,100.0
bus113,U197a_a1,2020,197.0
bus113,U197b_a1,2020,197.0
bus113,U197c_a1,2020,197.0
bus115,U12a_a1,2020,12.0
bus115,U12b_a1,2020,12.0
bus115,U12c_a1,2020,12.0
bus115,U12d_a1,2020,12.0
bus115,U12e_a1,2020,12.0
bus115,U155a_a1,2020,155.0
bus116,U155b_a1,2020,155.0
bus118,U400a_a1,2020,400.0
bus121,U400b_a1,2020,400.0
bus122,U50a_a1,2020,50.0
bus122,U50b_a1,2020,50.0
bus122,U50c_a1,2020,50.0
bus122,U50d_a1,2020,50.0
bus122,U50e_a1,2020,50.0
bus122,U50f_a1,2020,50.0
bus123,U155c_a1,2020,155.0
bus123,U155d_a1,2020,155.0
bus123,U350_a1,2020,350.0
bus201,U20a_a2,2020,20.0
bus201,U20b_a2,2020,20.0
bus201,U76a_a2,2020,76.0
bus201,U76b_a2,2020,76.0
bus202,U20c_a2,2020,20.0
bus202,U20d_a2,2020,20.0
bus202,U76c_a2,2020,76.0
bus202,U76d_a2,2020,76.0
bus207,U100a_a2,2020,100.0
bus207,U100b_a2,2020,100.0
bus207,U100c_a2,2020,100.0
bus213,U197a_a2,2020,197.0
bus213,U197b_a2,2020,197.0
bus213,U197c_a2,2020,197.0
bus215,U12a_a2,2020,12.0
bus215,U12b_a2,2020,12.0
bus215,U12c_a2,2020,12.0
bus215,U12d_a2,2020,12.0
bus215,U12e_a2,2020,12.0
bus215,U155a_a2,2020,155.0
bus216,U155b_a2,2020,155.0
bus218,U400a_a2,2020,400.0
bus221,U400b_a2,2020,400.0
bus222,U50a_a2,2020,50.0
bus222,U50b_a2,2020,50.0
bus222,U50c_a2,2020,50.0
bus222,U50d_a2,2020,50.0
bus222,U50e_a2,2020,50.0
bus222,U50f_a2,2020,50.0
bus223,U155c_a2,2020,155.0
bus223,U155d_a2,2020,155.0
bus223,U350_a2,2020,350.0
bus301,U20a_a3,2020,20.0
bus301,U20b_a3,2020,20.0
bus301,U76a_a3,2020,76.0
bus301,U76b_a3,2020,76.0
bus302,U20c_a3,2020,20.0
bus302,U20d_a3,2020,20.0
bus302,U76c_a3,2020,76.0
bus302,U76d_a3,2020,76.0
bus307,U100a_a3,2020,100.0
bus307,U100b_a3,2020,100.0
bus307,U100c_a3,2020,100.0
bus313,U197a_a3,2020,197.0
bus313,U197b_a3,2020,197.0
bus313,U197c_a3,2020,197.0
bus315,U12a_a3,2020,12.0
bus315,U12b_a3,2020,12.0
bus315,U12c_a3,2020,12.0
bus315,U12d_a3,2020,12.0
bus315,U12e_a3,2020,12.0
bus315,U155a_a3,2020,155.0
bus316,U155b_a3,2020,155.0
bus318,U400a_a3,2020,400.0
bus321,U400b_a3,2020,400.0
bus322,U50a_a3,2020,50.0
bus322,U50b_a3,2020,50.0
bus322,U50c_a3,2020,50.0
bus322,U50d_a3,2020,50.0
bus322,U50e_a3,2020,50.0
bus322,U50f_a3,2020,50.0
bus323,U155c_a3,2020,155.0
bus323,U155d_a3,2020,155.0
bus323,U350_a3,2020,350.0
