zone,year,unit,value
bus101,2020,fraction,0.0
bus102,2020,fraction,0.0
bus103,2020,fraction,0.0
bus104,2020,fraction,0.0
bus105,2020,fraction,0.0
bus106,2020,fraction,0.0
bus107,2020,fraction,0.0
bus108,2020,fraction,0.0
bus109,2020,fraction,0.0
bus110,2020,fraction,0.0
bus111,2020,fraction,0.0
bus112,2020,fraction,0.0
bus113,2020,fraction,0.0
bus114,2020,fraction,0.0
bus115,2020,fraction,0.0
bus116,2020,fraction,0.0
bus117,2020,fraction,0.0
bus118,2020,fraction,0.0
bus119,2020,fraction,0.0
bus120,2020,fraction,0.0
bus121,2020,fraction,0.0
bus122,2020,fraction,0.0
bus123,2020,fraction,0.0
bus124,2020,fraction,0.0
bus201,2020,fraction,0.0
bus202,2020,fraction,0.0
bus203,2020,fraction,0.0
bus204,2020,fraction,0.0
bus205,2020,fraction,0.0
bus206,2020,fraction,0.0
bus207,2020,fraction,0.0
bus208,2020,fraction,0.0
bus209,2020,fraction,0.0
bus210,2020,fraction,0.0
bus211,2020,fraction,0.0
bus212,2020,fraction,0.0
bus213,2020,fraction,0.0
bus214,2020,fraction,0.0
bus215,2020,fraction,0.0
bus216,2020,fraction,0.0
bus217,2020,fraction,0.0
bus218,2020,fraction,0.0
bus219,2020,fraction,0.0
bus220,2020,fraction,0.0
bus221,2020,fraction,0.0
bus222,2020,fraction,0.0
bus223,2020,fraction,0.0
bus224,2020,fraction,0.0
bus301,2020,fraction,0.0
bus302,2020,fraction,0.0
bus303,2020,fraction,0.0
bus304,2020,fraction,0.0
bus305,2020,fraction,0.0
bus306,2020,fraction,0.0
bus307,2020,fraction,0.0
bus308,2020,fraction,0.0
bus309,2020,fraction,0.0
bus310,2020,fraction,0.0
bus311,2020,fraction,0.0
bus312,2020,fraction,0.0
bus313,2020,fraction,0.0
bus314,2020,fraction,0.0
bus315,2020,fraction,0.0
bus316,2020,fraction,0.0
bus317,2020,fraction,0.0
bus318,2020,fraction,0.0
bus319,2020,fraction,0.0
bus320,2020,fraction,0.0
bus321,2020,fraction,0.0
bus322,2020,fraction,0.0
bus323,2020,fraction,0.0
bus324,2020,fraction,0.0
bus325,2020,fraction,0.0
