tech,zone,commission_year,unit,capacity
U20a_a1,bus101,2020,MW,20.0
U20b_a1,bus101,2020,MW,20.0
U76a_a1,bus101,2020,MW,76.0
U76b_a1,bus101,2020,MW,76.0
U20c_a1,bus102,2020,MW,20.0
U20d_a1,bus102,2020,MW,20.0
U76c_a1,bus102,2020,MW,76.0
U76d_a1,bus102,2020,MW,76.0
U100a_a1,bus107,2020,MW,100.0
U100b_a1,bus107,2020,MW,100.0
U100c_a1,bus107,2020,MW,100.0
U197a_a1,bus113,2020,MW,197.0
U197b_a1,bus113,2020,MW,197.0
U197c_a1,bus113,2020,MW,197.0
U12a_a1,bus115,2020,MW,12.0
U12b_a1,bus115,2020,MW,12.0
U12c_a1,bus115,2020,MW,12.0
U12d_a1,bus115,2020,MW,12.0
U12e_a1,bus115,2020,MW,12.0
U155a_a1,bus115,2020,MW,155.0
U155b_a1,bus116,2020,MW,155.0
U400a_a1,bus118,2020,MW,400.0
U400b_a1,bus121,2020,MW,400.0
U50a_a1,bus122,2020,MW,50.0
U50b_a1,bus122,2020,MW,50.0
U50c_a1,bus122,2020,MW,50.0
U50d_a1,bus122,2020,MW,50.0
U50e_a1,bus122,2020,MW,50.0
U50f_a1,bus122,2020,MW,50.0
U155c_a1,bus123,2020,MW,155.0
U155d_a1,bus123,2020,MW,155.0
U350_a1,bus123,2020,MW,350.0
U20a_a2,bus201,2020,MW,20.0
U20b_a2,bus201,2020,MW,20.0
U76a_a2,bus201,2020,MW,76.0
U76b_a2,bus201,2020,MW,76.0
U20c_a2,bus202,2020,MW,20.0
U20d_a2,bus202,2020,MW,20.0
U76c_a2,bus202,2020,MW,76.0
U76d_a2,bus202,2020,MW,76.0
U100a_a2,bus207,2020,MW,100.0
U100b_a2,bus207,2020,MW,100.0
U100c_a2,bus207,2020,MW,100.0
U197a_a2,bus213,2020,MW,197.0
U197b_a2,bus213,2020,MW,197.0
U197c_a2,bus213,2020,MW,197.0
U12a_a2,bus215,2020,MW,12.0
U12b_a2,bus215,2020,MW,12.0
U12c_a2,bus215,2020,MW,12.0
U12d_a2,bus215,2020,MW,12.0
U12e_a2,bus215,2020,MW,12.0
U155a_a2,bus215,2020,MW,155.0
U155b_a2,bus216,2020,MW,155.0
U400a_a2,bus218,2020,MW,400.0
U400b_a2,bus221,2020,MW,400.0
U50a_a2,bus222,2020,MW,50.0
U50b_a2,bus222,2020,MW,50.0
U50c_a2,bus222,2020,MW,50.0
U50d_a2,bus222,2020,MW,50.0
U50e_a2,bus222,2020,MW,50.0
U50f_a2,bus222,2020,MW,50.0
U155c_a2,bus223,2020,MW,155.0
U155d_a2,bus223,2020,MW,155.0
U350_a2,bus223,2020,MW,350.0
U20a_a3,bus301,2020,MW,20.0
U20b_a3,bus301,2020,MW,20.0
U76a_a3,bus301,2020,MW,76.0
U76b_a3,bus301,2020,MW,76.0
U20c_a3,bus302,2020,MW,20.0
U20d_a3,bus302,2020,MW,20.0
U76c_a3,bus302,2020,MW,76.0
U76d_a3,bus302,2020,MW,76.0
U100a_a3,bus307,2020,MW,100.0
U100b_a3,bus307,2020,MW,100.0
U100c_a3,bus307,2020,MW,100.0
U197a_a3,bus313,2020,MW,197.0
U197b_a3,bus313,2020,MW,197.0
U197c_a3,bus313,2020,MW,197.0
U12a_a3,bus315,2020,MW,12.0
U12b_a3,bus315,2020,MW,12.0
U12c_a3,bus315,2020,MW,12.0
U12d_a3,bus315,2020,MW,12.0
U12e_a3,bus315,2020,MW,12.0
U155a_a3,bus315,2020,MW,155.0
U155b_a3,bus316,2020,MW,155.0
U400a_a3,bus318,2020,MW,400.0
U400b_a3,bus321,2020,MW,400.0
U50a_a3,bus322,2020,MW,50.0
U50b_a3,bus322,2020,MW,50.0
U50c_a3,bus322,2020,MW,50.0
U50d_a3,bus322,2020,MW,50.0
U50e_a3,bus322,2020,MW,50.0
U50f_a3,bus322,2020,MW,50.0
U155c_a3,bus323,2020,MW,155.0
U155d_a3,bus323,2020,MW,155.0
U350_a3,bus323,2020,MW,350.0
