tech,name,carrier,is_storage
U20a_a1,U20a_a1,oil,False
U20b_a1,U20b_a1,oil,False
U76a_a1,U76a_a1,coal,False
U76b_a1,U76b_a1,coal,False
U20c_a1,U20c_a1,oil,False
U20d_a1,U20d_a1,oil,False
U76c_a1,U76c_a1,coal,False
U76d_a1,U76d_a1,coal,False
U100a_a1,U100a_a1,oil,False
U100b_a1,U100b_a1,oil,False
U100c_a1,U100c_a1,oil,False
U197a_a1,U197a_a1,oil,False
U197b_a1,U197b_a1,oil,False
U197c_a1,U197c_a1,oil,False
U12a_a1,U12a_a1,oil,False
U12b_a1,U12b_a1,oil,False
U12c_a1,U12c_a1,oil,False
U12d_a1,U12d_a1,oil,False
U12e_a1,U12e_a1,oil,False
U155a_a1,U155a_a1,coal,False
U155b_a1,U155b_a1,coal,False
U400a_a1,U400a_a1,nuclear,False
U400b_a1,U400b_a1,nuclear,False
U50a_a1,U50a_a1,hydro,False
U50b_a1,U50b_a1,hydro,False
U50c_a1,U50c_a1,hydro,False
U50d_a1,U50d_a1,hydro,False
U50e_a1,U50e_a1,hydro,False
U50f_a1,U50f_a1,hydro,False
U155c_a1,U155c_a1,coal,False
U155d_a1,U155d_a1,coal,False
U350_a1,U350_a1,coal,False
U20a_a2,U20a_a2,oil,False
U20b_a2,U20b_a2,oil,False
U76a_a2,U76a_a2,coal,False
U76b_a2,U76b_a2,coal,False
U20c_a2,U20c_a2,oil,False
U20d_a2,U20d_a2,oil,False
U76c_a2,U76c_a2,coal,False
U76d_a2,U76d_a2,coal,False
U100a_a2,U100a_a2,oil,False
U100b_a2,U100b_a2,oil,False
U100c_a2,U100c_a2,oil,False
U197a_a2,U197a_a2,oil,False
U197b_a2,U197b_a2,oil,False
U197c_a2,U197c_a2,oil,False
U12a_a2,U12a_a2,oil,False
U12b_a2,U12b_a2,oil,False
U12c_a2,U12c_a2,oil,False
U12d_a2,U12d_a2,oil,False
U12e_a2,U12e_a2,oil,False
U155a_a2,U155a_a2,coal,False
U155b_a2,U155b_a2,coal,False
U400a_a2,U400a_a2,nuclear,False
U400b_a2,U400b_a2,nuclear,False
U50a_a2,U50a_a2,hydro,False
U50b_a2,U50b_a2,hydro,False
U50c_a2,U50c_a2,hydro,False
U50d_a2,U50d_a2,hydro,False
U50e_a2,U50e_a2,hydro,False
U50f_a2,U50f_a2,hydro,False
U155c_a2,U155c_a2,coal,False
U155d_a2,U155d_a2,coal,False
U350_a2,U350_a2,coal,False
U20a_a3,U20a_a3,oil,False
U20b_a3,U20b_a3,oil,False
U76a_a3,U76a_a3,coal,False
U76b_a3,U76b_a3,coal,False
U20c_a3,U20c_a3,oil,False
U20d_a3,U20d_a3,oil,False
U76c_a3,U76c_a3,coal,False
U76d_a3,U76d_a3,coal,False
U100a_a3,U100a_a3,oil,False
U100b_a3,U100b_a3,oil,False
U100c_a3,U100c_a3,oil,False
U197a_a3,U197a_a3,oil,False
U197b_a3,U197b_a3,oil,False
U197c_a3,U197c_a3,oil,False
U12a_a3,U12a_a3,oil,False
U12b_a3,U12b_a3,oil,False
U12c_a3,U12c_a3,oil,False
U12d_a3,U12d_a3,oil,False
U12e_a3,U12e_a3,oil,False
U155a_a3,U155a_a3,coal,False
U155b_a3,U155b_a3,coal,False
U400a_a3,U400a_a3,nuclear,False
U400b_a3,U400b_a3,nuclear,False
U50a_a3,U50a_a3,hydro,False
U50b_a3,U50b_a3,hydro,False
U50c_a3,U50c_a3,hydro,False
U50d_a3,U50d_a3,hydro,False
U50e_a3,U50e_a3,hydro,False
U50f_a3,U50f_a3,hydro,False
U155c_a3,U155c_a3,coal,False
U155d_a3,U155d_a3,coal,False
U350_a3,U350_a3,coal,False
