tech,year,unit,value
U20a_a1,2020,USD/MWh,130.0
U20b_a1,2020,USD/MWh,130.0
U76a_a1,2020,USD/MWh,16.0811
U76b_a1,2020,USD/MWh,16.0811
U20c_a1,2020,USD/MWh,130.0
U20d_a1,2020,USD/MWh,130.0
U76c_a1,2020,USD/MWh,16.0811
U76d_a1,2020,USD/MWh,16.0811
U100a_a1,2020,USD/MWh,43.6615
U100b_a1,2020,USD/MWh,43.6615
U100c_a1,2020,USD/MWh,43.6615
U197a_a1,2020,USD/MWh,48.5804
U197b_a1,2020,USD/MWh,48.5804
U197c_a1,2020,USD/MWh,48.5804
U12a_a1,2020,USD/MWh,56.564
U12b_a1,2020,USD/MWh,56.564
U12c_a1,2020,USD/MWh,56.564
U12d_a1,2020,USD/MWh,56.564
U12e_a1,2020,USD/MWh,56.564
U155a_a1,2020,USD/MWh,12.3883
U155b_a1,2020,USD/MWh,12.3883
U400a_a1,2020,USD/MWh,4.4231
U400b_a1,2020,USD/MWh,4.4231
U50a_a1,2020,USD/MWh,0.001
U50b_a1,2020,USD/MWh,0.001
U50c_a1,2020,USD/MWh,0.001
U50d_a1,2020,USD/MWh,0.001
U50e_a1,2020,USD/MWh,0.001
U50f_a1,2020,USD/MWh,0.001
U155c_a1,2020,USD/MWh,12.3883
U155d_a1,2020,USD/MWh,12.3883
U350_a1,2020,USD/MWh,11.8495
U20a_a2,2020,USD/MWh,130.0
U20b_a2,2020,USD/MWh,130.0
U76a_a2,2020,USD/MWh,16.0811
U76b_a2,2020,USD/MWh,16.0811
U20c_a2,2020,USD/MWh,130.0
U20d_a2,2020,USD/MWh,130.0
U76c_a2,2020,USD/MWh,16.0811
U76d_a2,2020,USD/MWh,16.0811
U100a_a2,2020,USD/MWh,43.6615
U100b_a2,2020,USD/MWh,43.6615
U100c_a2,2020,USD/MWh,43.6615
U197a_a2,2020,USD/MWh,48.5804
U197b_a2,2020,USD/MWh,48.5804
U197c_a2,2020,USD/MWh,48.5804
U12a_a2,2020,USD/MWh,56.564
U12b_a2,2020,USD/MWh,56.564
U12c_a2,2020,USD/MWh,56.564
U12d_a2,2020,USD/MWh,56.564
U12e_a2,2020,USD/MWh,56.564
U155a_a2,2020,USD/MWh,12.3883
U155b_a2,2020,USD/MWh,12.3883
U400a_a2,2020,USD/MWh,4.4231
U400b_a2,2020,USD/MWh,4.4231
U50a_a2,2020,USD/MWh,0.001
U50b_a2,2020,USD/MWh,0.001
U50c_a2,2020,USD/MWh,0.001
U50d_a2,2020,USD/MWh,0.001
U50e_a2,2020,USD/MWh,0.001
U50f_a2,2020,USD/MWh,0.001
U155c_a2,2020,USD/MWh,12.3883
U155d_a2,2020,USD/MWh,12.3883
U350_a2,2020,USD/MWh,11.8495
U20a_a3,2020,USD/MWh,130.0
U20b_a3,2020,USD/MWh,130.0
U76a_a3,2020,USD/MWh,16.0811
U76b_a3,2020,USD/MWh,16.0811
U20c_a3,2020,USD/MWh,130.0
U20d_a3,2020,USD/MWh,130.0
U76c_a3,2020,USD/MWh,16.0811
U76d_a3,2020,USD/MWh,16.0811
U100a_a3,2020,USD/MWh,43.6615
U100b_a3,2020,USD/MWh,43.6615
U100c_a3,2020,USD/MWh,43.6615
U197a_a3,2020,USD/MWh,48.5804
U197b_a3,2020,USD/MWh,48.5804
U197c_a3,2020,USD/MWh,48.5804
U12a_a3,2020,USD/MWh,56.564
U12b_a3,2020,USD/MWh,56.564
U12c_a3,2020,USD/MWh,56.564
U12d_a3,2020,USD/MWh,56.564
U12e_a3,2020,USD/MWh,56.564
U155a_a3,2020,USD/MWh,12.3883
U155b_a3,2020,USD/MWh,12.3883
U400a_a3,2020,USD/MWh,4.4231
U400b_a3,2020,USD/MWh,4.4231
U50a_a3,2020,USD/MWh,0.001
U50b_a3,2020,USD/MWh,0.001
U50c_a3,2020,USD/MWh,0.001
U50d_a3,2020,USD/MWh,0.001
U50e_a3,2020,USD/MWh,0.001
U50f_a3,2020,USD/MWh,0.001
U155c_a3,2020,USD/MWh,12.3883
U155d_a3,2020,USD/MWh,12.3883
U350_a3,2020,USD/MWh,11.8495
