zone1,zone2,unit,value
bus101,bus102,km,1.0
bus102,bus101,km,1.0
bus101,bus103,km,1.0
bus103,bus101,km,1.0
bus101,bus105,km,1.0
bus105,bus101,km,1.0
bus102,bus104,km,1.0
bus104,bus102,km,1.0
bus102,bus106,km,1.0
bus106,bus102,km,1.0
bus103,bus109,km,1.0
bus109,bus103,km,1.0
bus103,bus124,km,1.0
bus124,bus103,km,1.0
bus104,bus109,km,1.0
bus109,bus104,km,1.0
bus105,bus110,km,1.0
bus110,bus105,km,1.0
bus106,bus110,km,1.0
bus110,bus106,km,1.0
bus107,bus108,km,1.0
bus108,bus107,km,1.0
bus108,bus109,km,1.0
bus109,bus108,km,1.0
bus108,bus110,km,1.0
bus110,bus108,km,1.0
bus109,bus111,km,1.0
bus111,bus109,km,1.0
bus109,bus112,km,1.0
bus112,bus109,km,1.0
bus110,bus111,km,1.0
bus111,bus110,km,1.0
bus110,bus112,km,1.0
bus112,bus110,km,1.0
bus111,bus113,km,1.0
bus113,bus111,km,1.0
bus111,bus114,km,1.0
bus114,bus111,km,1.0
bus112,bus113,km,1.0
bus113,bus112,km,1.0
bus112,bus123,km,1.0
bus123,bus112,km,1.0
bus113,bus123,km,1.0
bus123,bus113,km,1.0
bus114,bus116,km,1.0
bus116,bus114,km,1.0
bus115,bus116,km,1.0
bus116,bus115,km,1.0
bus115,bus121,km,1.0
bus121,bus115,km,1.0
bus115,bus124,km,1.0
bus124,bus115,km,1.0
bus116,bus117,km,1.0
bus117,bus116,km,1.0
bus116,bus119,km,1.0
bus119,bus116,km,1.0
bus117,bus118,km,1.0
bus118,bus117,km,1.0
bus117,bus122,km,1.0
bus122,bus117,km,1.0
bus118,bus121,km,1.0
bus121,bus118,km,1.0
bus119,bus120,km,1.0
bus120,bus119,km,1.0
bus120,bus123,km,1.0
bus123,bus120,km,1.0
bus121,bus122,km,1.0
bus122,bus121,km,1.0
bus201,bus202,km,1.0
bus202,bus201,km,1.0
bus201,bus203,km,1.0
bus203,bus201,km,1.0
bus201,bus205,km,1.0
bus205,bus201,km,1.0
bus202,bus204,km,1.0
bus204,bus202,km,1.0
bus202,bus206,km,1.0
bus206,bus202,km,1.0
bus203,bus209,km,1.0
bus209,bus203,km,1.0
bus203,bus224,km,1.0
bus224,bus203,km,1.0
bus204,bus209,km,1.0
bus209,bus204,km,1.0
bus205,bus210,km,1.0
bus210,bus205,km,1.0
bus206,bus210,km,1.0
bus210,bus206,km,1.0
bus207,bus208,km,1.0
bus208,bus207,km,1.0
bus208,bus209,km,1.0
bus209,bus208,km,1.0
bus208,bus210,km,1.0
bus210,bus208,km,1.0
bus209,bus211,km,1.0
bus211,bus209,km,1.0
bus209,bus212,km,1.0
bus212,bus209,km,1.0
bus210,bus211,km,1.0
bus211,bus210,km,1.0
bus210,bus212,km,1.0
bus212,bus210,km,1.0
bus211,bus213,km,1.0
bus213,bus211,km,1.0
bus211,bus214,km,1.0
bus214,bus211,km,1.0
bus212,bus213,km,1.0
bus213,bus212,km,1.0
bus212,bus223,km,1.0
