zone1,zone2,year,unit,value
bus101,bus102,2020,years,100.0
bus102,bus101,2020,years,100.0
bus101,bus103,2020,years,100.0
bus103,bus101,2020,years,100.0
bus101,bus105,2020,years,100.0
bus105,bus101,2020,years,100.0
bus102,bus104,2020,years,100.0
bus104,bus102,2020,years,100.0
bus102,bus106,2020,years,100.0
bus106,bus102,2020,years,100.0
bus103,bus109,2020,years,100.0
bus109,bus103,2020,years,100.0
bus103,bus124,2020,years,100.0
bus124,bus103,2020,years,100.0
bus104,bus109,2020,years,100.0
bus109,bus104,2020,years,100.0
bus105,bus110,2020,years,100.0
bus110,bus105,2020,years,100.0
bus106,bus110,2020,years,100.0
bus110,bus106,2020,years,100.0
bus107,bus108,2020,years,100.0
bus108,bus107,2020,years,100.0
bus108,bus109,2020,years,100.0
bus109,bus108,2020,years,100.0
bus108,bus110,2020,years,100.0
bus110,bus108,2020,years,100.0
bus109,bus111,2020,years,100.0
bus111,bus109,2020,years,100.0
bus109,bus112,2020,years,100.0
bus112,bus109,2020,years,100.0
bus110,bus111,2020,years,100.0
bus111,bus110,2020,years,100.0
bus110,bus112,2020,years,100.0
bus112,bus110,2020,years,100.0
bus111,bus113,2020,years,100.0
bus113,bus111,2020,years,100.0
bus111,bus114,2020,years,100.0
bus114,bus111,2020,years,100.0
bus112,bus113,2020,years,100.0
bus113,bus112,2020,years,100.0
bus112,bus123,2020,years,100.0
bus123,bus112,2020,years,100.0
bus113,bus123,2020,years,100.0
bus123,bus113,2020,years,100.0
bus114,bus116,2020,years,100.0
bus116,bus114,2020,years,100.0
bus115,bus116,2020,years,100.0
bus116,bus115,2020,years,100.0
bus115,bus121,2020,years,100.0
bus121,bus115,2020,years,100.0
bus115,bus124,2020,years,100.0
bus124,bus115,2020,years,100.0
bus116,bus117,2020,years,100.0
bus117,bus116,2020,years,100.0
bus116,bus119,2020,years,100.0
bus119,bus116,2020,years,100.0
bus117,bus118,2020,years,100.0
bus118,bus117,2020,years,100.0
bus117,bus122,2020,years,100.0
bus122,bus117,2020,years,100.0
bus118,bus121,2020,years,100.0
bus121,bus118,2020,years,100.0
bus119,bus120,2020,years,100.0
bus120,bus119,2020,years,100.0
bus120,bus123,2020,years,100.0
bus123,bus120,2020,years,100.0
bus121,bus122,2020,years,100.0
bus122,bus121,2020,years,100.0
bus201,bus202,2020,years,100.0
bus202,bus201,2020,years,100.0
bus201,bus203,2020,years,100.0
bus203,bus201,2020,years,100.0
bus201,bus205,2020,years,100.0
bus205,bus201,2020,years,100.0
bus202,bus204,2020,years,100.0
bus204,bus202,2020,years,100.0
bus202,bus206,2020,years,100.0
bus206,bus202,2020,years,100.0
bus203,bus209,2020,years,100.0
bus209,bus203,2020,years,100.0
bus203,bus224,2020,years,100.0
bus224,bus203,2020,years,100.0
bus204,bus209,2020,years,100.0
bus209,bus204,2020,years,100.0
bus205,bus210,2020,years,100.0
