zone1,zone2,unit,value
bus101,bus102,fraction,1.0
bus102,bus101,fraction,1.0
bus101,bus103,fraction,1.0
bus103,bus101,fraction,1.0
bus101,bus105,fraction,1.0
bus105,bus101,fraction,1.0
bus102,bus104,fraction,1.0
bus104,bus102,fraction,1.0
bus102,bus106,fraction,1.0
bus106,bus102,fraction,1.0
bus103,bus109,fraction,1.0
bus109,bus103,fraction,1.0
bus103,bus124,fraction,1.0
bus124,bus103,fraction,1.0
bus104,bus109,fraction,1.0
bus109,bus104,fraction,1.0
bus105,bus110,fraction,1.0
bus110,bus105,fraction,1.0
bus106,bus110,fraction,1.0
bus110,bus106,fraction,1.0
bus107,bus108,fraction,1.0
bus108,bus107,fraction,1.0
bus108,bus109,fraction,1.0
bus109,bus108,fraction,1.0
bus108,bus110,fraction,1.0
bus110,bus108,fraction,1.0
bus109,bus111,fraction,1.0
bus111,bus109,fraction,1.0
bus109,bus112,fraction,1.0
bus112,bus109,fraction,1.0
bus110,bus111,fraction,1.0
bus111,bus110,fraction,1.0
bus110,bus112,fraction,1.0
bus112,bus110,fraction,1.0
bus111,bus113,fraction,1.0
bus113,bus111,fraction,1.0
bus111,bus114,fraction,1.0
bus114,bus111,fraction,1.0
bus112,bus113,fraction,1.0
bus113,bus112,fraction,1.0
bus112,bus123,fraction,1.0
bus123,bus112,fraction,1.0
bus113,bus123,fraction,1.0
bus123,bus113,fraction,1.0
bus114,bus116,fraction,1.0
bus116,bus114,fraction,1.0
bus115,bus116,fraction,1.0
bus116,bus115,fraction,1.0
bus115,bus121,fraction,1.0
bus121,bus115,fraction,1.0
bus115,bus124,fraction,1.0
bus124,bus115,fraction,1.0
bus116,bus117,fraction,1.0
bus117,bus116,fraction,1.0
bus116,bus119,fraction,1.0
bus119,bus116,fraction,1.0
bus117,bus118,fraction,1.0
bus118,bus117,fraction,1.0
bus117,bus122,fraction,1.0
bus122,bus117,fraction,1.0
bus118,bus121,fraction,1.0
bus121,bus118,fraction,1.0
bus119,bus120,fraction,1.0
bus120,bus119,fraction,1.0
bus120,bus123,fraction,1.0
bus123,bus120,fraction,1.0
bus121,bus122,fraction,1.0
bus122,bus121,fraction,1.0
bus201,bus202,fraction,1.0
bus202,bus201,fraction,1.0
bus201,bus203,fraction,1.0
bus203,bus201,fraction,1.0
bus201,bus205,fraction,1.0
bus205,bus201,fraction,1.0
bus202,bus204,fraction,1.0
bus204,bus202,fraction,1.0
bus202,bus206,fraction,1.0
bus206,bus202,fraction,1.0
bus203,bus209,fraction,1.0
bus209,bus203,fraction,1.0
bus203,bus224,fraction,1.0
bus224,bus203,fraction,1.0
bus204,bus209,fraction,1.0
bus209,bus204,fraction,1.0
bus205,bus210,fraction,1.0
bus210,bus205,fraction,1.0
bus206,bus210,fraction,1.0
bus210,bus206,fraction,1.0
bus207,bus208,fraction,1.0
bus208,bus207,fraction,1.0
bus208,bus209,fraction,1.0
bus209,bus208,fraction,1.0
bus208,bus210,fraction,1.0
bus210,bus208,fraction,1.0
bus209,bus211,fraction,1.0
bus211,bus209,fraction,1.0
bus209,bus212,fraction,1.0
bus212,bus209,fraction,1.0
bus210,bus211,fraction,1.0
bus211,bus210,fraction,1.0
bus210,bus212,fraction,1.0
bus212,bus210,fraction,1.0
bus211,bus213,fraction,1.0
bus213,bus211,fraction,1.0
bus211,bus214,fraction,1.0
bus214,bus211,fraction,1.0
bus212,bus213,fraction,1.0
bus213,bus212,fraction,1.0
bus212,bus223,fraction,1.0
bus223,bus212,fraction,1.0
bus213,bus223,fraction,1.0
bus223,bus213,fraction,1.0
bus214,bus216,fraction,1.0
bus216,bus214,fraction,1.0
bus215,bus216,fraction,1.0
bus216,bus215,fraction,1.0
bus215,bus221,fraction,1.0
bus221,bus215,fraction,1.0
bus215,bus224,fraction,1.0
bus224,bus215,fraction,1.0
bus216,bus217,fraction,1.0
bus217,bus216,fraction,1.0
bus216,bus219,fraction,1.0
bus219,bus216,fraction,1.0
bus217,bus218,fraction,1.0
bus218,bus217,fraction,1.0
bus217,bus222,fraction,1.0
bus222,bus217,fraction,1.0
bus218,bus221,fraction,1.0
bus221,bus218,fraction,1.0
bus219,bus220,fraction,1.0
bus220,bus219,fraction,1.0
bus220,bus223,fraction,1.0
bus223,bus220,fraction,1.0
bus221,bus222,fraction,1.0
bus222,bus221,fraction,1.0
bus301,bus302,fraction,1.0
bus302,bus301,fraction,1.0
bus301,bus303,fraction,1.0
bus303,bus301,fraction,1.0
bus301,bus305,fraction,1.0
bus305,bus301,fraction,1.0
bus302,bus304,fraction,1.0
bus304,bus302,fraction,1.0
bus302,bus306,fraction,1.0
bus306,bus302,fraction,1.0
bus303,bus309,fraction,1.0
bus309,bus303,fraction,1.0
bus303,bus324,fraction,1.0
bus324,bus303,fraction,1.0
bus304,bus309,fraction,1.0
bus309,bus304,fraction,1.0
bus305,bus310,fraction,1.0
bus310,bus305,fraction,1.0
bus306,bus310,fraction,1.0
bus310,bus306,fraction,1.0
bus307,bus308,fraction,1.0
bus308,bus307,fraction,1.0
bus308,bus309,fraction,1.0
bus309,bus308,fraction,1.0
bus308,bus310,fraction,1.0
bus310,bus308,fraction,1.0
bus309,bus311,fraction,1.0
bus311,bus309,fraction,1.0
bus309,bus312,fraction,1.0
bus312,bus309,fraction,1.0
bus310,bus311,fraction,1.0
bus311,bus310,fraction,1.0
bus310,bus312,fraction,1.0
bus312,bus310,fraction,1.0
bus311,bus313,fraction,1.0
bus313,bus311,fraction,1.0
bus311,bus314,fraction,1.0
bus314,bus311,fraction,1.0
bus312,bus313,fraction,1.0
bus313,bus312,fraction,1.0
bus312,bus323,fraction,1.0
bus323,bus312,fraction,1.0
bus313,bus323,fraction,1.0
bus323,bus313,fraction,1.0
bus314,bus316,fraction,1.0
bus316,bus314,fraction,1.0
bus315,bus316,fraction,1.0
bus316,bus315,fraction,1.0
bus315,bus321,fraction,1.0
bus321,bus315,fraction,1.0
bus315,bus324,fraction,1.0
bus324,bus315,fraction,1.0
bus316,bus317,fraction,1.0
bus317,bus316,fraction,1.0
bus316,bus319,fraction,1.0
bus319,bus316,fraction,1.0
bus317,bus318,fraction,1.0
bus318,bus317,fraction,1.0
bus317,bus322,fraction,1.0
bus322,bus317,fraction,1.0
bus318,bus321,fraction,1.0
bus321,bus318,fraction,1.0
bus319,bus320,fraction,1.0
bus320,bus319,fraction,1.0
bus320,bus323,fraction,1.0
bus323,bus320,fraction,1.0
bus321,bus322,fraction,1.0
bus322,bus321,fraction,1.0
bus107,bus203,fraction,1.0
bus203,bus107,fraction,1.0
bus113,bus215,fraction,1.0
bus215,bus113,fraction,1.0
bus123,bus217,fraction,1.0
bus217,bus123,fraction,1.0
bus223,bus318,fraction,1.0
bus318,bus223,fraction,1.0
bus325,bus121,fraction,1.0
bus121,bus325,fraction,1.0
