zone1,zone2,unit,value
bus101,bus102,MW/rad,7194.244604316547
bus101,bus103,MW/rad,473.48484848484856
bus101,bus105,MW/rad,1183.4319526627219
bus102,bus104,MW/rad,789.2659826361484
bus102,bus106,MW/rad,520.8333333333333
bus103,bus109,MW/rad,840.3361344537816
bus103,bus124,MW/rad,1191.8951132300358
bus104,bus109,MW/rad,964.3201542912246
bus105,bus110,MW/rad,1132.5028312570782
bus106,bus110,MW/rad,1652.8925619834713
bus107,bus108,MW/rad,1628.6644951140065
bus108,bus109,MW/rad,605.6935190793458
bus108,bus110,MW/rad,605.6935190793458
bus109,bus111,MW/rad,1191.8951132300358
bus109,bus112,MW/rad,1191.8951132300358
bus110,bus111,MW/rad,1191.8951132300358
bus110,bus112,MW/rad,1191.8951132300358
bus111,bus113,MW/rad,2100.840336134454
bus111,bus114,MW/rad,2392.3444976076557
bus112,bus113,MW/rad,2100.840336134454
bus112,bus123,MW/rad,1035.1966873706006
bus113,bus123,MW/rad,1156.0693641618498
bus114,bus116,MW/rad,2570.6940874035995
bus115,bus116,MW/rad,5780.346820809249
bus115,bus121,MW/rad,4081.6326530612246
bus115,bus124,MW/rad,1926.7822736030826
bus116,bus117,MW/rad,3861.003861003861
bus116,bus119,MW/rad,4329.0043290043295
bus117,bus118,MW/rad,6944.444444444444
bus117,bus122,MW/rad,949.667616334283
bus118,bus121,MW/rad,7722.007722007722
bus119,bus120,MW/rad,5050.505050505049
bus120,bus123,MW/rad,9259.259259259257
bus121,bus122,MW/rad,1474.9262536873157
bus201,bus202,MW/rad,7194.244604316547
bus201,bus203,MW/rad,473.48484848484856
bus201,bus205,MW/rad,1183.4319526627219
bus202,bus204,MW/rad,789.2659826361484
bus202,bus206,MW/rad,520.8333333333333
bus203,bus209,MW/rad,840.3361344537816
bus203,bus224,MW/rad,1191.8951132300358
bus204,bus209,MW/rad,964.3201542912246
bus205,bus210,MW/rad,1132.5028312570782
bus206,bus210,MW/rad,1652.8925619834713
bus207,bus208,MW/rad,1628.6644951140065
bus208,bus209,MW/rad,605.6935190793458
bus208,bus210,MW/rad,605.6935190793458
bus209,bus211,MW/rad,1191.8951132300358
bus209,bus212,MW/rad,1191.8951132300358
bus210,bus211,MW/rad,1191.8951132300358
bus210,bus212,MW/rad,1191.8951132300358
bus211,bus213,MW/rad,2100.840336134454
bus211,bus214,MW/rad,2392.3444976076557
bus212,bus213,MW/rad,2100.840336134454
bus212,bus223,MW/rad,1035.1966873706006
bus213,bus223,MW/rad,1156.0693641618498
bus214,bus216,MW/rad,2570.6940874035995
bus215,bus216,MW/rad,5780.346820809249
bus215,bus221,MW/rad,4081.6326530612246
bus215,bus224,MW/rad,1926.7822736030826
bus216,bus217,MW/rad,3861.003861003861
bus216,bus219,MW/rad,4329.0043290043295
bus217,bus218,MW/rad,6944.444444444444
bus217,bus222,MW/rad,949.667616334283
bus218,bus221,MW/rad,7722.007722007722
bus219,bus220,MW/rad,5050.505050505049
bus220,bus223,MW/rad,9259.259259259257
bus221,bus222,MW/rad,1474.9262536873157
bus301,bus302,MW/rad,7194.244604316547
bus301,bus303,MW/rad,473.48484848484856
bus301,bus305,MW/rad,1183.4319526627219
bus302,bus304,MW/rad,789.2659826361484
bus302,bus306,MW/rad,520.8333333333333
bus303,bus309,MW/rad,840.3361344537816
bus303,bus324,MW/rad,1191.8951132300358
bus304,bus309,MW/rad,964.3201542912246
bus305,bus310,MW/rad,1132.5028312570782
bus306,bus310,MW/rad,1652.8925619834713
bus307,bus308,MW/rad,1628.6644951140065
bus308,bus309,MW/rad,605.6935190793458
bus308,bus310,MW/rad,605.6935190793458
bus309,bus311,MW/rad,1191.8951132300358
bus309,bus312,MW/rad,1191.8951132300358
bus310,bus311,MW/rad,1191.8951132300358
bus310,bus312,MW/rad,1191.8951132300358
bus311,bus313,MW/rad,2100.840336134454
bus311,bus314,MW/rad,2392.3444976076557
bus312,bus313,MW/rad,2100.840336134454
bus312,bus323,MW/rad,1035.1966873706006
bus313,bus323,MW/rad,1156.0693641618498
bus314,bus316,MW/rad,2570.6940874035995
bus315,bus316,MW/rad,5780.346820809249
bus315,bus321,MW/rad,4081.6326530612246
bus315,bus324,MW/rad,1926.7822736030826
bus316,bus317,MW/rad,3861.003861003861
bus316,bus319,MW/rad,4329.0043290043295
bus317,bus318,MW/rad,6944.444444444444
bus317,bus322,MW/rad,949.667616334283
bus318,bus321,MW/rad,7722.007722007722
bus319,bus320,MW/rad,5050.505050505049
bus320,bus323,MW/rad,9259.259259259257
bus321,bus322,MW/rad,1474.9262536873157
bus107,bus203,MW/rad,2100.840336134454
bus113,bus215,MW/rad,2392.3444976076557
bus123,bus217,MW/rad,2100.840336134454
bus223,bus318,MW/rad,1035.1966873706006
bus325,bus121,MW/rad,1156.0693641618498
