zone,year,product,unit,value
Cambodia,2020,regulation_up,MW,50.0
Cambodia,2020,regulation_down,MW,50.0
Cambodia,2020,spinning,MW,150.0
Cambodia,2020,non_spinning,MW,250.0
Cambodia,2030,regulation_up,MW,50.0
Cambodia,2030,regulation_down,MW,50.0
Cambodia,2030,spinning,MW,150.0
Cambodia,2030,non_spinning,MW,250.0
Laos,2020,regulation_up,MW,50.0
Laos,2020,regulation_down,MW,50.0
Laos,2020,spinning,MW,150.0
Laos,2020,non_spinning,MW,250.0
Laos,2030,regulation_up,MW,50.0
Laos,2030,regulation_down,MW,50.0
Laos,2030,spinning,MW,150.0
Laos,2030,non_spinning,MW,250.0
Myanmar,2020,regulation_up,MW,50.0
Myanmar,2020,regulation_down,MW,50.0
Myanmar,2020,spinning,MW,150.0
Myanmar,2020,non_spinning,MW,250.0
Myanmar,2030,regulation_up,MW,50.0
Myanmar,2030,regulation_down,MW,50.0
Myanmar,2030,spinning,MW,150.0
Myanmar,2030,non_spinning,MW,250.0
Thailand,2020,regulation_up,MW,50.0
Thailand,2020,regulation_down,MW,50.0
Thailand,2020,spinning,MW,150.0
Thailand,2020,non_spinning,MW,250.0
Thailand,2030,regulation_up,MW,50.0
Thailand,2030,regulation_down,MW,50.0
Thailand,2030,spinning,MW,150.0
Thailand,2030,non_spinning,MW,250.0
Vietnam,2020,regulation_up,MW,50.0
Vietnam,2020,regulation_down,MW,50.0
Vietnam,2020,spinning,MW,150.0
Vietnam,2020,non_spinning,MW,250.0
Vietnam,2030,regulation_up,MW,50.0
Vietnam,2030,regulation_down,MW,50.0
Vietnam,2030,spinning,MW,150.0
Vietnam,2030,non_spinning,MW,250.0
