tech,unit,coefficient
Nam_Ou_7,MW/(m*m3/s),8.5
Nam_Ngay,MW/(m*m3/s),8.5
Nam_Ou_6,MW/(m*m3/s),8.5
Nam_Ou_5,MW/(m*m3/s),8.5
Nam_Pok,MW/(m*m3/s),8.5
Nam_Ou_4,MW/(m*m3/s),8.5
Nam_Pha,MW/(m*m3/s),8.5
Nam_Ko,MW/(m*m3/s),8.5
Nam_Ou_2,MW/(m*m3/s),8.5
Nam_Tha_1,MW/(m*m3/s),8.5
Nam_Ou_1,MW/(m*m3/s),8.5
Nam_Beng,MW/(m*m3/s),8.5
Nam_Khan_3_(Down),MW/(m*m3/s),8.5
Nam_Khan_2,MW/(m*m3/s),8.5
Mekong_at_Xayabuly,MW/(m*m3/s),8.5
Nam_Ngum_3,MW/(m*m3/s),8.5
Nam_Pouy_1,MW/(m*m3/s),8.5
Nam_Ngum_2,MW/(m*m3/s),8.5
Nam_Ngiep_1,MW/(m*m3/s),8.5
Nam_Lik_1-2,MW/(m*m3/s),8.5
Nam_Ngum_1,MW/(m*m3/s),8.5
Nam_Lik_1,MW/(m*m3/s),8.5
Nam_Ngiep-regulating_dam,MW/(m*m3/s),8.5
Nam_Poun,MW/(m*m3/s),8.5
Nam_Theun1,MW/(m*m3/s),8.5
Theun-Hinboun_exp._(NG8),MW/(m*m3/s),8.5
Theun-Hinboun,MW/(m*m3/s),8.5
Ubol_Ratana,MW/(m*m3/s),8.5
Huai_Kum,MW/(m*m3/s),8.5
Xe_Kong_5,MW/(m*m3/s),8.5
Xeset_1,MW/(m*m3/s),8.5
Xedon_2,MW/(m*m3/s),8.5
Xelabam,MW/(m*m3/s),8.5
Xekaman_3,MW/(m*m3/s),8.5
Pak_Mun,MW/(m*m3/s),8.5
Xe_Kaman_2B,MW/(m*m3/s),8.5
Xekaman-Sanxay,MW/(m*m3/s),8.5
Xe_Nam_Noy_5,MW/(m*m3/s),8.5
Xe_Kaman_2A,MW/(m*m3/s),8.5
Xekatam,MW/(m*m3/s),8.5
Xekaman_1,MW/(m*m3/s),8.5
Lam_Ta_Khong_P.S.,MW/(m*m3/s),8.5
Nam_Kong_1,MW/(m*m3/s),8.5
Nam_Kong_2,MW/(m*m3/s),8.5
Plei_Krong,MW/(m*m3/s),8.5
Yali,MW/(m*m3/s),8.5
Se_San_3,MW/(m*m3/s),8.5
Se_San_3A,MW/(m*m3/s),8.5
Se_San_4,MW/(m*m3/s),8.5
Se_San_4A,MW/(m*m3/s),8.5
Mekong_at_Don_sahong,MW/(m*m3/s),8.5
Lower_Se_San_2,MW/(m*m3/s),8.5
Sre_Pok_4,MW/(m*m3/s),8.5
Sre_Pok_3,MW/(m*m3/s),8.5
Dray_Hlinh_2,MW/(m*m3/s),8.5
Buon_Kuop,MW/(m*m3/s),8.5
Buon_Tua_Srah,MW/(m*m3/s),8.5
