tech,unit,value
Nam_Ngum_1,m3,501000000.0
Xelabam,m3,400000.0
Xeset_1,m3,150000.0
Theun-Hinboun,m3,7500000.0
Nam_Ko,m3,2250.0
Nam_Ngay,m3,337000.0
Xekaman_3,m3,54270000.0
Nam_Ngum_2,m3,1485000000.0
Nam_Lik_1-2,m3,413000000.0
Xekaman_1,m3,841499999.9999999
Xekaman-Sanxay,m3,500000.0
Theun-Hinboun_exp._(NG8),m3,1131000000.0
Nam_Ngum_3,m3,705500000.0
Nam_Theun1,m3,1460500000.0
Nam_Ngiep_1,m3,596000000.0
Nam_Ngiep-regulating_dam,m3,2350000.0
Nam_Tha_1,m3,337750000.0
Xekatam,m3,60500000.0
Nam_Kong_1,m3,252500000.0
Xe_Kong_5,m3,850000000.0
Mekong_at_Don_sahong,m3,57500000.0
Nam_Ou_1,m3,44500000.0
Nam_Ou_2,m3,12700000.0
Nam_Ou_4,m3,572500000.0
Nam_Ou_5,m3,71000000.0
Nam_Ou_6,m3,123000000.0
Nam_Ou_7,m3,530000000.0
Nam_Lik_1,m3,3400000.0000000005
Nam_Pha,m3,1165500000.0
Nam_Beng,m3,174800.0
Mekong_at_Xayabuly,m3,106000000.0
Xe_Kaman_2A,m3,10400000.0
Xe_Kaman_2B,m3,166500000.0
Nam_Khan_2,m3,264000000.0
Nam_Khan_3_(Down),m3,24000000.0
Nam_Pouy_1,m3,249300000.0
Nam_Poun,m3,125000000.0
Nam_Pok,m3,2550000.0
Xedon_2,m3,676206500.0
Xe_Nam_Noy_5,m3,4400000.0
Nam_Kong_2,m3,15290000.0
Lower_Se_San_2,m3,166600000.0
Plei_Krong,m3,474000000.0
Yali,m3,389510000.0
Se_San_3,m3,1900000.0
Se_San_3A,m3,2000000.0
Se_San_4,m3,132080000.0
Se_San_4A,m3,3750000.0
Buon_Tua_Srah,m3,261300000.0
Buon_Kuop,m3,12815000.0
Dray_Hlinh_2,m3,750000.0
Sre_Pok_3,m3,31424999.999999996
Sre_Pok_4,m3,4220000.0
Huai_Kum,m3,10000000.0
Pak_Mun,m3,62500000.0
Ubol_Ratana,m3,847500000.0
Lam_Ta_Khong_P.S.,m3,149800000.0
