tech,unit,head
Nam_Ou_7,m,104.0
Nam_Ngay,m,17.0
Nam_Ou_6,m,60.0
Nam_Ou_5,m,49.0
Nam_Pok,m,59.4
Nam_Ou_4,m,23.0
Nam_Pha,m,126.0
Nam_Ko,m,34.5
Nam_Ou_2,m,15.0
Nam_Tha_1,m,65.5
Nam_Ou_1,m,16.0
Nam_Beng,m,70.0
Nam_Khan_3_(Down),m,39.0
Nam_Khan_2,m,138.7
Mekong_at_Xayabuly,m,29.0
Nam_Ngum_3,m,301.0
Nam_Pouy_1,m,60.0
Nam_Ngum_2,m,159.5
Nam_Ngiep_1,m,127.0
Nam_Lik_1-2,m,74.5
Nam_Ngum_1,m,38.5
Nam_Lik_1,m,19.5
Nam_Ngiep-regulating_dam,m,10.0
Nam_Poun,m,70.0
Nam_Theun1,m,130.0
Theun-Hinboun_exp._(NG8),m,47.0
Theun-Hinboun,m,225.5
Ubol_Ratana,m,16.0
Huai_Kum,m,23.0
Xe_Kong_5,m,180.0
Xeset_1,m,153.4
Xedon_2,m,39.6
Xelabam,m,17.0
Xekaman_3,m,102.0
Pak_Mun,m,11.6
Xe_Kaman_2B,m,78.8
Xekaman-Sanxay,m,12.2
Xe_Nam_Noy_5,m,572.0
Xe_Kaman_2A,m,48.6
Xekatam,m,455.0
Xekaman_1,m,101.2
Lam_Ta_Khong_P.S.,m,360.0
Nam_Kong_1,m,186.0
Nam_Kong_2,m,97.9
Plei_Krong,m,31.0
Yali,m,190.0
Se_San_3,m,60.5
Se_San_3A,m,21.5
Se_San_4,m,56.0
Se_San_4A,m,63.0
Mekong_at_Don_sahong,m,17.0
Lower_Se_San_2,m,28.5
Sre_Pok_4,m,17.07
Sre_Pok_3,m,60.0
Dray_Hlinh_2,m,18.5
Buon_Kuop,m,98.5
Buon_Tua_Srah,m,46.5
