tech,unit,zone
Nam_Ou_7,zone_code,Laos
Nam_Ngay,zone_code,Laos
Nam_Ou_6,zone_code,Laos
Nam_Ou_5,zone_code,Laos
Nam_Pok,zone_code,Laos
Nam_Ou_4,zone_code,Laos
Nam_Pha,zone_code,Laos
Nam_Ko,zone_code,Laos
Nam_Ou_2,zone_code,Laos
Nam_Tha_1,zone_code,Laos
Nam_Ou_1,zone_code,Laos
Nam_Beng,zone_code,Laos
Nam_Khan_3_(Down),zone_code,Laos
Nam_Khan_2,zone_code,Laos
Mekong_at_Xayabuly,zone_code,Laos
Nam_Ngum_3,zone_code,Laos
Nam_Pouy_1,zone_code,Laos
Nam_Ngum_2,zone_code,Laos
Nam_Ngiep_1,zone_code,Laos
Nam_Lik_1-2,zone_code,Laos
Nam_Ngum_1,zone_code,Laos
Nam_Lik_1,zone_code,Laos
Nam_Ngiep-regulating_dam,zone_code,Laos
Nam_Poun,zone_code,Laos
Nam_Theun1,zone_code,Laos
Theun-Hinboun_exp._(NG8),zone_code,Laos
Theun-Hinboun,zone_code,Laos
Ubol_Ratana,zone_code,Thailand
Huai_Kum,zone_code,Thailand
Xe_Kong_5,zone_code,Laos
Xeset_1,zone_code,Laos
Xedon_2,zone_code,Laos
Xelabam,zone_code,Laos
Xekaman_3,zone_code,Laos
Pak_Mun,zone_code,Thailand
Xe_Kaman_2B,zone_code,Laos
Xekaman-Sanxay,zone_code,Laos
Xe_Nam_Noy_5,zone_code,Laos
Xe_Kaman_2A,zone_code,Laos
Xekatam,zone_code,Laos
Xekaman_1,zone_code,Laos
Lam_Ta_Khong_P.S.,zone_code,Thailand
Nam_Kong_1,zone_code,Laos
Nam_Kong_2,zone_code,Laos
Plei_Krong,zone_code,Vietnam
Yali,zone_code,Vietnam
Se_San_3,zone_code,Vietnam
Se_San_3A,zone_code,Vietnam
Se_San_4,zone_code,Vietnam
Se_San_4A,zone_code,Vietnam
Mekong_at_Don_sahong,zone_code,Laos
Lower_Se_San_2,zone_code,Cambodia
Sre_Pok_4,zone_code,Vietnam
Sre_Pok_3,zone_code,Vietnam
Dray_Hlinh_2,zone_code,Vietnam
Buon_Kuop,zone_code,Vietnam
Buon_Tua_Srah,zone_code,Vietnam
