tech,year,unit,value
Coal,2020,tonneCO2/MWh,0.90891415
Coal,2030,tonneCO2/MWh,0.90891415
Oil,2020,tonneCO2/MWh,0.7019378145
Oil,2030,tonneCO2/MWh,0.7019378145
Gas,2020,tonneCO2/MWh,0.6119188845
Gas,2030,tonneCO2/MWh,0.6119188845
Solar,2020,tonneCO2/MWh,0.0
Solar,2030,tonneCO2/MWh,0.0
Wind,2020,tonneCO2/MWh,0.0
Wind,2030,tonneCO2/MWh,0.0
Bioenergy,2020,tonneCO2/MWh,0.0
Bioenergy,2030,tonneCO2/MWh,0.0
HPS,2020,tonneCO2/MWh,0.0
HPS,2030,tonneCO2/MWh,0.0
Li-ion,2020,tonneCO2/MWh,0.0
Li-ion,2030,tonneCO2/MWh,0.0
Nam_Ou_7,2020,tonneCO2/MWh,0.0
Nam_Ou_7,2030,tonneCO2/MWh,0.0
Nam_Ngay,2020,tonneCO2/MWh,0.0
Nam_Ngay,2030,tonneCO2/MWh,0.0
Nam_Ou_6,2020,tonneCO2/MWh,0.0
Nam_Ou_6,2030,tonneCO2/MWh,0.0
Nam_Ou_5,2020,tonneCO2/MWh,0.0
Nam_Ou_5,2030,tonneCO2/MWh,0.0
Nam_Pok,2020,tonneCO2/MWh,0.0
Nam_Pok,2030,tonneCO2/MWh,0.0
Nam_Ou_4,2020,tonneCO2/MWh,0.0
Nam_Ou_4,2030,tonneCO2/MWh,0.0
Nam_Pha,2020,tonneCO2/MWh,0.0
Nam_Pha,2030,tonneCO2/MWh,0.0
Nam_Ko,2020,tonneCO2/MWh,0.0
Nam_Ko,2030,tonneCO2/MWh,0.0
Nam_Ou_2,2020,tonneCO2/MWh,0.0
Nam_Ou_2,2030,tonneCO2/MWh,0.0
Nam_Tha_1,2020,tonneCO2/MWh,0.0
Nam_Tha_1,2030,tonneCO2/MWh,0.0
Nam_Ou_1,2020,tonneCO2/MWh,0.0
Nam_Ou_1,2030,tonneCO2/MWh,0.0
Nam_Beng,2020,tonneCO2/MWh,0.0
Nam_Beng,2030,tonneCO2/MWh,0.0
Nam_Khan_3_(Down),2020,tonneCO2/MWh,0.0
Nam_Khan_3_(Down),2030,tonneCO2/MWh,0.0
Nam_Khan_2,2020,tonneCO2/MWh,0.0
Nam_Khan_2,2030,tonneCO2/MWh,0.0
Mekong_at_Xayabuly,2020,tonneCO2/MWh,0.0
Mekong_at_Xayabuly,2030,tonneCO2/MWh,0.0
Nam_Ngum_3,2020,tonneCO2/MWh,0.0
Nam_Ngum_3,2030,tonneCO2/MWh,0.0
Nam_Pouy_1,2020,tonneCO2/MWh,0.0
Nam_Pouy_1,2030,tonneCO2/MWh,0.0
Nam_Ngum_2,2020,tonneCO2/MWh,0.0
Nam_Ngum_2,2030,tonneCO2/MWh,0.0
Nam_Ngiep_1,2020,tonneCO2/MWh,0.0
Nam_Ngiep_1,2030,tonneCO2/MWh,0.0
Nam_Lik_1-2,2020,tonneCO2/MWh,0.0
Nam_Lik_1-2,2030,tonneCO2/MWh,0.0
Nam_Ngum_1,2020,tonneCO2/MWh,0.0
Nam_Ngum_1,2030,tonneCO2/MWh,0.0
Nam_Lik_1,2020,tonneCO2/MWh,0.0
Nam_Lik_1,2030,tonneCO2/MWh,0.0
Nam_Ngiep-regulating_dam,2020,tonneCO2/MWh,0.0
Nam_Ngiep-regulating_dam,2030,tonneCO2/MWh,0.0
Nam_Poun,2020,tonneCO2/MWh,0.0
Nam_Poun,2030,tonneCO2/MWh,0.0
Nam_Theun1,2020,tonneCO2/MWh,0.0
Nam_Theun1,2030,tonneCO2/MWh,0.0
Theun-Hinboun_exp._(NG8),2020,tonneCO2/MWh,0.0
Theun-Hinboun_exp._(NG8),2030,tonneCO2/MWh,0.0
Theun-Hinboun,2020,tonneCO2/MWh,0.0
Theun-Hinboun,2030,tonneCO2/MWh,0.0
Ubol_Ratana,2020,tonneCO2/MWh,0.0
Ubol_Ratana,2030,tonneCO2/MWh,0.0
Huai_Kum,2020,tonneCO2/MWh,0.0
Huai_Kum,2030,tonneCO2/MWh,0.0
Xe_Kong_5,2020,tonneCO2/MWh,0.0
Xe_Kong_5,2030,tonneCO2/MWh,0.0
Xeset_1,2020,tonneCO2/MWh,0.0
Xeset_1,2030,tonneCO2/MWh,0.0
Xedon_2,2020,tonneCO2/MWh,0.0
Xedon_2,2030,tonneCO2/MWh,0.0
Xelabam,2020,tonneCO2/MWh,0.0
Xelabam,2030,tonneCO2/MWh,0.0
Xekaman_3,2020,tonneCO2/MWh,0.0
Xekaman_3,2030,tonneCO2/MWh,0.0
Pak_Mun,2020,tonneCO2/MWh,0.0
Pak_Mun,2030,tonneCO2/MWh,0.0
Xe_Kaman_2B,2020,tonneCO2/MWh,0.0
Xe_Kaman_2B,2030,tonneCO2/MWh,0.0
Xekaman-Sanxay,2020,tonneCO2/MWh,0.0
Xekaman-Sanxay,2030,tonneCO2/MWh,0.0
Xe_Nam_Noy_5,2020,tonneCO2/MWh,0.0
Xe_Nam_Noy_5,2030,tonneCO2/MWh,0.0
Xe_Kaman_2A,2020,tonneCO2/MWh,0.0
Xe_Kaman_2A,2030,tonneCO2/MWh,0.0
Xekatam,2020,tonneCO2/MWh,0.0
Xekatam,2030,tonneCO2/MWh,0.0
Xekaman_1,2020,tonneCO2/MWh,0.0
Xekaman_1,2030,tonneCO2/MWh,0.0
Lam_Ta_Khong_P.S.,2020,tonneCO2/MWh,0.0
Lam_Ta_Khong_P.S.,2030,tonneCO2/MWh,0.0
Nam_Kong_1,2020,tonneCO2/MWh,0.0
Nam_Kong_1,2030,tonneCO2/MWh,0.0
Nam_Kong_2,2020,tonneCO2/MWh,0.0
Nam_Kong_2,2030,tonneCO2/MWh,0.0
Plei_Krong,2020,tonneCO2/MWh,0.0
Plei_Krong,2030,tonneCO2/MWh,0.0
Yali,2020,tonneCO2/MWh,0.0
Yali,2030,tonneCO2/MWh,0.0
Se_San_3,2020,tonneCO2/MWh,0.0
Se_San_3,2030,tonneCO2/MWh,0.0
Se_San_3A,2020,tonneCO2/MWh,0.0
Se_San_3A,2030,tonneCO2/MWh,0.0
Se_San_4,2020,tonneCO2/MWh,0.0
Se_San_4,2030,tonneCO2/MWh,0.0
Se_San_4A,2020,tonneCO2/MWh,0.0
Se_San_4A,2030,tonneCO2/MWh,0.0
Mekong_at_Don_sahong,2020,tonneCO2/MWh,0.0
Mekong_at_Don_sahong,2030,tonneCO2/MWh,0.0
Lower_Se_San_2,2020,tonneCO2/MWh,0.0
Lower_Se_San_2,2030,tonneCO2/MWh,0.0
Sre_Pok_4,2020,tonneCO2/MWh,0.0
Sre_Pok_4,2030,tonneCO2/MWh,0.0
Sre_Pok_3,2020,tonneCO2/MWh,0.0
Sre_Pok_3,2030,tonneCO2/MWh,0.0
Dray_Hlinh_2,2020,tonneCO2/MWh,0.0
Dray_Hlinh_2,2030,tonneCO2/MWh,0.0
Buon_Kuop,2020,tonneCO2/MWh,0.0
Buon_Kuop,2030,tonneCO2/MWh,0.0
Buon_Tua_Srah,2020,tonneCO2/MWh,0.0
Buon_Tua_Srah,2030,tonneCO2/MWh,0.0
