tech,zone,commission_year,unit,capacity
Bioenergy,Cambodia,2020,MW,31.0
Bioenergy,Thailand,2020,MW,2213.0
Bioenergy,Vietnam,2020,MW,365.0
Buon_Kuop,Vietnam,2020,MW,280.0
Buon_Tua_Srah,Vietnam,2020,MW,86.0
Coal,Cambodia,2020,MW,675.0
Coal,Laos,2020,MW,1978.0
Coal,Myanmar,2020,MW,120.0
Coal,Thailand,2020,MW,6114.0
Coal,Vietnam,2020,MW,21554.0
Dray_Hlinh_2,Vietnam,2020,MW,16.0
Gas,Myanmar,2020,MW,3341.0
Gas,Thailand,2020,MW,27920.0
Gas,Vietnam,2020,MW,7152.0
Huai_Kum,Thailand,2020,MW,1.18
Lam_Ta_Khong_P.S.,Thailand,2020,MW,500.0
Lower_Se_San_2,Cambodia,2020,MW,400.0
Mekong_at_Don_sahong,Laos,2020,MW,260.0
Mekong_at_Xayabuly,Laos,2020,MW,1260.0
Nam_Beng,Laos,2020,MW,36.0
Nam_Khan_2,Laos,2020,MW,130.0
Nam_Khan_3_(Down),Laos,2020,MW,60.0
Nam_Ko,Laos,2020,MW,1.5
Nam_Kong_1,Laos,2020,MW,150.0
Nam_Kong_2,Laos,2020,MW,66.0
Nam_Lik_1,Laos,2020,MW,64.0
Nam_Lik_1-2,Laos,2020,MW,100.0
Nam_Ngay,Laos,2020,MW,1.2
Nam_Ngiep_1,Laos,2020,MW,272.0
Nam_Ngiep-regulating_dam,Laos,2020,MW,18.0
Nam_Ngum_1,Laos,2020,MW,155.0
Nam_Ngum_2,Laos,2020,MW,615.0
Nam_Ngum_3,Laos,2020,MW,480.0
Nam_Ou_1,Laos,2020,MW,180.0
Nam_Ou_2,Laos,2020,MW,120.0
Nam_Ou_4,Laos,2020,MW,132.0
Nam_Ou_5,Laos,2020,MW,240.0
Nam_Ou_6,Laos,2020,MW,180.0
Nam_Ou_7,Laos,2020,MW,210.0
Nam_Pha,Laos,2020,MW,180.0
Nam_Pok,Laos,2020,MW,2.6
Nam_Poun,Laos,2020,MW,50.0
Nam_Pouy_1,Laos,2020,MW,60.0
Nam_Tha_1,Laos,2020,MW,168.0
Nam_Theun1,Laos,2020,MW,600.0
Oil,Cambodia,2020,MW,644.0
Oil,Myanmar,2020,MW,25.0
Oil,Thailand,2020,MW,369.0
Oil,Vietnam,2020,MW,1706.0
Pak_Mun,Thailand,2020,MW,136.0
Plei_Krong,Vietnam,2020,MW,100.0
Se_San_3,Vietnam,2020,MW,260.0
Se_San_3A,Vietnam,2020,MW,96.0
Se_San_4,Vietnam,2020,MW,360.0
Se_San_4A,Vietnam,2020,MW,63.0
Solar,Cambodia,2020,MW,237.0
Solar,Myanmar,2020,MW,180.0
Solar,Thailand,2020,MW,2856.0
Solar,Vietnam,2020,MW,16656.0
Sre_Pok_3,Vietnam,2020,MW,220.0
Sre_Pok_4,Vietnam,2020,MW,80.0
Theun-Hinboun,Laos,2020,MW,220.0
Theun-Hinboun_exp._(NG8),Laos,2020,MW,60.0
Ubol_Ratana,Thailand,2020,MW,25.2
Wind,Thailand,2020,MW,1486.0
Wind,Vietnam,2020,MW,582.0
Xe_Kaman_2A,Laos,2020,MW,64.0
Xe_Kaman_2B,Laos,2020,MW,100.0
Xe_Kong_5,Laos,2020,MW,330.0
Xe_Nam_Noy_5,Laos,2020,MW,20.0
Xedon_2,Laos,2020,MW,20.0
Xekaman_1,Laos,2020,MW,290.0
Xekaman_3,Laos,2020,MW,250.0
Xekaman-Sanxay,Laos,2020,MW,32.0
Xekatam,Laos,2020,MW,68.0
Xelabam,Laos,2020,MW,5.0
Xeset_1,Laos,2020,MW,45.0
Yali,Vietnam,2020,MW,720.0
