tech,unit,value
Coal,fraction,0.35
Oil,fraction,1.0
Gas,fraction,1.0
Solar,fraction,1.0
Wind,fraction,1.0
Bioenergy,fraction,1.0
HPS,fraction,1.0
Li-ion,fraction,1.0
Nam_Ou_7,fraction,1.0
Nam_Ngay,fraction,1.0
Nam_Ou_6,fraction,1.0
Nam_Ou_5,fraction,1.0
Nam_Pok,fraction,1.0
Nam_Ou_4,fraction,1.0
Nam_Pha,fraction,1.0
Nam_Ko,fraction,1.0
Nam_Ou_2,fraction,1.0
Nam_Tha_1,fraction,1.0
Nam_Ou_1,fraction,1.0
Nam_Beng,fraction,1.0
Nam_Khan_3_(Down),fraction,1.0
Nam_Khan_2,fraction,1.0
Mekong_at_Xayabuly,fraction,1.0
Nam_Ngum_3,fraction,1.0
Nam_Pouy_1,fraction,1.0
Nam_Ngum_2,fraction,1.0
Nam_Ngiep_1,fraction,1.0
Nam_Lik_1-2,fraction,1.0
Nam_Ngum_1,fraction,1.0
Nam_Lik_1,fraction,1.0
Nam_Ngiep-regulating_dam,fraction,1.0
Nam_Poun,fraction,1.0
Nam_Theun1,fraction,1.0
Theun-Hinboun_exp._(NG8),fraction,1.0
Theun-Hinboun,fraction,1.0
Ubol_Ratana,fraction,1.0
Huai_Kum,fraction,1.0
Xe_Kong_5,fraction,1.0
Xeset_1,fraction,1.0
Xedon_2,fraction,1.0
Xelabam,fraction,1.0
Xekaman_3,fraction,1.0
Pak_Mun,fraction,1.0
Xe_Kaman_2B,fraction,1.0
Xekaman-Sanxay,fraction,1.0
Xe_Nam_Noy_5,fraction,1.0
Xe_Kaman_2A,fraction,1.0
Xekatam,fraction,1.0
Xekaman_1,fraction,1.0
Lam_Ta_Khong_P.S.,fraction,1.0
Nam_Kong_1,fraction,1.0
Nam_Kong_2,fraction,1.0
Plei_Krong,fraction,1.0
Yali,fraction,1.0
Se_San_3,fraction,1.0
Se_San_3A,fraction,1.0
Se_San_4,fraction,1.0
Se_San_4A,fraction,1.0
Mekong_at_Don_sahong,fraction,1.0
Lower_Se_San_2,fraction,1.0
Sre_Pok_4,fraction,1.0
Sre_Pok_3,fraction,1.0
Dray_Hlinh_2,fraction,1.0
Buon_Kuop,fraction,1.0
Buon_Tua_Srah,fraction,1.0
