tech,product,eligible
Coal,regulation_up,1
Coal,regulation_down,1
Coal,spinning,1
Coal,non_spinning,1
Oil,regulation_up,1
Oil,regulation_down,1
Oil,spinning,1
Oil,non_spinning,1
Gas,regulation_up,1
Gas,regulation_down,1
Gas,spinning,1
Gas,non_spinning,1
Solar,regulation_up,0
Solar,regulation_down,0
Solar,spinning,0
Solar,non_spinning,0
Wind,regulation_up,0
Wind,regulation_down,0
Wind,spinning,0
Wind,non_spinning,0
Bioenergy,regulation_up,1
Bioenergy,regulation_down,1
Bioenergy,spinning,1
Bioenergy,non_spinning,1
HPS,regulation_up,0
HPS,regulation_down,0
HPS,spinning,0
HPS,non_spinning,0
Li-ion,regulation_up,0
Li-ion,regulation_down,0
Li-ion,spinning,0
Li-ion,non_spinning,0
Nam_Ou_7,regulation_up,1
Nam_Ou_7,regulation_down,1
Nam_Ou_7,spinning,1
Nam_Ou_7,non_spinning,1
Nam_Ngay,regulation_up,1
Nam_Ngay,regulation_down,1
Nam_Ngay,spinning,1
Nam_Ngay,non_spinning,1
Nam_Ou_6,regulation_up,1
Nam_Ou_6,regulation_down,1
Nam_Ou_6,spinning,1
Nam_Ou_6,non_spinning,1
Nam_Ou_5,regulation_up,1
Nam_Ou_5,regulation_down,1
Nam_Ou_5,spinning,1
Nam_Ou_5,non_spinning,1
Nam_Pok,regulation_up,1
Nam_Pok,regulation_down,1
Nam_Pok,spinning,1
Nam_Pok,non_spinning,1
Nam_Ou_4,regulation_up,1
Nam_Ou_4,regulation_down,1
Nam_Ou_4,spinning,1
Nam_Ou_4,non_spinning,1
Nam_Pha,regulation_up,1
Nam_Pha,regulation_down,1
Nam_Pha,spinning,1
Nam_Pha,non_spinning,1
Nam_Ko,regulation_up,1
Nam_Ko,regulation_down,1
Nam_Ko,spinning,1
Nam_Ko,non_spinning,1
Nam_Ou_2,regulation_up,1
Nam_Ou_2,regulation_down,1
Nam_Ou_2,spinning,1
Nam_Ou_2,non_spinning,1
Nam_Tha_1,regulation_up,1
Nam_Tha_1,regulation_down,1
Nam_Tha_1,spinning,1
Nam_Tha_1,non_spinning,1
Nam_Ou_1,regulation_up,1
Nam_Ou_1,regulation_down,1
Nam_Ou_1,spinning,1
Nam_Ou_1,non_spinning,1
Nam_Beng,regulation_up,1
Nam_Beng,regulation_down,1
Nam_Beng,spinning,1
Nam_Beng,non_spinning,1
Nam_Khan_3_(Down),regulation_up,1
Nam_Khan_3_(Down),regulation_down,1
Nam_Khan_3_(Down),spinning,1
Nam_Khan_3_(Down),non_spinning,1
Nam_Khan_2,regulation_up,1
Nam_Khan_2,regulation_down,1
Nam_Khan_2,spinning,1
Nam_Khan_2,non_spinning,1
Mekong_at_Xayabuly,regulation_up,1
Mekong_at_Xayabuly,regulation_down,1
Mekong_at_Xayabuly,spinning,1
Mekong_at_Xayabuly,non_spinning,1
Nam_Ngum_3,regulation_up,1
Nam_Ngum_3,regulation_down,1
Nam_Ngum_3,spinning,1
Nam_Ngum_3,non_spinning,1
Nam_Pouy_1,regulation_up,1
Nam_Pouy_1,regulation_down,1
Nam_Pouy_1,spinning,1
Nam_Pouy_1,non_spinning,1
Nam_Ngum_2,regulation_up,1
Nam_Ngum_2,regulation_down,1
Nam_Ngum_2,spinning,1
Nam_Ngum_2,non_spinning,1
Nam_Ngiep_1,regulation_up,1
Nam_Ngiep_1,regulation_down,1
Nam_Ngiep_1,spinning,1
Nam_Ngiep_1,non_spinning,1
Nam_Lik_1-2,regulation_up,1
Nam_Lik_1-2,regulation_down,1
Nam_Lik_1-2,spinning,1
Nam_Lik_1-2,non_spinning,1
Nam_Ngum_1,regulation_up,1
Nam_Ngum_1,regulation_down,1
Nam_Ngum_1,spinning,1
Nam_Ngum_1,non_spinning,1
Nam_Lik_1,regulation_up,1
Nam_Lik_1,regulation_down,1
Nam_Lik_1,spinning,1
Nam_Lik_1,non_spinning,1
Nam_Ngiep-regulating_dam,regulation_up,1
Nam_Ngiep-regulating_dam,regulation_down,1
Nam_Ngiep-regulating_dam,spinning,1
Nam_Ngiep-regulating_dam,non_spinning,1
Nam_Poun,regulation_up,1
Nam_Poun,regulation_down,1
Nam_Poun,spinning,1
Nam_Poun,non_spinning,1
Nam_Theun1,regulation_up,1
Nam_Theun1,regulation_down,1
Nam_Theun1,spinning,1
Nam_Theun1,non_spinning,1
Theun-Hinboun_exp._(NG8),regulation_up,1
Theun-Hinboun_exp._(NG8),regulation_down,1
Theun-Hinboun_exp._(NG8),spinning,1
Theun-Hinboun_exp._(NG8),non_spinning,1
Theun-Hinboun,regulation_up,1
Theun-Hinboun,regulation_down,1
Theun-Hinboun,spinning,1
Theun-Hinboun,non_spinning,1
Ubol_Ratana,regulation_up,1
Ubol_Ratana,regulation_down,1
Ubol_Ratana,spinning,1
Ubol_Ratana,non_spinning,1
Huai_Kum,regulation_up,1
Huai_Kum,regulation_down,1
Huai_Kum,spinning,1
Huai_Kum,non_spinning,1
Xe_Kong_5,regulation_up,1
Xe_Kong_5,regulation_down,1
Xe_Kong_5,spinning,1
Xe_Kong_5,non_spinning,1
Xeset_1,regulation_up,1
Xeset_1,regulation_down,1
Xeset_1,spinning,1
Xeset_1,non_spinning,1
Xedon_2,regulation_up,1
Xedon_2,regulation_down,1
Xedon_2,spinning,1
Xedon_2,non_spinning,1
Xelabam,regulation_up,1
Xelabam,regulation_down,1
Xelabam,spinning,1
Xelabam,non_spinning,1
Xekaman_3,regulation_up,1
Xekaman_3,regulation_down,1
Xekaman_3,spinning,1
Xekaman_3,non_spinning,1
Pak_Mun,regulation_up,1
Pak_Mun,regulation_down,1
Pak_Mun,spinning,1
Pak_Mun,non_spinning,1
Xe_Kaman_2B,regulation_up,1
Xe_Kaman_2B,regulation_down,1
Xe_Kaman_2B,spinning,1
Xe_Kaman_2B,non_spinning,1
Xekaman-Sanxay,regulation_up,1
Xekaman-Sanxay,regulation_down,1
Xekaman-Sanxay,spinning,1
Xekaman-Sanxay,non_spinning,1
Xe_Nam_Noy_5,regulation_up,1
Xe_Nam_Noy_5,regulation_down,1
Xe_Nam_Noy_5,spinning,1
Xe_Nam_Noy_5,non_spinning,1
Xe_Kaman_2A,regulation_up,1
Xe_Kaman_2A,regulation_down,1
Xe_Kaman_2A,spinning,1
Xe_Kaman_2A,non_spinning,1
Xekatam,regulation_up,1
Xekatam,regulation_down,1
Xekatam,spinning,1
Xekatam,non_spinning,1
Xekaman_1,regulation_up,1
Xekaman_1,regulation_down,1
Xekaman_1,spinning,1
Xekaman_1,non_spinning,1
Lam_Ta_Khong_P.S.,regulation_up,1
Lam_Ta_Khong_P.S.,regulation_down,1
Lam_Ta_Khong_P.S.,spinning,1
Lam_Ta_Khong_P.S.,non_spinning,1
Nam_Kong_1,regulation_up,1
Nam_Kong_1,regulation_down,1
Nam_Kong_1,spinning,1
Nam_Kong_1,non_spinning,1
Nam_Kong_2,regulation_up,1
Nam_Kong_2,regulation_down,1
Nam_Kong_2,spinning,1
Nam_Kong_2,non_spinning,1
Plei_Krong,regulation_up,1
Plei_Krong,regulation_down,1
Plei_Krong,spinning,1
Plei_Krong,non_spinning,1
Yali,regulation_up,1
Yali,regulation_down,1
Yali,spinning,1
Yali,non_spinning,1
Se_San_3,regulation_up,1
Se_San_3,regulation_down,1
Se_San_3,spinning,1
Se_San_3,non_spinning,1
Se_San_3A,regulation_up,1
Se_San_3A,regulation_down,1
Se_San_3A,spinning,1
Se_San_3A,non_spinning,1
Se_San_4,regulation_up,1
Se_San_4,regulation_down,1
Se_San_4,spinning,1
Se_San_4,non_spinning,1
Se_San_4A,regulation_up,1
Se_San_4A,regulation_down,1
Se_San_4A,spinning,1
Se_San_4A,non_spinning,1
Mekong_at_Don_sahong,regulation_up,1
Mekong_at_Don_sahong,regulation_down,1
Mekong_at_Don_sahong,spinning,1
Mekong_at_Don_sahong,non_spinning,1
Lower_Se_San_2,regulation_up,1
Lower_Se_San_2,regulation_down,1
Lower_Se_San_2,spinning,1
Lower_Se_San_2,non_spinning,1
Sre_Pok_4,regulation_up,1
Sre_Pok_4,regulation_down,1
Sre_Pok_4,spinning,1
Sre_Pok_4,non_spinning,1
Sre_Pok_3,regulation_up,1
Sre_Pok_3,regulation_down,1
Sre_Pok_3,spinning,1
Sre_Pok_3,non_spinning,1
Dray_Hlinh_2,regulation_up,1
Dray_Hlinh_2,regulation_down,1
Dray_Hlinh_2,spinning,1
Dray_Hlinh_2,non_spinning,1
Buon_Kuop,regulation_up,1
Buon_Kuop,regulation_down,1
Buon_Kuop,spinning,1
Buon_Kuop,non_spinning,1
Buon_Tua_Srah,regulation_up,1
Buon_Tua_Srah,regulation_down,1
Buon_Tua_Srah,spinning,1
Buon_Tua_Srah,non_spinning,1
