tech,unit,value
Coal,,150.0
Oil,,80.0
Gas,,100.0
Solar,,0.0
Wind,,0.0
Bioenergy,,70.0
HPS,,0.0
Li-ion,,0.0
Nam_Ou_7,,0.0
Nam_Ngay,,0.0
Nam_Ou_6,,0.0
Nam_Ou_5,,0.0
Nam_Pok,,0.0
Nam_Ou_4,,0.0
Nam_Pha,,0.0
Nam_Ko,,0.0
Nam_Ou_2,,0.0
Nam_Tha_1,,0.0
Nam_Ou_1,,0.0
Nam_Beng,,0.0
Nam_Khan_3_(Down),,0.0
Nam_Khan_2,,0.0
Mekong_at_Xayabuly,,0.0
Nam_Ngum_3,,0.0
Nam_Pouy_1,,0.0
Nam_Ngum_2,,0.0
Nam_Ngiep_1,,0.0
Nam_Lik_1-2,,0.0
Nam_Ngum_1,,0.0
Nam_Lik_1,,0.0
Nam_Ngiep-regulating_dam,,0.0
Nam_Poun,,0.0
Nam_Theun1,,0.0
Theun-Hinboun_exp._(NG8),,0.0
Theun-Hinboun,,0.0
Ubol_Ratana,,0.0
Huai_Kum,,0.0
Xe_Kong_5,,0.0
Xeset_1,,0.0
Xedon_2,,0.0
Xelabam,,0.0
Xekaman_3,,0.0
Pak_Mun,,0.0
Xe_Kaman_2B,,0.0
Xekaman-Sanxay,,0.0
Xe_Nam_Noy_5,,0.0
Xe_Kaman_2A,,0.0
Xekatam,,0.0
Xekaman_1,,0.0
Lam_Ta_Khong_P.S.,,0.0
Nam_Kong_1,,0.0
Nam_Kong_2,,0.0
Plei_Krong,,0.0
Yali,,0.0
Se_San_3,,0.0
Se_San_3A,,0.0
Se_San_4,,0.0
Se_San_4A,,0.0
Mekong_at_Don_sahong,,0.0
Lower_Se_San_2,,0.0
Sre_Pok_4,,0.0
Sre_Pok_3,,0.0
Dray_Hlinh_2,,0.0
Buon_Kuop,,0.0
Buon_Tua_Srah,,0.0
