tech,unit,value
Coal,,250.0
Oil,,50.0
Gas,,150.0
Solar,,1.0
Wind,,1.0
Bioenergy,,30.0
HPS,,1.0
Li-ion,,1.0
Nam_Ou_7,,1.0
Nam_Ngay,,1.0
Nam_Ou_6,,1.0
Nam_Ou_5,,1.0
Nam_Pok,,1.0
Nam_Ou_4,,1.0
Nam_Pha,,1.0
Nam_Ko,,1.0
Nam_Ou_2,,1.0
Nam_Tha_1,,1.0
Nam_Ou_1,,1.0
Nam_Beng,,1.0
Nam_Khan_3_(Down),,1.0
Nam_Khan_2,,1.0
Mekong_at_Xayabuly,,1.0
Nam_Ngum_3,,1.0
Nam_Pouy_1,,1.0
Nam_Ngum_2,,1.0
Nam_Ngiep_1,,1.0
Nam_Lik_1-2,,1.0
Nam_Ngum_1,,1.0
Nam_Lik_1,,1.0
Nam_Ngiep-regulating_dam,,1.0
Nam_Poun,,1.0
Nam_Theun1,,1.0
Theun-Hinboun_exp._(NG8),,1.0
Theun-Hinboun,,1.0
Ubol_Ratana,,1.0
Huai_Kum,,1.0
Xe_Kong_5,,1.0
Xeset_1,,1.0
Xedon_2,,1.0
Xelabam,,1.0
Xekaman_3,,1.0
Pak_Mun,,1.0
Xe_Kaman_2B,,1.0
Xekaman-Sanxay,,1.0
Xe_Nam_Noy_5,,1.0
Xe_Kaman_2A,,1.0
Xekatam,,1.0
Xekaman_1,,1.0
Lam_Ta_Khong_P.S.,,1.0
Nam_Kong_1,,1.0
Nam_Kong_2,,1.0
Plei_Krong,,1.0
Yali,,1.0
Se_San_3,,1.0
Se_San_3A,,1.0
Se_San_4,,1.0
Se_San_4A,,1.0
Mekong_at_Don_sahong,,1.0
Lower_Se_San_2,,1.0
Sre_Pok_4,,1.0
Sre_Pok_3,,1.0
Dray_Hlinh_2,,1.0
Buon_Kuop,,1.0
Buon_Tua_Srah,,1.0
