zone1,zone2,year,unit,capacity_min,capacity_max
Cambodia,Laos,2020,MW,0,inf
Cambodia,Laos,2030,MW,0,inf
Cambodia,Thailand,2020,MW,0,inf
Cambodia,Thailand,2030,MW,0,inf
Cambodia,Vietnam,2020,MW,0,inf
Cambodia,Vietnam,2030,MW,0,inf
Laos,Cambodia,2020,MW,0,inf
Laos,Cambodia,2030,MW,0,inf
Laos,Myanmar,2020,MW,0,inf
Laos,Myanmar,2030,MW,0,inf
Laos,Thailand,2020,MW,0,inf
Laos,Thailand,2030,MW,0,inf
Laos,Vietnam,2020,MW,0,inf
Laos,Vietnam,2030,MW,0,inf
Myanmar,Laos,2020,MW,0,inf
Myanmar,Laos,2030,MW,0,inf
Myanmar,Thailand,2020,MW,0,inf
Myanmar,Thailand,2030,MW,0,inf
Thailand,Cambodia,2020,MW,0,inf
Thailand,Cambodia,2030,MW,0,inf
Thailand,Laos,2020,MW,0,inf
Thailand,Laos,2030,MW,0,inf
Thailand,Myanmar,2020,MW,0,inf
Thailand,Myanmar,2030,MW,0,inf
Vietnam,Cambodia,2020,MW,0,inf
Vietnam,Cambodia,2030,MW,0,inf
Vietnam,Laos,2020,MW,0,inf
Vietnam,Laos,2030,MW,0,inf
