zone1,zone2,unit,value
Cambodia,Cambodia,km,0.0
Cambodia,Laos,km,655.0
Cambodia,Myanmar,km,1293.0
Cambodia,Thailand,km,499.0
Cambodia,Vietnam,km,463.0
Laos,Cambodia,km,655.0
Laos,Laos,km,0.0
Laos,Myanmar,km,813.0
Laos,Thailand,km,477.0
Laos,Vietnam,km,339.0
Myanmar,Cambodia,km,1293.0
Myanmar,Laos,km,813.0
Myanmar,Myanmar,km,0.0
Myanmar,Thailand,km,820.0
Myanmar,Vietnam,km,1144.0
Thailand,Cambodia,km,499.0
Thailand,Laos,km,477.0
Thailand,Myanmar,km,820.0
Thailand,Thailand,km,0.0
Thailand,Vietnam,km,591.0
Vietnam,Cambodia,km,463.0
Vietnam,Laos,km,339.0
Vietnam,Myanmar,km,1144.0
Vietnam,Thailand,km,591.0
Vietnam,Vietnam,km,0.0
