zone1,zone2,year,unit,value
Cambodia,Cambodia,2020,USD/MW/year,14.015178571428567
Cambodia,Cambodia,2030,USD/MW/year,14.015178571428567
Cambodia,Laos,2020,USD/MW/year,14.015178571428567
Cambodia,Laos,2030,USD/MW/year,14.015178571428567
Cambodia,Myanmar,2020,USD/MW/year,14.015178571428567
Cambodia,Myanmar,2030,USD/MW/year,14.015178571428567
Cambodia,Thailand,2020,USD/MW/year,14.015178571428567
Cambodia,Thailand,2030,USD/MW/year,14.015178571428567
Cambodia,Vietnam,2020,USD/MW/year,14.015178571428567
Cambodia,Vietnam,2030,USD/MW/year,14.015178571428567
Laos,Cambodia,2020,USD/MW/year,14.015178571428567
Laos,Cambodia,2030,USD/MW/year,14.015178571428567
Laos,Laos,2020,USD/MW/year,14.015178571428567
Laos,Laos,2030,USD/MW/year,14.015178571428567
Laos,Myanmar,2020,USD/MW/year,14.015178571428567
Laos,Myanmar,2030,USD/MW/year,14.015178571428567
Laos,Thailand,2020,USD/MW/year,14.015178571428567
Laos,Thailand,2030,USD/MW/year,14.015178571428567
Laos,Vietnam,2020,USD/MW/year,14.015178571428567
Laos,Vietnam,2030,USD/MW/year,14.015178571428567
Myanmar,Cambodia,2020,USD/MW/year,14.015178571428567
Myanmar,Cambodia,2030,USD/MW/year,14.015178571428567
Myanmar,Laos,2020,USD/MW/year,14.015178571428567
Myanmar,Laos,2030,USD/MW/year,14.015178571428567
Myanmar,Myanmar,2020,USD/MW/year,14.015178571428567
Myanmar,Myanmar,2030,USD/MW/year,14.015178571428567
Myanmar,Thailand,2020,USD/MW/year,14.015178571428567
Myanmar,Thailand,2030,USD/MW/year,14.015178571428567
Myanmar,Vietnam,2020,USD/MW/year,14.015178571428567
Myanmar,Vietnam,2030,USD/MW/year,14.015178571428567
Thailand,Cambodia,2020,USD/MW/year,14.015178571428567
Thailand,Cambodia,2030,USD/MW/year,14.015178571428567
Thailand,Laos,2020,USD/MW/year,14.015178571428567
Thailand,Laos,2030,USD/MW/year,14.015178571428567
Thailand,Myanmar,2020,USD/MW/year,14.015178571428567
Thailand,Myanmar,2030,USD/MW/year,14.015178571428567
Thailand,Thailand,2020,USD/MW/year,14.015178571428567
Thailand,Thailand,2030,USD/MW/year,14.015178571428567
Thailand,Vietnam,2020,USD/MW/year,14.015178571428567
Thailand,Vietnam,2030,USD/MW/year,14.015178571428567
Vietnam,Cambodia,2020,USD/MW/year,14.015178571428567
Vietnam,Cambodia,2030,USD/MW/year,14.015178571428567
Vietnam,Laos,2020,USD/MW/year,14.015178571428567
Vietnam,Laos,2030,USD/MW/year,14.015178571428567
Vietnam,Myanmar,2020,USD/MW/year,14.015178571428567
Vietnam,Myanmar,2030,USD/MW/year,14.015178571428567
Vietnam,Thailand,2020,USD/MW/year,14.015178571428567
Vietnam,Thailand,2030,USD/MW/year,14.015178571428567
Vietnam,Vietnam,2020,USD/MW/year,14.015178571428567
Vietnam,Vietnam,2030,USD/MW/year,14.015178571428567
