zone1,zone2,year,unit,value
Cambodia,Cambodia,2020,USD/MW/km,700.7589285714284
Cambodia,Cambodia,2030,USD/MW/km,700.7589285714284
Cambodia,Laos,2020,USD/MW/km,700.7589285714284
Cambodia,Laos,2030,USD/MW/km,700.7589285714284
Cambodia,Myanmar,2020,USD/MW/km,700.7589285714284
Cambodia,Myanmar,2030,USD/MW/km,700.7589285714284
Cambodia,Thailand,2020,USD/MW/km,700.7589285714284
Cambodia,Thailand,2030,USD/MW/km,700.7589285714284
Cambodia,Vietnam,2020,USD/MW/km,700.7589285714284
Cambodia,Vietnam,2030,USD/MW/km,700.7589285714284
Laos,Cambodia,2020,USD/MW/km,700.7589285714284
Laos,Cambodia,2030,USD/MW/km,700.7589285714284
Laos,Laos,2020,USD/MW/km,700.7589285714284
Laos,Laos,2030,USD/MW/km,700.7589285714284
Laos,Myanmar,2020,USD/MW/km,700.7589285714284
Laos,Myanmar,2030,USD/MW/km,700.7589285714284
Laos,Thailand,2020,USD/MW/km,700.7589285714284
Laos,Thailand,2030,USD/MW/km,700.7589285714284
Laos,Vietnam,2020,USD/MW/km,700.7589285714284
Laos,Vietnam,2030,USD/MW/km,700.7589285714284
Myanmar,Cambodia,2020,USD/MW/km,700.7589285714284
Myanmar,Cambodia,2030,USD/MW/km,700.7589285714284
Myanmar,Laos,2020,USD/MW/km,700.7589285714284
Myanmar,Laos,2030,USD/MW/km,700.7589285714284
Myanmar,Myanmar,2020,USD/MW/km,700.7589285714284
Myanmar,Myanmar,2030,USD/MW/km,700.7589285714284
Myanmar,Thailand,2020,USD/MW/km,700.7589285714284
Myanmar,Thailand,2030,USD/MW/km,700.7589285714284
Myanmar,Vietnam,2020,USD/MW/km,700.7589285714284
Myanmar,Vietnam,2030,USD/MW/km,700.7589285714284
Thailand,Cambodia,2020,USD/MW/km,700.7589285714284
Thailand,Cambodia,2030,USD/MW/km,700.7589285714284
Thailand,Laos,2020,USD/MW/km,700.7589285714284
Thailand,Laos,2030,USD/MW/km,700.7589285714284
Thailand,Myanmar,2020,USD/MW/km,700.7589285714284
Thailand,Myanmar,2030,USD/MW/km,700.7589285714284
Thailand,Thailand,2020,USD/MW/km,700.7589285714284
Thailand,Thailand,2030,USD/MW/km,700.7589285714284
Thailand,Vietnam,2020,USD/MW/km,700.7589285714284
Thailand,Vietnam,2030,USD/MW/km,700.7589285714284
Vietnam,Cambodia,2020,USD/MW/km,700.7589285714284
Vietnam,Cambodia,2030,USD/MW/km,700.7589285714284
Vietnam,Laos,2020,USD/MW/km,700.7589285714284
Vietnam,Laos,2030,USD/MW/km,700.7589285714284
Vietnam,Myanmar,2020,USD/MW/km,700.7589285714284
Vietnam,Myanmar,2030,USD/MW/km,700.7589285714284
Vietnam,Thailand,2020,USD/MW/km,700.7589285714284
Vietnam,Thailand,2030,USD/MW/km,700.7589285714284
Vietnam,Vietnam,2020,USD/MW/km,700.7589285714284
Vietnam,Vietnam,2030,USD/MW/km,700.7589285714284
