zone1,zone2,year,unit,value
Cambodia,Cambodia,2020,years,100.0
Cambodia,Cambodia,2030,years,100.0
Cambodia,Laos,2020,years,100.0
Cambodia,Laos,2030,years,100.0
Cambodia,Myanmar,2020,years,100.0
Cambodia,Myanmar,2030,years,100.0
Cambodia,Thailand,2020,years,100.0
Cambodia,Thailand,2030,years,100.0
Cambodia,Vietnam,2020,years,100.0
Cambodia,Vietnam,2030,years,100.0
Laos,Cambodia,2020,years,100.0
Laos,Cambodia,2030,years,100.0
Laos,Laos,2020,years,100.0
Laos,Laos,2030,years,100.0
Laos,Myanmar,2020,years,100.0
Laos,Myanmar,2030,years,100.0
Laos,Thailand,2020,years,100.0
Laos,Thailand,2030,years,100.0
Laos,Vietnam,2020,years,100.0
Laos,Vietnam,2030,years,100.0
Myanmar,Cambodia,2020,years,100.0
Myanmar,Cambodia,2030,years,100.0
Myanmar,Laos,2020,years,100.0
Myanmar,Laos,2030,years,100.0
Myanmar,Myanmar,2020,years,100.0
Myanmar,Myanmar,2030,years,100.0
Myanmar,Thailand,2020,years,100.0
Myanmar,Thailand,2030,years,100.0
Myanmar,Vietnam,2020,years,100.0
Myanmar,Vietnam,2030,years,100.0
Thailand,Cambodia,2020,years,100.0
Thailand,Cambodia,2030,years,100.0
Thailand,Laos,2020,years,100.0
Thailand,Laos,2030,years,100.0
Thailand,Myanmar,2020,years,100.0
Thailand,Myanmar,2030,years,100.0
Thailand,Thailand,2020,years,100.0
Thailand,Thailand,2030,years,100.0
Thailand,Vietnam,2020,years,100.0
Thailand,Vietnam,2030,years,100.0
Vietnam,Cambodia,2020,years,100.0
Vietnam,Cambodia,2030,years,100.0
Vietnam,Laos,2020,years,100.0
Vietnam,Laos,2030,years,100.0
Vietnam,Myanmar,2020,years,100.0
Vietnam,Myanmar,2030,years,100.0
Vietnam,Thailand,2020,years,100.0
Vietnam,Thailand,2030,years,100.0
Vietnam,Vietnam,2020,years,100.0
Vietnam,Vietnam,2030,years,100.0
