zone1,zone2,year,unit,value
Cambodia,Cambodia,2020,USD/MWh,7.071428571428571
Cambodia,Cambodia,2030,USD/MWh,7.071428571428571
Cambodia,Laos,2020,USD/MWh,7.071428571428571
Cambodia,Laos,2030,USD/MWh,7.071428571428571
Cambodia,Myanmar,2020,USD/MWh,7.071428571428571
Cambodia,Myanmar,2030,USD/MWh,7.071428571428571
Cambodia,Thailand,2020,USD/MWh,7.071428571428571
Cambodia,Thailand,2030,USD/MWh,7.071428571428571
Cambodia,Vietnam,2020,USD/MWh,7.071428571428571
Cambodia,Vietnam,2030,USD/MWh,7.071428571428571
Laos,Cambodia,2020,USD/MWh,7.071428571428571
Laos,Cambodia,2030,USD/MWh,7.071428571428571
Laos,Laos,2020,USD/MWh,7.071428571428571
Laos,Laos,2030,USD/MWh,7.071428571428571
Laos,Myanmar,2020,USD/MWh,7.071428571428571
Laos,Myanmar,2030,USD/MWh,7.071428571428571
Laos,Thailand,2020,USD/MWh,7.071428571428571
Laos,Thailand,2030,USD/MWh,7.071428571428571
Laos,Vietnam,2020,USD/MWh,7.071428571428571
Laos,Vietnam,2030,USD/MWh,7.071428571428571
Myanmar,Cambodia,2020,USD/MWh,7.071428571428571
Myanmar,Cambodia,2030,USD/MWh,7.071428571428571
Myanmar,Laos,2020,USD/MWh,7.071428571428571
Myanmar,Laos,2030,USD/MWh,7.071428571428571
Myanmar,Myanmar,2020,USD/MWh,7.071428571428571
Myanmar,Myanmar,2030,USD/MWh,7.071428571428571
Myanmar,Thailand,2020,USD/MWh,7.071428571428571
Myanmar,Thailand,2030,USD/MWh,7.071428571428571
Myanmar,Vietnam,2020,USD/MWh,7.071428571428571
Myanmar,Vietnam,2030,USD/MWh,7.071428571428571
Thailand,Cambodia,2020,USD/MWh,7.071428571428571
Thailand,Cambodia,2030,USD/MWh,7.071428571428571
Thailand,Laos,2020,USD/MWh,7.071428571428571
Thailand,Laos,2030,USD/MWh,7.071428571428571
Thailand,Myanmar,2020,USD/MWh,7.071428571428571
Thailand,Myanmar,2030,USD/MWh,7.071428571428571
Thailand,Thailand,2020,USD/MWh,7.071428571428571
Thailand,Thailand,2030,USD/MWh,7.071428571428571
Thailand,Vietnam,2020,USD/MWh,7.071428571428571
Thailand,Vietnam,2030,USD/MWh,7.071428571428571
Vietnam,Cambodia,2020,USD/MWh,7.071428571428571
Vietnam,Cambodia,2030,USD/MWh,7.071428571428571
Vietnam,Laos,2020,USD/MWh,7.071428571428571
Vietnam,Laos,2030,USD/MWh,7.071428571428571
Vietnam,Myanmar,2020,USD/MWh,7.071428571428571
Vietnam,Myanmar,2030,USD/MWh,7.071428571428571
Vietnam,Thailand,2020,USD/MWh,7.071428571428571
Vietnam,Thailand,2030,USD/MWh,7.071428571428571
Vietnam,Vietnam,2020,USD/MWh,7.071428571428571
Vietnam,Vietnam,2030,USD/MWh,7.071428571428571
