zone,year,month,hour,unit,value
Thailand,2023,1,1,MW,13346.47833333333
Thailand,2023,1,2,MW,12796.41833333333
Thailand,2023,1,3,MW,12179.06
Thailand,2023,1,4,MW,11783.66166666667
Thailand,2023,1,5,MW,11838.87833333333
Thailand,2023,1,6,MW,12427.94833333333
Thailand,2023,1,7,MW,13000.34333333333
Thailand,2023,1,8,MW,12093.845
Thailand,2023,1,9,MW,11531.81
Thailand,2023,1,10,MW,11060.17833333334
Thailand,2023,1,11,MW,10797.65833333333
Thailand,2023,1,12,MW,10684.53166666667
Thailand,2023,1,13,MW,10569.77833333333
Thailand,2023,1,14,MW,10821.08666666667
Thailand,2023,1,15,MW,11361.20666666667
Thailand,2023,1,16,MW,12095.555
Thailand,2023,1,17,MW,13101.435
Thailand,2023,1,18,MW,14371.57666666667
Thailand,2023,1,19,MW,16942.20833333333
Thailand,2023,1,20,MW,16761.52666666666
Thailand,2023,1,21,MW,16029.24
Thailand,2023,1,22,MW,15152.30833333333
Thailand,2023,1,23,MW,14291.65833333333
Thailand,2023,1,24,MW,13324.52666666667
Thailand,2023,1,25,MW,12587.745
Thailand,2023,1,26,MW,11991.51
Thailand,2023,1,27,MW,11572.445
Thailand,2023,1,28,MW,11371.495
Thailand,2023,1,29,MW,11504.42
Thailand,2023,1,30,MW,12242.775
Thailand,2023,1,31,MW,13046.86
Thailand,2023,1,32,MW,12766.32
Thailand,2023,1,33,MW,12677.37
Thailand,2023,1,34,MW,12262.94
Thailand,2023,1,35,MW,12182.76
Thailand,2023,1,36,MW,11904.89
Thailand,2023,1,37,MW,11685.09333333333
Thailand,2023,1,38,MW,12135.06
Thailand,2023,1,39,MW,12659.04
Thailand,2023,1,40,MW,13404.52
Thailand,2023,1,41,MW,14213.68333333333
Thailand,2023,1,42,MW,15385.84833333333
Thailand,2023,1,43,MW,17914.00666666666
Thailand,2023,1,44,MW,17867.81
Thailand,2023,1,45,MW,17178.88833333333
Thailand,2023,1,46,MW,16189.34333333334
Thailand,2023,1,47,MW,15683.16666666667
Thailand,2023,1,48,MW,14768.22666666667
Thailand,2023,1,49,MW,13885.62
Thailand,2023,1,50,MW,13425.23833333333
Thailand,2023,1,51,MW,13047.855
Thailand,2023,1,52,MW,12758.78
Thailand,2023,1,53,MW,12872.82
Thailand,2023,1,54,MW,14073.84833333333
Thailand,2023,1,55,MW,15734.08333333333
Thailand,2023,1,56,MW,15796.80333333333
Thailand,2023,1,57,MW,16803.68166666667
Thailand,2023,1,58,MW,16967.61333333333
Thailand,2023,1,59,MW,17120.10333333334
Thailand,2023,1,60,MW,17071.35333333334
Thailand,2023,1,61,MW,16257.925
Thailand,2023,1,62,MW,17836.93833333333
Thailand,2023,1,63,MW,18735.96
Thailand,2023,1,64,MW,18978.885
Thailand,2023,1,65,MW,18955.05166666666
Thailand,2023,1,66,MW,18856.72666666667
Thailand,2023,1,67,MW,20905.97666666667
Thailand,2023,1,68,MW,20699.94666666667
Thailand,2023,1,69,MW,20018.92833333333
Thailand,2023,1,70,MW,18980.29166666666
Thailand,2023,1,71,MW,18253.89666666666
Thailand,2023,1,72,MW,17219.23166666667
Thailand,2023,1,73,MW,16239.31666666667
Thailand,2023,1,74,MW,15766.85333333333
Thailand,2023,1,75,MW,15329.23666666666
Thailand,2023,1,76,MW,15166.34166666667
Thailand,2023,1,77,MW,15437.73333333333
Thailand,2023,1,78,MW,16655.98333333334
Thailand,2023,1,79,MW,18153.37333333333
Thailand,2023,1,80,MW,18009.71833333333
Thailand,2023,1,81,MW,19161.95166666666
Thailand,2023,1,82,MW,19067.975
Thailand,2023,1,83,MW,18969.59
Thailand,2023,1,84,MW,18333.98833333334
Thailand,2023,1,85,MW,17241.29333333334
Thailand,2023,1,86,MW,19246.56166666667
Thailand,2023,1,87,MW,20055.995
Thailand,2023,1,88,MW,20726.35
Thailand,2023,1,89,MW,21017.4
Thailand,2023,1,90,MW,20560.76666666666
Thailand,2023,1,91,MW,22964.18666666666
Thailand,2023,1,92,MW,22624.98666666667
Thailand,2023,1,93,MW,21794.36
Thailand,2023,1,94,MW,20625.26
Thailand,2023,1,95,MW,20265.79166666667
Thailand,2023,1,96,MW,19160.06666666667
Thailand,2023,1,97,MW,17797.06833333333
Thailand,2023,1,98,MW,17242.31
Thailand,2023,1,99,MW,16837.23833333333
Thailand,2023,1,100,MW,16469.4
Thailand,2023,1,101,MW,16571.74
Thailand,2023,1,102,MW,17664.64166666667
Thailand,2023,1,103,MW,19154.51833333333
Thailand,2023,1,104,MW,18610.35333333334
Thailand,2023,1,105,MW,19487.875
