tech,forebay_level_unit,volume_unit,forebay_level,volume
Bhumibol,m,m3,374.07,5990000000.0
Bhumibol,m,m3,378.63,7054000000.000001
Bhumibol,m,m3,383.13,8223999999.999999
Bhumibol,m,m3,388.44,9728000000.0
Bhumibol,m,m3,393.22,11243000000.0
,m,m3,289.93,685000000.0
,m,m3,291.08,722000000.0
Siridhorn,m,m3,235.9,28999999.999999996
Siridhorn,m,m3,238.02,117000000.0
,m,m3,214.65,14000000.000000002
,m,m3,215.46,43000000.0
,m,m3,185.93,4000000.0
,m,m3,186.84,14000000.000000002
,m,m3,170.76,4000000.0
,m,m3,174.17,199000000.0
,m,m3,147.14,13000000.0
,m,m3,148.69,52000000.0
,m,m3,223.49,546000000.0
,m,m3,224.78,591000000.0
,m,m3,193.0,572000000.0
,m,m3,194.32,625000000.0
,m,m3,163.73,416000000.0
,m,m3,164.47,434999999.99999994
,m,m3,133.28,478000000.0
,m,m3,133.98,503000000.0
Sirikit,m,m3,102.87,1470000000.0
Sirikit,m,m3,103.56,1670000000.0
Kaeng_Krachan,m,m3,80.01,2460000000.0
Kaeng_Krachan,m,m3,81.02,3120000000.0
,m,m3,47.91,210000000.0
,m,m3,48.65,409999999.99999994
,m,m3,21.98,798000000.0
,m,m3,23.29,909000000.0
