tech,year,month,unit,value
Bhumibol,1,1,m3,8428400000.0
Bhumibol,1,2,m3,8428400000.0
Bhumibol,1,3,m3,8428400000.0
Bhumibol,1,4,m3,8428400000.0
Bhumibol,1,5,m3,8428400000.0
Bhumibol,1,6,m3,8428400000.0
Bhumibol,1,7,m3,8428400000.0
Bhumibol,1,8,m3,8428400000.0
Bhumibol,1,9,m3,8428400000.0
Bhumibol,1,10,m3,8428400000.0
Bhumibol,1,11,m3,8428400000.0
Bhumibol,1,12,m3,8428400000.0
Bhumibol,1,13,m3,8428400000.0
Bhumibol,1,14,m3,8428400000.0
Bhumibol,1,15,m3,8428400000.0
Bhumibol,1,16,m3,8428400000.0
Bhumibol,1,17,m3,8428400000.0
Bhumibol,1,18,m3,8428400000.0
Bhumibol,1,19,m3,8428400000.0
Bhumibol,1,20,m3,8428400000.0
Bhumibol,1,21,m3,8428400000.0
Bhumibol,1,22,m3,8428400000.0
Bhumibol,1,23,m3,8428400000.0
Bhumibol,1,24,m3,8428400000.0
Bhumibol,1,25,m3,8416000000.0
Bhumibol,1,26,m3,8416000000.0
Bhumibol,1,27,m3,8416000000.0
Bhumibol,1,28,m3,8416000000.0
Bhumibol,1,29,m3,8416000000.0
Bhumibol,1,30,m3,8416000000.0
Bhumibol,1,31,m3,8416000000.0
Bhumibol,1,32,m3,8416000000.0
Bhumibol,1,33,m3,8416000000.0
Bhumibol,1,34,m3,8416000000.0
Bhumibol,1,35,m3,8416000000.0
Bhumibol,1,36,m3,8416000000.0
Bhumibol,1,37,m3,8416000000.0
Bhumibol,1,38,m3,8416000000.0
Bhumibol,1,39,m3,8416000000.0
Bhumibol,1,40,m3,8416000000.0
Bhumibol,1,41,m3,8416000000.0
Bhumibol,1,42,m3,8416000000.0
Bhumibol,1,43,m3,8416000000.0
Bhumibol,1,44,m3,8416000000.0
Bhumibol,1,45,m3,8416000000.0
Bhumibol,1,46,m3,8416000000.0
Bhumibol,1,47,m3,8416000000.0
Bhumibol,1,48,m3,8416000000.0
Bhumibol,1,49,m3,8403590000.0
Bhumibol,1,50,m3,8403590000.0
Bhumibol,1,51,m3,8403590000.0
Bhumibol,1,52,m3,8403590000.0
Bhumibol,1,53,m3,8403590000.0
Bhumibol,1,54,m3,8403590000.0
Bhumibol,1,55,m3,8403590000.0
Bhumibol,1,56,m3,8403590000.0
Bhumibol,1,57,m3,8403590000.0
Bhumibol,1,58,m3,8403590000.0
Bhumibol,1,59,m3,8403590000.0
Bhumibol,1,60,m3,8403590000.0
Bhumibol,1,61,m3,8403590000.0
Bhumibol,1,62,m3,8403590000.0
Bhumibol,1,63,m3,8403590000.0
Bhumibol,1,64,m3,8403590000.0
Bhumibol,1,65,m3,8403590000.0
Bhumibol,1,66,m3,8403590000.0
Bhumibol,1,67,m3,8403590000.0
Bhumibol,1,68,m3,8403590000.0
Bhumibol,1,69,m3,8403590000.0
Bhumibol,1,70,m3,8403590000.0
Bhumibol,1,71,m3,8403590000.0
Bhumibol,1,72,m3,8403590000.0
Bhumibol,1,73,m3,8391190000.0
Bhumibol,1,74,m3,8391190000.0
Bhumibol,1,75,m3,8391190000.0
Bhumibol,1,76,m3,8391190000.0
Bhumibol,1,77,m3,8391190000.0
Bhumibol,1,78,m3,8391190000.0
Bhumibol,1,79,m3,8391190000.0
Bhumibol,1,80,m3,8391190000.0
Bhumibol,1,81,m3,8391190000.0
Bhumibol,1,82,m3,8391190000.0
Bhumibol,1,83,m3,8391190000.0
Bhumibol,1,84,m3,8391190000.0
Bhumibol,1,85,m3,8391190000.0
Bhumibol,1,86,m3,8391190000.0
Bhumibol,1,87,m3,8391190000.0
Bhumibol,1,88,m3,8391190000.0
Bhumibol,1,89,m3,8391190000.0
Bhumibol,1,90,m3,8391190000.0
Bhumibol,1,91,m3,8391190000.0
Bhumibol,1,92,m3,8391190000.0
Bhumibol,1,93,m3,8391190000.0
Bhumibol,1,94,m3,8391190000.0
Bhumibol,1,95,m3,8391190000.0
Bhumibol,1,96,m3,8391190000.0
Bhumibol,1,97,m3,8378800000.0
Bhumibol,1,98,m3,8378800000.0
Bhumibol,1,99,m3,8378800000.0
Bhumibol,1,100,m3,8378800000.0
Bhumibol,1,101,m3,8378800000.0
