tech,tailrace_level_unit,discharge_unit,tailrace_level,discharge
Bhumibol,m,m3/s,291.0,0
Bhumibol,m,m3/s,291.1,1000
Bhumibol,m,m3/s,297.0,6920
,m,m3/s,237.3,0
,m,m3/s,237.3,1000
,m,m3/s,241.0,7073
Siridhorn,m,m3/s,215.0,0
Siridhorn,m,m3/s,215.0,500
Siridhorn,m,m3/s,220.9,7804
,m,m3/s,214.6,0
,m,m3/s,214.9,400
,m,m3/s,220.9,7917
,m,m3/s,172.5,0
,m,m3/s,172.5,100
,m,m3/s,176.4,7942
,m,m3/s,147.9,0
,m,m3/s,152.2,8662
,m,m3/s,123.0,0
,m,m3/s,123.0,1000
,m,m3/s,129.3,8936
,m,m3/s,193.8,0
,m,m3/s,193.8,4995
,m,m3/s,164.2,0
,m,m3/s,164.2,4819
,m,m3/s,133.7,0
,m,m3/s,133.7,500
,m,m3/s,134.6,5006
,m,m3/s,103.3,0
,m,m3/s,103.3,300
,m,m3/s,107.2,5142
Sirikit,m,m3/s,80.5,0
Sirikit,m,m3/s,80.5,2000
Sirikit,m,m3/s,82.7,12895
Kaeng_Krachan,m,m3/s,48.6,0
Kaeng_Krachan,m,m3/s,48.6,2000
Kaeng_Krachan,m,m3/s,50.8,13226
,m,m3/s,22.7,0
,m,m3/s,22.7,1721
,m,m3/s,26.1,12847
,m,m3/s,2.8,0
,m,m3/s,2.8,2109
,m,m3/s,10.5,13156
