zone,tech,year,unit,capacity_min,capacity_max
Thailand,Coal,2023,MW,0,0
Thailand,Gas,2023,MW,0,0
Thailand,Bioenergy,2023,MW,0,0
Thailand,Solar,2023,MW,0,0
Thailand,Wind,2023,MW,0,0
Thailand,HPS,2023,MW,0,0
Thailand,Bhumibol,2023,MW,0,0
Thailand,Sirikit,2023,MW,0,0
Thailand,Chulabhorn,2023,MW,0,0
Thailand,Nam_Pung,2023,MW,0,0
Thailand,Pak_Mun,2023,MW,0,0
Thailand,Siridhorn,2023,MW,0,0
Thailand,Ubol_Ratana,2023,MW,0,0
Thailand,Bang_Lang,2023,MW,0,0
Thailand,Kaeng_Krachan,2023,MW,0,0
Thailand,Rajjaprabha,2023,MW,0,0
Thailand,Srinagarind,2023,MW,0,0
Thailand,Tha_Thung_Na,2023,MW,0,0
Thailand,Vajiralongkorn,2023,MW,0,0
