zone,tech,year,unit,value
Thailand,Coal,2023,MW,6138.0
Thailand,Gas,2023,MW,36992.7
Thailand,Bioenergy,2023,MW,4705.0
Thailand,Solar,2023,MW,3186.0
Thailand,Wind,2023,MW,2092.0
Thailand,HPS,2023,MW,1000.0
Thailand,Bhumibol,2023,MW,779.2
Thailand,Sirikit,2023,MW,500.0
Thailand,Chulabhorn,2023,MW,40.0
Thailand,Nam_Pung,2023,MW,6.3
Thailand,Pak_Mun,2023,MW,136.0
Thailand,Siridhorn,2023,MW,36.0
Thailand,Ubol_Ratana,2023,MW,25.2
Thailand,Bang_Lang,2023,MW,84.0
Thailand,Kaeng_Krachan,2023,MW,19.0
Thailand,Rajjaprabha,2023,MW,240.0
Thailand,Srinagarind,2023,MW,720.0
Thailand,Tha_Thung_Na,2023,MW,39.0
Thailand,Vajiralongkorn,2023,MW,300.0
