tech,year,unit,value
Coal,2023,tonneCO2/MWh,0.4
Gas,2023,tonneCO2/MWh,0.4
Bioenergy,2023,tonneCO2/MWh,0.0
Large Hydropower,2023,tonneCO2/MWh,0.0
Solar,2023,tonneCO2/MWh,0.122
Wind,2023,tonneCO2/MWh,0.0
HPS,2023,tonneCO2/MWh,0.0
Bhumibol,2023,tonneCO2/MWh,0.0
Sirikit,2023,tonneCO2/MWh,0.0
Chulabhorn,2023,tonneCO2/MWh,0.0
Nam_Pung,2023,tonneCO2/MWh,0.0
Pak_Mun,2023,tonneCO2/MWh,0.0
Siridhorn,2023,tonneCO2/MWh,0.0
Ubol_Ratana,2023,tonneCO2/MWh,0.0
Bang_Lang,2023,tonneCO2/MWh,0.0
Kaeng_Krachan,2023,tonneCO2/MWh,0.0
Rajjaprabha,2023,tonneCO2/MWh,0.0
Srinagarind,2023,tonneCO2/MWh,0.0
Tha_Thung_Na,2023,tonneCO2/MWh,0.0
Vajiralongkorn,2023,tonneCO2/MWh,0.0
