tech,zone,commission_year,unit,capacity
Coal,Thailand,2023,MW,6138.0
Gas,Thailand,2023,MW,36992.7
Bioenergy,Thailand,2023,MW,4705.0
Bhumibol,Thailand,2023,MW,779.2
Sirikit,Thailand,2023,MW,500.0
Chulabhorn,Thailand,2023,MW,40.0
Nam_Pung,Thailand,2023,MW,6.3
Pak_Mun,Thailand,2023,MW,136.0
Siridhorn,Thailand,2023,MW,36.0
Ubol_Ratana,Thailand,2023,MW,25.2
Bang_Lang,Thailand,2023,MW,84.0
Kaeng_Krachan,Thailand,2023,MW,19.0
Rajjaprabha,Thailand,2023,MW,240.0
Srinagarind,Thailand,2023,MW,720.0
Tha_Thung_Na,Thailand,2023,MW,39.0
Vajiralongkorn,Thailand,2023,MW,300.0
Solar,Thailand,2023,MW,3186.0
Wind,Thailand,2023,MW,2092.0
HPS,Thailand,2023,MW,1000.0
