tech,year,unit,value
Coal,2023,USD/MW/year,56600.0
Gas,2023,USD/MW/year,23200.0
Bioenergy,2023,USD/MW/year,47600.0
Large Hydropower,2023,USD/MW/year,37700.0
Solar,2023,USD/MW/year,14400.0
Wind,2023,USD/MW/year,40000.0
HPS,2023,USD/MW/year,8000.0
Bhumibol,2023,USD/MW/year,0.0
Sirikit,2023,USD/MW/year,0.0
Chulabhorn,2023,USD/MW/year,0.0
Nam_Pung,2023,USD/MW/year,0.0
Pak_Mun,2023,USD/MW/year,0.0
Siridhorn,2023,USD/MW/year,0.0
Ubol_Ratana,2023,USD/MW/year,0.0
Bang_Lang,2023,USD/MW/year,0.0
Kaeng_Krachan,2023,USD/MW/year,0.0
Rajjaprabha,2023,USD/MW/year,0.0
Srinagarind,2023,USD/MW/year,0.0
Tha_Thung_Na,2023,USD/MW/year,0.0
Vajiralongkorn,2023,USD/MW/year,0.0
