tech,year,unit,value
Coal,2023,years,40.0
Gas,2023,years,40.0
Bioenergy,2023,years,35.0
Large Hydropower,2023,years,100.0
Solar,2023,years,25.0
Wind,2023,years,25.0
HPS,2023,years,100.0
Bhumibol,2023,years,100.0
Sirikit,2023,years,100.0
Chulabhorn,2023,years,100.0
Nam_Pung,2023,years,100.0
Pak_Mun,2023,years,100.0
Siridhorn,2023,years,100.0
Ubol_Ratana,2023,years,100.0
Bang_Lang,2023,years,100.0
Kaeng_Krachan,2023,years,100.0
Rajjaprabha,2023,years,100.0
Srinagarind,2023,years,100.0
Tha_Thung_Na,2023,years,100.0
Vajiralongkorn,2023,years,100.0
