tech,zone,year,month,hour,unit,value
Solar,Thailand,2023,1,1,fraction,0.0
Solar,Thailand,2023,1,2,fraction,0.0
Solar,Thailand,2023,1,3,fraction,0.0
Solar,Thailand,2023,1,4,fraction,0.0
Solar,Thailand,2023,1,5,fraction,0.0
Solar,Thailand,2023,1,6,fraction,0.0
Solar,Thailand,2023,1,7,fraction,0.0
Solar,Thailand,2023,1,8,fraction,0.017
Solar,Thailand,2023,1,9,fraction,0.117
Solar,Thailand,2023,1,10,fraction,0.264
Solar,Thailand,2023,1,11,fraction,0.386
Solar,Thailand,2023,1,12,fraction,0.419
Solar,Thailand,2023,1,13,fraction,0.424
Solar,Thailand,2023,1,14,fraction,0.406
Solar,Thailand,2023,1,15,fraction,0.347
Solar,Thailand,2023,1,16,fraction,0.308
Solar,Thailand,2023,1,17,fraction,0.253
Solar,Thailand,2023,1,18,fraction,0.145
Solar,Thailand,2023,1,19,fraction,0.028
Solar,Thailand,2023,1,20,fraction,0.0
Solar,Thailand,2023,1,21,fraction,0.0
Solar,Thailand,2023,1,22,fraction,0.0
Solar,Thailand,2023,1,23,fraction,0.0
Solar,Thailand,2023,1,24,fraction,0.0
Solar,Thailand,2023,1,25,fraction,0.0
Solar,Thailand,2023,1,26,fraction,0.0
Solar,Thailand,2023,1,27,fraction,0.0
Solar,Thailand,2023,1,28,fraction,0.0
Solar,Thailand,2023,1,29,fraction,0.0
Solar,Thailand,2023,1,30,fraction,0.0
Solar,Thailand,2023,1,31,fraction,0.0
Solar,Thailand,2023,1,32,fraction,0.017
Solar,Thailand,2023,1,33,fraction,0.122
Solar,Thailand,2023,1,34,fraction,0.234
Solar,Thailand,2023,1,35,fraction,0.353
Solar,Thailand,2023,1,36,fraction,0.434
Solar,Thailand,2023,1,37,fraction,0.48
Solar,Thailand,2023,1,38,fraction,0.48
Solar,Thailand,2023,1,39,fraction,0.431
Solar,Thailand,2023,1,40,fraction,0.358
Solar,Thailand,2023,1,41,fraction,0.26
Solar,Thailand,2023,1,42,fraction,0.133
Solar,Thailand,2023,1,43,fraction,0.027
Solar,Thailand,2023,1,44,fraction,0.0
Solar,Thailand,2023,1,45,fraction,0.0
Solar,Thailand,2023,1,46,fraction,0.0
Solar,Thailand,2023,1,47,fraction,0.0
Solar,Thailand,2023,1,48,fraction,0.0
Solar,Thailand,2023,1,49,fraction,0.0
Solar,Thailand,2023,1,50,fraction,0.0
Solar,Thailand,2023,1,51,fraction,0.0
Solar,Thailand,2023,1,52,fraction,0.0
Solar,Thailand,2023,1,53,fraction,0.0
Solar,Thailand,2023,1,54,fraction,0.0
Solar,Thailand,2023,1,55,fraction,0.0
Solar,Thailand,2023,1,56,fraction,0.02
Solar,Thailand,2023,1,57,fraction,0.134
Solar,Thailand,2023,1,58,fraction,0.281
Solar,Thailand,2023,1,59,fraction,0.432
Solar,Thailand,2023,1,60,fraction,0.53
Solar,Thailand,2023,1,61,fraction,0.589
Solar,Thailand,2023,1,62,fraction,0.593
Solar,Thailand,2023,1,63,fraction,0.541
Solar,Thailand,2023,1,64,fraction,0.474
Solar,Thailand,2023,1,65,fraction,0.36
Solar,Thailand,2023,1,66,fraction,0.192
Solar,Thailand,2023,1,67,fraction,0.047
Solar,Thailand,2023,1,68,fraction,0.0
Solar,Thailand,2023,1,69,fraction,0.0
Solar,Thailand,2023,1,70,fraction,0.0
Solar,Thailand,2023,1,71,fraction,0.0
Solar,Thailand,2023,1,72,fraction,0.0
Solar,Thailand,2023,1,73,fraction,0.0
Solar,Thailand,2023,1,74,fraction,0.0
Solar,Thailand,2023,1,75,fraction,0.0
Solar,Thailand,2023,1,76,fraction,0.0
Solar,Thailand,2023,1,77,fraction,0.0
Solar,Thailand,2023,1,78,fraction,0.0
Solar,Thailand,2023,1,79,fraction,0.0
Solar,Thailand,2023,1,80,fraction,0.012
Solar,Thailand,2023,1,81,fraction,0.081
Solar,Thailand,2023,1,82,fraction,0.17
Solar,Thailand,2023,1,83,fraction,0.252
Solar,Thailand,2023,1,84,fraction,0.318
Solar,Thailand,2023,1,85,fraction,0.359
Solar,Thailand,2023,1,86,fraction,0.368
Solar,Thailand,2023,1,87,fraction,0.348
Solar,Thailand,2023,1,88,fraction,0.314
Solar,Thailand,2023,1,89,fraction,0.248
Solar,Thailand,2023,1,90,fraction,0.145
Solar,Thailand,2023,1,91,fraction,0.034
Solar,Thailand,2023,1,92,fraction,0.0
Solar,Thailand,2023,1,93,fraction,0.0
Solar,Thailand,2023,1,94,fraction,0.0
Solar,Thailand,2023,1,95,fraction,0.0
Solar,Thailand,2023,1,96,fraction,0.0
Solar,Thailand,2023,1,97,fraction,0.0
Solar,Thailand,2023,1,98,fraction,0.0
Solar,Thailand,2023,1,99,fraction,0.0
Solar,Thailand,2023,1,100,fraction,0.0
Solar,Thailand,2023,1,101,fraction,0.0
Solar,Thailand,2023,1,102,fraction,0.0
Solar,Thailand,2023,1,103,fraction,0.0
Solar,Thailand,2023,1,104,fraction,0.031
Solar,Thailand,2023,1,105,fraction,0.175
Solar,Thailand,2023,1,106,fraction,0.32
Solar,Thailand,2023,1,107,fraction,0.438
Solar,Thailand,2023,1,108,fraction,0.508
Solar,Thailand,2023,1,109,fraction,0.55
Solar,Thailand,2023,1,110,fraction,0.554
Solar,Thailand,2023,1,111,fraction,0.503
Solar,Thailand,2023,1,112,fraction,0.424
Solar,Thailand,2023,1,113,fraction,0.309
Solar,Thailand,2023,1,114,fraction,0.175
Solar,Thailand,2023,1,115,fraction,0.038
Solar,Thailand,2023,1,116,fraction,0.0
Solar,Thailand,2023,1,117,fraction,0.0
Solar,Thailand,2023,1,118,fraction,0.0
Solar,Thailand,2023,1,119,fraction,0.0
Solar,Thailand,2023,1,120,fraction,0.0
Solar,Thailand,2023,1,121,fraction,0.0
Solar,Thailand,2023,1,122,fraction,0.0
Solar,Thailand,2023,1,123,fraction,0.0
Solar,Thailand,2023,1,124,fraction,0.0
Solar,Thailand,2023,1,125,fraction,0.0
Solar,Thailand,2023,1,126,fraction,0.0
Solar,Thailand,2023,1,127,fraction,0.0
Solar,Thailand,2023,1,128,fraction,0.036
Solar,Thailand,2023,1,129,fraction,0.182
Solar,Thailand,2023,1,130,fraction,0.313
Solar,Thailand,2023,1,131,fraction,0.405
Solar,Thailand,2023,1,132,fraction,0.422
Solar,Thailand,2023,1,133,fraction,0.462
Solar,Thailand,2023,1,134,fraction,0.454
Solar,Thailand,2023,1,135,fraction,0.417
Solar,Thailand,2023,1,136,fraction,0.347
Solar,Thailand,2023,1,137,fraction,0.238
Solar,Thailand,2023,1,138,fraction,0.126
Solar,Thailand,2023,1,139,fraction,0.027
Solar,Thailand,2023,1,140,fraction,0.0
Solar,Thailand,2023,1,141,fraction,0.0
Solar,Thailand,2023,1,142,fraction,0.0
Solar,Thailand,2023,1,143,fraction,0.0
Solar,Thailand,2023,1,144,fraction,0.0
