tech,product,eligible
Coal,regulation_up,1
Coal,regulation_down,1
Coal,spinning,1
Coal,non_spinning,1
Gas,regulation_up,1
Gas,regulation_down,1
Gas,spinning,1
Gas,non_spinning,1
Bioenergy,regulation_up,1
Bioenergy,regulation_down,1
Bioenergy,spinning,1
Bioenergy,non_spinning,1
Solar,regulation_up,0
Solar,regulation_down,0
Solar,spinning,0
Solar,non_spinning,0
Wind,regulation_up,0
Wind,regulation_down,0
Wind,spinning,0
Wind,non_spinning,0
HPS,regulation_up,0
HPS,regulation_down,0
HPS,spinning,0
HPS,non_spinning,0
Bhumibol,regulation_up,1
Bhumibol,regulation_down,1
Bhumibol,spinning,1
Bhumibol,non_spinning,1
Sirikit,regulation_up,1
Sirikit,regulation_down,1
Sirikit,spinning,1
Sirikit,non_spinning,1
Chulabhorn,regulation_up,1
Chulabhorn,regulation_down,1
Chulabhorn,spinning,1
Chulabhorn,non_spinning,1
Nam_Pung,regulation_up,1
Nam_Pung,regulation_down,1
Nam_Pung,spinning,1
Nam_Pung,non_spinning,1
Pak_Mun,regulation_up,1
Pak_Mun,regulation_down,1
Pak_Mun,spinning,1
Pak_Mun,non_spinning,1
Siridhorn,regulation_up,1
Siridhorn,regulation_down,1
Siridhorn,spinning,1
Siridhorn,non_spinning,1
Ubol_Ratana,regulation_up,1
Ubol_Ratana,regulation_down,1
Ubol_Ratana,spinning,1
Ubol_Ratana,non_spinning,1
Bang_Lang,regulation_up,1
Bang_Lang,regulation_down,1
Bang_Lang,spinning,1
Bang_Lang,non_spinning,1
Kaeng_Krachan,regulation_up,1
Kaeng_Krachan,regulation_down,1
Kaeng_Krachan,spinning,1
Kaeng_Krachan,non_spinning,1
Rajjaprabha,regulation_up,1
Rajjaprabha,regulation_down,1
Rajjaprabha,spinning,1
Rajjaprabha,non_spinning,1
Srinagarind,regulation_up,1
Srinagarind,regulation_down,1
Srinagarind,spinning,1
Srinagarind,non_spinning,1
Tha_Thung_Na,regulation_up,1
Tha_Thung_Na,regulation_down,1
Tha_Thung_Na,spinning,1
Tha_Thung_Na,non_spinning,1
Vajiralongkorn,regulation_up,1
Vajiralongkorn,regulation_down,1
Vajiralongkorn,spinning,1
Vajiralongkorn,non_spinning,1
