tech,year,unit,value
Coal,2023,USD/MWh,0.11
Gas,2023,USD/MWh,1.0
Bioenergy,2023,USD/MWh,3.0
Large Hydropower,2023,USD/MWh,0.65
Solar,2023,USD/MWh,0.0
Wind,2023,USD/MWh,0.0
HPS,2023,USD/MWh,1.3
Bhumibol,2023,USD/MWh,0.0
Sirikit,2023,USD/MWh,0.0
Chulabhorn,2023,USD/MWh,0.0
Nam_Pung,2023,USD/MWh,0.0
Pak_Mun,2023,USD/MWh,0.0
Siridhorn,2023,USD/MWh,0.0
Ubol_Ratana,2023,USD/MWh,0.0
Bang_Lang,2023,USD/MWh,0.0
Kaeng_Krachan,2023,USD/MWh,0.0
Rajjaprabha,2023,USD/MWh,0.0
Srinagarind,2023,USD/MWh,0.0
Tha_Thung_Na,2023,USD/MWh,0.0
Vajiralongkorn,2023,USD/MWh,0.0
