zone,tech,year,capacity
bus69,BLCP-T,2023,1347
bus328,BPK-C1,2023,1386
bus328,BPK-C5,2023,710
bus328,BPK-T,2023,1152
bus40,CHN-C1,2023,710
bus40,CHN-C2,2023,766
bus314,EPEC-C,2023,350
bus65,GLOW-C,2023,713
bus244,GNS-C,2023,1600
bus65,GOC-T,2023,660
bus63,GPD-C1,2023,625
bus63,GPD-C2,2023,625
bus352,GPG-C,2023,1468
bus75,GPS-C,2023,700
bus62,GSRC-C,2023,2500
bus62,GSRC-C1,2023,625
bus62,GSRC-C2,2023,625
bus62,GSRC-C3,2023,625
bus62,GSRC-C4,2023,625
bus254,GUT-C,2023,1600
bus12,KA-T,2023,315
bus22,KN-C2,2023,930
bus346,KPG-C,2023,1468
bus160,MM-T14,2023,600
bus160,MM-T8-13,2023,1620
bus294,NB-C1,2023,670
bus294,NB-C2,2023,828
bus385,NPO-C,2023,650
bus105,RB-C,2023,2041
bus105,RB-T,2023,1440
bus105,RPCL-C,2023,1440
bus304,SB-C3,2023,710
bus304,SB-C4,2023,1220
bus248,WN-C3,2023,686
bus248,WN-C4,2023,750
bus65,GlowE,2023,30
bus65,GlowE1,2023,30
bus64,PTTGC,2023,30
bus64,B.GrimmP,2023,30
bus322,AmataBP1,2023,30
bus65,B.GrimmP1,2023,30
bus64,BangkokC,2023,30
bus362,NationalPS,2023,90
bus65,GlowS2,2023,60
bus315,Sahacogen,2023,90
bus65,GlowS21,2023,60
bus254,RojanaP,2023,90
bus362,NationalPS1,2023,90
bus65,GlowS3,2023,90
bus65,GlowS31,2023,90
bus63,GlowS1,2023,90
bus75,B.GrimmP11,2023,30
bus322,AmataBP2,2023,30
bus67,EGCOC,2023,60
bus67,SiamPG,2023,90
bus65,GlowE2,2023,74
bus330,AmataBP3,2023,90
bus63,GlowS11,2023,90
bus343,GulfJK1,2023,90
bus343,GulfJK2,2023,90
bus346,GulfJT,2023,90
bus339,GulfJN,2023,90
bus67,GulfJN1,2023,90
bus63,AmataBP21,2023,90
bus259,BangPC,2023,90
bus251,GulfJC,2023,90
bus343,GulfJN2,2023,90
bus254,RojanaP1,2023,90
bus251,RATCHC,2023,90
bus63,AmataBP11,2023,90
bus105,RatchaburiWC,2023,90
bus105,RatchaburiWC1,2023,90
bus296,B.GrimmBP1,2023,90
bus63,AmataBP4,2023,90
bus296,B.GrimmBP2,2023,90
bus310,PPTC,2023,90
bus75,TopS,2023,90
bus261,B.GrimmP12,2023,90
bus75,TopS1,2023,90
bus251,NavanakornEG,2023,90
bus330,AmataBP5,2023,90
bus73,B.GrimmP13,2023,90
bus306,SSUT,2023,90
bus306,SSUT1,2023,90
bus337,AdvanceAA,2023,90
bus63,GulfV,2023,90
bus254,RojanaP2,2023,90
bus259,BangPC1,2023,90
bus63,GulfT,2023,90
bus296,KlongLU,2023,90
bus63,GulfT1,2023,90
bus106,BanPU,2023,90
bus106,BanPU1,2023,90
bus62,GulfT2,2023,90
bus61,IRPCCP,2023,90
bus61,IRPCCP1,2023,90
bus62,GulfT3,2023,90
bus360,GulfN,2023,90
bus63,AmataBP31,2023,90
bus63,AmataBP41,2023,90
bus63,AmataBP51,2023,90
bus259,GulfB,2023,90
bus259,GulfB1,2023,90
bus67,GulfN2,2023,90
bus343,GulfN1,2023,90
bus398,GulfN3,2023,90
bus106,BerkpraiC,2023,90
bus398,GulfN4,2023,90
bus67,NextsifRER,2023,90
