,NTN2,XYB,XPXN,THB,NNP1,NNG2,HHO,import_Hongsa,import_ThaKhaek,import_ThaNaLaeng,import_PakLay,import_PakBo,import_Paksan,import_PhonThong
,bus431,bus204,bus437,bus430,bus410,bus413,bus437,bus203,bus432,bus408,bus206,bus453,bus410,bus437
2023/1/1 00:00,153.2,561.3,361.5,63.7,143.5,0,0,936.5,90.6,68.6,67.7,37.7,0,0
2023/1/1 01:00,464.1,582.9,150.7,94.3,224.9,0,0,939.4,90.3,69.5,65.9,40.8,0,0
2023/1/1 02:00,147.5,581.6,49.7,86.7,194.2,0,0,938.4,94.2,66.4,63.2,40,0,0
2023/1/1 03:00,0,576.7,50.1,68.4,140.5,0,0,935.6,99.1,62.8,60.5,39,0,0
2023/1/1 04:00,0,581.5,54.8,102.1,142.6,0,0,938.4,105.8,60.8,57.7,39.6,0,0
2023/1/1 05:00,0,581.7,53.3,216.2,0,0,0,940.4,103.8,65.1,62,45.3,0,0
2023/1/1 06:00,0,594.7,55.1,310.6,0,0,0,941.9,105.7,71.5,72.6,47.3,0,0
2023/1/1 07:00,0,580.2,49.9,259.1,0,0,0,938.8,102.8,82.6,82.1,50.6,0,0
2023/1/1 08:00,0,580.8,49.3,194.9,0,0,0,939.3,101.8,80.9,79.2,22.6,0,0
2023/1/1 09:00,0,352.8,0,0,0,0,0,941.3,94.1,54.5,48.4,20.38,0,0
2023/1/1 10:00,0,232.7,0,0,0,0,0,942.2,88.9,36.3,31.1,18.16,0,0
2023/1/1 11:00,0,226.4,0,0,0,0,0,941.3,85,32.2,28.3,15.94,0,0
2023/1/1 12:00,0,181,0,0,0,0,0,941.2,86.3,28.2,24.5,13.72,0,0
2023/1/1 13:00,0,175.8,0,0,0,0,0,936.4,88.4,26,21.7,11.5,0,0
2023/1/1 14:00,0,200.6,0,0,0,0,0,938.8,109.9,23.7,18.8,9.28,0,0
2023/1/1 15:00,0,212.6,0,0,0,0,0,944.5,105.7,25.3,18.8,7.06,0,0
2023/1/1 16:00,0,291,113.1,119.8,0,0,0,943.5,102.8,38.3,32.9,4.84,0,0
2023/1/1 17:00,0,439.6,66.2,71.1,0,111.3,67.6,937.6,100.3,33,30.9,2.62,0,0
2023/1/1 18:00,439.5,439.9,116,70.6,0,359.6,132,941.4,112.2,53.3,55.9,0.4,0,0
2023/1/1 19:00,398.1,440.3,109.8,69.7,0,341.2,132.1,941,110.8,59.4,60.5,3.48,0,0
2023/1/1 20:00,320,440.6,66.4,70.7,0,221.2,67.8,940.7,107.4,46,49.9,6.56,0,0
2023/1/1 21:00,381.2,591.7,63.1,72.2,0,0,67.9,941.5,109.4,39.3,43.1,9.64,0,0
2023/1/1 22:00,300.2,580.7,56.2,70.1,0,116.3,67.7,943.6,105.8,36.6,32.5,12.72,0,0
2023/1/1 23:00,299.3,582.2,50.2,62.9,0,0,67.7,943,106,62.3,59.7,15.8,0,0
2023/1/2 00:00,297.6,582.2,54.5,63.6,0,0,0,941,104,52.4,51.8,15.7,0,0
2023/1/2 01:00,0,598,54.9,63.9,140.3,0,0,938.8,111.2,51,48.7,19.6,0,0
2023/1/2 02:00,0,524.9,49.8,59,0,0,0,917.9,110.7,48.5,46.9,17.2,0,0
2023/1/2 03:00,0,566.1,0,62.3,0,0,0,931.3,106.3,48.1,45.5,18.5,0,0
2023/1/2 04:00,0,597.5,0,63.5,0,0,0,941.9,103.2,47.9,46.6,22.2,0,0
2023/1/2 05:00,0,596.7,0,65,0,0,0,1049.7,101.3,47.5,48.2,25.6,0,0
2023/1/2 06:00,0,566.3,0,60.8,0,0,0,1287.6,102.9,52.7,55.9,39,0,0
2023/1/2 07:00,0,562.7,46.9,60.5,0,0,0,1484.9,109.3,61.4,67.3,45.1,0,0
2023/1/2 08:00,0,578.9,47.8,61.3,0,0,0,1495.2,117.8,61.4,65.9,42.2,0,0
2023/1/2 09:00,0,548.5,44.3,0,0,0,0,1471.7,115.1,37,41,46,0,0
2023/1/2 10:00,0,298.6,0,0,0,0,0,1403.1,116.6,33.3,33.7,20.7,0,0
2023/1/2 11:00,0,180.4,0,0,0,0,0,1405.9,109,44.2,43.1,21.8,0,0
2023/1/2 12:00,0,180.5,0,0,0,0,0,1344.3,108,37.4,34.7,15.4,0,0
2023/1/2 13:00,0,294.4,0,0,0,0,0,1404.8,104.7,31.5,32.3,15.1,0,0
2023/1/2 14:00,0,593.3,0,113.5,0,0,0,1508,107,39,40.7,17.7,0,0
2023/1/2 15:00,0,593.4,0,112.5,0,0,0,1508.3,106.9,39.9,40.3,5.5,0,0
2023/1/2 16:00,0,598,0,201.3,0,0,0,1507.1,106.1,38.3,37.8,10.8,0,0
2023/1/2 17:00,0,598.1,49.9,200,105.1,0,66.9,1504.8,114.9,44.6,46,11.2,0,0
2023/1/2 18:00,215.6,598.3,109.3,211.8,132.7,0,131.8,1506.7,84.8,61.7,60.8,22.9,0,0
2023/1/2 19:00,386,597.8,220,198.6,121.3,319.9,131.8,1510.5,82.1,72.1,65.1,20.9,0,0
2023/1/2 20:00,300.2,597.9,151.8,136.6,70,229.4,131.8,1506.2,80.9,51.7,48.5,8.3,0,0
2023/1/2 21:00,299.7,598.5,107.6,137.3,69.4,221.1,0,1507.3,79.2,57,40.5,1.6,0,0
2023/1/2 22:00,300.9,597.6,88.4,0,70.1,224.4,67.3,1504.2,73.1,65.8,44.8,1.8,0,0
2023/1/2 23:00,299.5,595,53.1,0,70.4,220.7,67.6,1506.4,90.9,85.1,63.7,19.5,0,0
2023/1/3 00:00,300.2,745.4,55.8,0,69.9,220.1,0,1506.7,105.3,80.3,59.4,17.3,0,0
2023/1/3 01:00,298.8,721.9,49.7,0,70.3,223.9,0,1506.4,107.9,77.4,55.4,18.5,0,0
2023/1/3 02:00,298.8,721.8,54.6,0,119.5,220.9,0,1509.4,110.5,60.4,53.7,16.6,0,0
2023/1/3 03:00,194.1,742.2,65.1,0,115.1,0,0,1516.5,113.7,70,53.9,17.7,0,0
2023/1/3 04:00,0,722.1,59.2,0,118.9,0,0,1503.9,113.8,65.8,53.5,19.7,0,0
2023/1/3 05:00,0,722,55.7,0,106.3,0,0,1511.6,108.8,74.6,61.1,24.8,0,0
2023/1/3 06:00,299.3,722.1,168.6,0,127.5,0,0,1511,113.1,85.2,76.7,36.9,0,0
2023/1/3 07:00,299.8,722.3,318.5,0,116.6,112.8,0,1510.4,113.1,96.8,94.1,51.5,0,0
2023/1/3 08:00,308.7,724.4,361.8,0,0,110.8,68,1512.3,112.5,60.3,62.7,47.1,0,0
2023/1/3 09:00,299.4,722.6,366,296.4,0,105.6,67.3,1507,106,56,52.4,61.1,0,0
2023/1/3 10:00,312.1,724.3,365.5,318.9,0,0,68.1,1508.3,99.6,45,39.4,34.1,0,0
2023/1/3 11:00,453.5,722.4,365.4,319.2,0,109.4,68,1506.9,96.3,34.1,31.2,36.2,0,0
2023/1/3 12:00,450.3,721,365.9,316.7,0,158.7,67.9,866.6,95.8,42.5,44.7,30.4,0,0
