tech,year,month,unit,value
h16,1,1,m3,1589828750.0
h16,1,2,m3,1589828750.0
h16,1,3,m3,1589828750.0
h16,1,4,m3,1589828750.0
h16,1,5,m3,1589828750.0
h16,1,6,m3,1589828750.0
h16,1,7,m3,1589828750.0
h16,1,8,m3,1589828750.0
h16,1,9,m3,1589828750.0
h16,1,10,m3,1589828750.0
h16,1,11,m3,1589828750.0
h16,1,12,m3,1589828750.0
h13,1,1,m3,13462000000.0
h13,1,2,m3,13462000000.0
h13,1,3,m3,13462000000.0
h13,1,4,m3,13462000000.0
h13,1,5,m3,13462000000.0
h13,1,6,m3,13462000000.0
h13,1,7,m3,13462000000.0
h13,1,8,m3,13462000000.0
h13,1,9,m3,13462000000.0
h13,1,10,m3,13462000000.0
h13,1,11,m3,13462000000.0
h13,1,12,m3,13462000000.0
h9,1,1,m3,181070000.0
h9,1,2,m3,181070000.0
h9,1,3,m3,181070000.0
h9,1,4,m3,181070000.0
h9,1,5,m3,181070000.0
h9,1,6,m3,181070000.0
h9,1,7,m3,181070000.0
h9,1,8,m3,181070000.0
h9,1,9,m3,181070000.0
h9,1,10,m3,181070000.0
h9,1,11,m3,181070000.0
h9,1,12,m3,181070000.0
h11,1,1,m3,165500000.0
h11,1,2,m3,165500000.0
h11,1,3,m3,165500000.0
h11,1,4,m3,165500000.0
h11,1,5,m3,165500000.0
h11,1,6,m3,165500000.0
h11,1,7,m3,165500000.0
h11,1,8,m3,165500000.0
h11,1,9,m3,165500000.0
h11,1,10,m3,165500000.0
h11,1,11,m3,165500000.0
h11,1,12,m3,165500000.0
h17,1,1,m3,6144380000.0
h17,1,2,m3,6144380000.0
h17,1,3,m3,6144380000.0
h17,1,4,m3,6144380000.0
h17,1,5,m3,6144380000.0
h17,1,6,m3,6144380000.0
h17,1,7,m3,6144380000.0
h17,1,8,m3,6144380000.0
h17,1,9,m3,6144380000.0
h17,1,10,m3,6144380000.0
h17,1,11,m3,6144380000.0
h17,1,12,m3,6144380000.0
h14,1,1,m3,10508319900.0
h14,1,2,m3,10508319900.0
h14,1,3,m3,10508319900.0
h14,1,4,m3,10508319900.0
h14,1,5,m3,10508319900.0
h14,1,6,m3,10508319900.0
h14,1,7,m3,10508319900.0
h14,1,8,m3,10508319900.0
h14,1,9,m3,10508319900.0
h14,1,10,m3,10508319900.0
h14,1,11,m3,10508319900.0
h14,1,12,m3,10508319900.0
h6,1,1,m3,1966000000.0
h6,1,2,m3,1966000000.0
h6,1,3,m3,1966000000.0
h6,1,4,m3,1966000000.0
h6,1,5,m3,1966000000.0
h6,1,6,m3,1966000000.0
h6,1,7,m3,1966000000.0
h6,1,8,m3,1966000000.0
h6,1,9,m3,1966000000.0
h6,1,10,m3,1966000000.0
h6,1,11,m3,1966000000.0
h6,1,12,m3,1966000000.0
h4,1,1,m3,17800000000.0
h4,1,2,m3,17800000000.0
h4,1,3,m3,17800000000.0
h4,1,4,m3,17800000000.0
h4,1,5,m3,17800000000.0
h4,1,6,m3,17800000000.0
h4,1,7,m3,17800000000.0
h4,1,8,m3,17800000000.0
h4,1,9,m3,17800000000.0
h4,1,10,m3,17800000000.0
h4,1,11,m3,17800000000.0
h4,1,12,m3,17800000000.0
h2,1,1,m3,54800000.0
h2,1,2,m3,54800000.0
h2,1,3,m3,54800000.0
h2,1,4,m3,54800000.0
h2,1,5,m3,54800000.0
h2,1,6,m3,54800000.0
h2,1,7,m3,54800000.0
h2,1,8,m3,54800000.0
h2,1,9,m3,54800000.0
h2,1,10,m3,54800000.0
h2,1,11,m3,54800000.0
h2,1,12,m3,54800000.0
h10,1,1,m3,4640000000.0
h10,1,2,m3,4640000000.0
h10,1,3,m3,4640000000.0
h10,1,4,m3,4640000000.0
h10,1,5,m3,4640000000.0
h10,1,6,m3,4640000000.0
h10,1,7,m3,4640000000.0
h10,1,8,m3,4640000000.0
h10,1,9,m3,4640000000.0
h10,1,10,m3,4640000000.0
h10,1,11,m3,4640000000.0
h10,1,12,m3,4640000000.0
h5,1,1,m3,10999999530.0
h5,1,2,m3,10999999530.0
h5,1,3,m3,10999999530.0
h5,1,4,m3,10999999530.0
h5,1,5,m3,10999999530.0
h5,1,6,m3,10999999530.0
h5,1,7,m3,10999999530.0
h5,1,8,m3,10999999530.0
h5,1,9,m3,10999999530.0
h5,1,10,m3,10999999530.0
h5,1,11,m3,10999999530.0
h5,1,12,m3,10999999530.0
h1,1,1,m3,900000000.0
h1,1,2,m3,900000000.0
h1,1,3,m3,900000000.0
h1,1,4,m3,900000000.0
h1,1,5,m3,900000000.0
h1,1,6,m3,900000000.0
h1,1,7,m3,900000000.0
h1,1,8,m3,900000000.0
h1,1,9,m3,900000000.0
h1,1,10,m3,900000000.0
h1,1,11,m3,900000000.0
h1,1,12,m3,900000000.0
h3,1,1,m3,224900000.0
h3,1,2,m3,224900000.0
h3,1,3,m3,224900000.0
h3,1,4,m3,224900000.0
h3,1,5,m3,224900000.0
h3,1,6,m3,224900000.0
h3,1,7,m3,224900000.0
h3,1,8,m3,224900000.0
h3,1,9,m3,224900000.0
h3,1,10,m3,224900000.0
h3,1,11,m3,224900000.0
h3,1,12,m3,224900000.0
h7,1,1,m3,229000000.0
h7,1,2,m3,229000000.0
h7,1,3,m3,229000000.0
h7,1,4,m3,229000000.0
h7,1,5,m3,229000000.0
h7,1,6,m3,229000000.0
h7,1,7,m3,229000000.0
h7,1,8,m3,229000000.0
h7,1,9,m3,229000000.0
h7,1,10,m3,229000000.0
h7,1,11,m3,229000000.0
h7,1,12,m3,229000000.0
